date,total_bot_sessions,contained_sessions,containment_rate_pct,target_containment_pct,deflected_cost_savings
2026-08-06,1175,760,64.7,65.0,3420.0
2026-08-05,1200,795,66.2,65.0,3577.5
2026-08-04,1225,829,67.7,65.0,3730.5
2026-08-03,1250,865,69.2,65.0,3892.5
2026-08-02,1275,825,64.7,65.0,3712.5
2026-08-01,1300,861,66.2,65.0,3874.5
2026-07-31,1325,897,67.7,65.0,4036.5
2026-07-30,1175,813,69.2,65.0,3658.5
2026-07-29,1200,777,64.8,65.0,3496.5
2026-07-28,1225,811,66.2,65.0,3649.5
2026-07-27,1250,846,67.7,65.0,3807.0
2026-07-26,1275,882,69.2,65.0,3969.0
2026-07-25,1300,841,64.7,65.0,3784.5
2026-07-24,1325,877,66.2,65.0,3946.5
2026-07-23,1175,796,67.7,65.0,3582.0
2026-07-22,1200,831,69.2,65.0,3739.5
2026-07-21,1225,793,64.7,65.0,3568.5
2026-07-20,1250,828,66.2,65.0,3726.0
2026-07-19,1275,863,67.7,65.0,3883.5
2026-07-18,1300,900,69.2,65.0,4050.0
2026-07-17,1325,857,64.7,65.0,3856.5
2026-07-16,1175,778,66.2,65.0,3501.0
2026-07-15,1200,813,67.8,65.0,3658.5
2026-07-14,1225,848,69.2,65.0,3816.0
2026-07-13,1250,809,64.7,65.0,3640.5
2026-07-12,1275,844,66.2,65.0,3798.0
2026-07-11,1300,880,67.7,65.0,3960.0
2026-07-10,1325,917,69.2,65.0,4126.5
2026-07-09,1175,760,64.7,65.0,3420.0
2026-07-08,1200,795,66.2,65.0,3577.5
