intent_id,intent_name,category,date,total_trigger_count,recognized_correctly_count,accuracy_pct,fallback_rate_pct
INT-101,WISMO / Order Status,Logistics,2026-08-06,408,395,96.8,3.2
INT-102,Initiate Return / Exchange,Returns,2026-08-06,298,280,94.0,6.0
INT-103,Store Hours & Inventory,Stores,2026-08-06,168,165,98.2,1.8
INT-104,Payment & Billing Dispute,Finance,2026-08-06,138,122,88.4,11.6
INT-105,Product Specs & Sizing,Catalog,2026-08-06,208,192,92.3,7.7
INT-106,Speak with Human Agent,Escalation,2026-08-06,248,245,98.8,1.2
INT-101,WISMO / Order Status,Logistics,2026-08-05,413,399,96.6,3.4
INT-102,Initiate Return / Exchange,Returns,2026-08-05,303,284,93.7,6.3
INT-103,Store Hours & Inventory,Stores,2026-08-05,173,169,97.7,2.3
INT-104,Payment & Billing Dispute,Finance,2026-08-05,143,126,88.1,11.9
INT-105,Product Specs & Sizing,Catalog,2026-08-05,213,196,92.0,8.0
INT-106,Speak with Human Agent,Escalation,2026-08-05,253,249,98.4,1.6
INT-101,WISMO / Order Status,Logistics,2026-08-04,418,403,96.4,3.6
INT-102,Initiate Return / Exchange,Returns,2026-08-04,308,288,93.5,6.5
INT-103,Store Hours & Inventory,Stores,2026-08-04,178,173,97.2,2.8
INT-104,Payment & Billing Dispute,Finance,2026-08-04,148,130,87.8,12.2
INT-105,Product Specs & Sizing,Catalog,2026-08-04,218,200,91.7,8.3
INT-106,Speak with Human Agent,Escalation,2026-08-04,258,253,98.1,1.9
INT-101,WISMO / Order Status,Logistics,2026-08-03,423,407,96.2,3.8
INT-102,Initiate Return / Exchange,Returns,2026-08-03,313,292,93.3,6.7
INT-103,Store Hours & Inventory,Stores,2026-08-03,183,177,96.7,3.3
INT-104,Payment & Billing Dispute,Finance,2026-08-03,153,134,87.6,12.4
INT-105,Product Specs & Sizing,Catalog,2026-08-03,223,204,91.5,8.5
INT-106,Speak with Human Agent,Escalation,2026-08-03,263,257,97.7,2.3
INT-101,WISMO / Order Status,Logistics,2026-08-02,428,411,96.0,4.0
INT-102,Initiate Return / Exchange,Returns,2026-08-02,318,296,93.1,6.9
INT-103,Store Hours & Inventory,Stores,2026-08-02,188,181,96.3,3.7
INT-104,Payment & Billing Dispute,Finance,2026-08-02,158,138,87.3,12.7
INT-105,Product Specs & Sizing,Catalog,2026-08-02,228,208,91.2,8.8
INT-106,Speak with Human Agent,Escalation,2026-08-02,268,261,97.4,2.6
INT-101,WISMO / Order Status,Logistics,2026-08-01,433,395,91.2,8.8
INT-102,Initiate Return / Exchange,Returns,2026-08-01,323,280,86.7,13.3
INT-103,Store Hours & Inventory,Stores,2026-08-01,193,165,85.5,14.5
INT-104,Payment & Billing Dispute,Finance,2026-08-01,163,122,74.8,25.2
INT-105,Product Specs & Sizing,Catalog,2026-08-01,233,192,82.4,17.6
INT-106,Speak with Human Agent,Escalation,2026-08-01,273,245,89.7,10.3
INT-101,WISMO / Order Status,Logistics,2026-07-31,408,399,97.8,2.2
INT-102,Initiate Return / Exchange,Returns,2026-07-31,298,284,95.3,4.7
INT-103,Store Hours & Inventory,Stores,2026-07-31,168,169,100.6,-0.6
INT-104,Payment & Billing Dispute,Finance,2026-07-31,138,126,91.3,8.7
INT-105,Product Specs & Sizing,Catalog,2026-07-31,208,196,94.2,5.8
INT-106,Speak with Human Agent,Escalation,2026-07-31,248,249,100.4,-0.4
INT-101,WISMO / Order Status,Logistics,2026-07-30,413,403,97.6,2.4
INT-102,Initiate Return / Exchange,Returns,2026-07-30,303,288,95.0,5.0
INT-103,Store Hours & Inventory,Stores,2026-07-30,173,173,100.0,0.0
INT-104,Payment & Billing Dispute,Finance,2026-07-30,143,130,90.9,9.1
INT-105,Product Specs & Sizing,Catalog,2026-07-30,213,200,93.9,6.1
INT-106,Speak with Human Agent,Escalation,2026-07-30,253,253,100.0,0.0
INT-101,WISMO / Order Status,Logistics,2026-07-29,418,407,97.4,2.6
INT-102,Initiate Return / Exchange,Returns,2026-07-29,308,292,94.8,5.2
INT-103,Store Hours & Inventory,Stores,2026-07-29,178,177,99.4,0.6
INT-104,Payment & Billing Dispute,Finance,2026-07-29,148,134,90.5,9.5
INT-105,Product Specs & Sizing,Catalog,2026-07-29,218,204,93.6,6.4
INT-106,Speak with Human Agent,Escalation,2026-07-29,258,257,99.6,0.4
INT-101,WISMO / Order Status,Logistics,2026-07-28,423,411,97.2,2.8
INT-102,Initiate Return / Exchange,Returns,2026-07-28,313,296,94.6,5.4
INT-103,Store Hours & Inventory,Stores,2026-07-28,183,181,98.9,1.1
INT-104,Payment & Billing Dispute,Finance,2026-07-28,153,138,90.2,9.8
INT-105,Product Specs & Sizing,Catalog,2026-07-28,223,208,93.3,6.7
INT-106,Speak with Human Agent,Escalation,2026-07-28,263,261,99.2,0.8
INT-101,WISMO / Order Status,Logistics,2026-07-27,428,395,92.3,7.7
INT-102,Initiate Return / Exchange,Returns,2026-07-27,318,280,88.1,11.9
INT-103,Store Hours & Inventory,Stores,2026-07-27,188,165,87.8,12.2
INT-104,Payment & Billing Dispute,Finance,2026-07-27,158,122,77.2,22.8
INT-105,Product Specs & Sizing,Catalog,2026-07-27,228,192,84.2,15.8
INT-106,Speak with Human Agent,Escalation,2026-07-27,268,245,91.4,8.6
INT-101,WISMO / Order Status,Logistics,2026-07-26,433,399,92.1,7.9
INT-102,Initiate Return / Exchange,Returns,2026-07-26,323,284,87.9,12.1
INT-103,Store Hours & Inventory,Stores,2026-07-26,193,169,87.6,12.4
INT-104,Payment & Billing Dispute,Finance,2026-07-26,163,126,77.3,22.7
INT-105,Product Specs & Sizing,Catalog,2026-07-26,233,196,84.1,15.9
INT-106,Speak with Human Agent,Escalation,2026-07-26,273,249,91.2,8.8
INT-101,WISMO / Order Status,Logistics,2026-07-25,408,403,98.8,1.2
INT-102,Initiate Return / Exchange,Returns,2026-07-25,298,288,96.6,3.4
INT-103,Store Hours & Inventory,Stores,2026-07-25,168,173,103.0,-3.0
INT-104,Payment & Billing Dispute,Finance,2026-07-25,138,130,94.2,5.8
INT-105,Product Specs & Sizing,Catalog,2026-07-25,208,200,96.2,3.8
INT-106,Speak with Human Agent,Escalation,2026-07-25,248,253,102.0,-2.0
INT-101,WISMO / Order Status,Logistics,2026-07-24,413,407,98.5,1.5
INT-102,Initiate Return / Exchange,Returns,2026-07-24,303,292,96.4,3.6
INT-103,Store Hours & Inventory,Stores,2026-07-24,173,177,102.3,-2.3
INT-104,Payment & Billing Dispute,Finance,2026-07-24,143,134,93.7,6.3
INT-105,Product Specs & Sizing,Catalog,2026-07-24,213,204,95.8,4.2
INT-106,Speak with Human Agent,Escalation,2026-07-24,253,257,101.6,-1.6
INT-101,WISMO / Order Status,Logistics,2026-07-23,418,411,98.3,1.7
INT-102,Initiate Return / Exchange,Returns,2026-07-23,308,296,96.1,3.9
INT-103,Store Hours & Inventory,Stores,2026-07-23,178,181,101.7,-1.7
INT-104,Payment & Billing Dispute,Finance,2026-07-23,148,138,93.2,6.8
INT-105,Product Specs & Sizing,Catalog,2026-07-23,218,208,95.4,4.6
INT-106,Speak with Human Agent,Escalation,2026-07-23,258,261,101.2,-1.2
INT-101,WISMO / Order Status,Logistics,2026-07-22,423,395,93.4,6.6
INT-102,Initiate Return / Exchange,Returns,2026-07-22,313,280,89.5,10.5
INT-103,Store Hours & Inventory,Stores,2026-07-22,183,165,90.2,9.8
INT-104,Payment & Billing Dispute,Finance,2026-07-22,153,122,79.7,20.3
INT-105,Product Specs & Sizing,Catalog,2026-07-22,223,192,86.1,13.9
INT-106,Speak with Human Agent,Escalation,2026-07-22,263,245,93.2,6.8
INT-101,WISMO / Order Status,Logistics,2026-07-21,428,399,93.2,6.8
INT-102,Initiate Return / Exchange,Returns,2026-07-21,318,284,89.3,10.7
INT-103,Store Hours & Inventory,Stores,2026-07-21,188,169,89.9,10.1
INT-104,Payment & Billing Dispute,Finance,2026-07-21,158,126,79.7,20.3
INT-105,Product Specs & Sizing,Catalog,2026-07-21,228,196,86.0,14.0
INT-106,Speak with Human Agent,Escalation,2026-07-21,268,249,92.9,7.1
INT-101,WISMO / Order Status,Logistics,2026-07-20,433,403,93.1,6.9
INT-102,Initiate Return / Exchange,Returns,2026-07-20,323,288,89.2,10.8
INT-103,Store Hours & Inventory,Stores,2026-07-20,193,173,89.6,10.4
INT-104,Payment & Billing Dispute,Finance,2026-07-20,163,130,79.8,20.2
INT-105,Product Specs & Sizing,Catalog,2026-07-20,233,200,85.8,14.2
INT-106,Speak with Human Agent,Escalation,2026-07-20,273,253,92.7,7.3
INT-101,WISMO / Order Status,Logistics,2026-07-19,408,407,99.8,0.2
INT-102,Initiate Return / Exchange,Returns,2026-07-19,298,292,98.0,2.0
INT-103,Store Hours & Inventory,Stores,2026-07-19,168,177,105.4,-5.4
INT-104,Payment & Billing Dispute,Finance,2026-07-19,138,134,97.1,2.9
INT-105,Product Specs & Sizing,Catalog,2026-07-19,208,204,98.1,1.9
INT-106,Speak with Human Agent,Escalation,2026-07-19,248,257,103.6,-3.6
INT-101,WISMO / Order Status,Logistics,2026-07-18,413,411,99.5,0.5
INT-102,Initiate Return / Exchange,Returns,2026-07-18,303,296,97.7,2.3
INT-103,Store Hours & Inventory,Stores,2026-07-18,173,181,104.6,-4.6
INT-104,Payment & Billing Dispute,Finance,2026-07-18,143,138,96.5,3.5
INT-105,Product Specs & Sizing,Catalog,2026-07-18,213,208,97.7,2.3
INT-106,Speak with Human Agent,Escalation,2026-07-18,253,261,103.2,-3.2
INT-101,WISMO / Order Status,Logistics,2026-07-17,418,395,94.5,5.5
INT-102,Initiate Return / Exchange,Returns,2026-07-17,308,280,90.9,9.1
INT-103,Store Hours & Inventory,Stores,2026-07-17,178,165,92.7,7.3
INT-104,Payment & Billing Dispute,Finance,2026-07-17,148,122,82.4,17.6
INT-105,Product Specs & Sizing,Catalog,2026-07-17,218,192,88.1,11.9
INT-106,Speak with Human Agent,Escalation,2026-07-17,258,245,95.0,5.0
INT-101,WISMO / Order Status,Logistics,2026-07-16,423,399,94.3,5.7
INT-102,Initiate Return / Exchange,Returns,2026-07-16,313,284,90.7,9.3
INT-103,Store Hours & Inventory,Stores,2026-07-16,183,169,92.3,7.7
INT-104,Payment & Billing Dispute,Finance,2026-07-16,153,126,82.4,17.6
INT-105,Product Specs & Sizing,Catalog,2026-07-16,223,196,87.9,12.1
INT-106,Speak with Human Agent,Escalation,2026-07-16,263,249,94.7,5.3
INT-101,WISMO / Order Status,Logistics,2026-07-15,428,403,94.2,5.8
INT-102,Initiate Return / Exchange,Returns,2026-07-15,318,288,90.6,9.4
INT-103,Store Hours & Inventory,Stores,2026-07-15,188,173,92.0,8.0
INT-104,Payment & Billing Dispute,Finance,2026-07-15,158,130,82.3,17.7
INT-105,Product Specs & Sizing,Catalog,2026-07-15,228,200,87.7,12.3
INT-106,Speak with Human Agent,Escalation,2026-07-15,268,253,94.4,5.6
INT-101,WISMO / Order Status,Logistics,2026-07-14,433,407,94.0,6.0
INT-102,Initiate Return / Exchange,Returns,2026-07-14,323,292,90.4,9.6
INT-103,Store Hours & Inventory,Stores,2026-07-14,193,177,91.7,8.3
INT-104,Payment & Billing Dispute,Finance,2026-07-14,163,134,82.2,17.8
INT-105,Product Specs & Sizing,Catalog,2026-07-14,233,204,87.6,12.4
INT-106,Speak with Human Agent,Escalation,2026-07-14,273,257,94.1,5.9
INT-101,WISMO / Order Status,Logistics,2026-07-13,408,411,100.7,-0.7
INT-102,Initiate Return / Exchange,Returns,2026-07-13,298,296,99.3,0.7
INT-103,Store Hours & Inventory,Stores,2026-07-13,168,181,107.7,-7.7
INT-104,Payment & Billing Dispute,Finance,2026-07-13,138,138,100.0,0.0
INT-105,Product Specs & Sizing,Catalog,2026-07-13,208,208,100.0,0.0
INT-106,Speak with Human Agent,Escalation,2026-07-13,248,261,105.2,-5.2
INT-101,WISMO / Order Status,Logistics,2026-07-12,413,395,95.6,4.4
INT-102,Initiate Return / Exchange,Returns,2026-07-12,303,280,92.4,7.6
INT-103,Store Hours & Inventory,Stores,2026-07-12,173,165,95.4,4.6
INT-104,Payment & Billing Dispute,Finance,2026-07-12,143,122,85.3,14.7
INT-105,Product Specs & Sizing,Catalog,2026-07-12,213,192,90.1,9.9
INT-106,Speak with Human Agent,Escalation,2026-07-12,253,245,96.8,3.2
INT-101,WISMO / Order Status,Logistics,2026-07-11,418,399,95.5,4.5
INT-102,Initiate Return / Exchange,Returns,2026-07-11,308,284,92.2,7.8
INT-103,Store Hours & Inventory,Stores,2026-07-11,178,169,94.9,5.1
INT-104,Payment & Billing Dispute,Finance,2026-07-11,148,126,85.1,14.9
INT-105,Product Specs & Sizing,Catalog,2026-07-11,218,196,89.9,10.1
INT-106,Speak with Human Agent,Escalation,2026-07-11,258,249,96.5,3.5
INT-101,WISMO / Order Status,Logistics,2026-07-10,423,403,95.3,4.7
INT-102,Initiate Return / Exchange,Returns,2026-07-10,313,288,92.0,8.0
INT-103,Store Hours & Inventory,Stores,2026-07-10,183,173,94.5,5.5
INT-104,Payment & Billing Dispute,Finance,2026-07-10,153,130,85.0,15.0
INT-105,Product Specs & Sizing,Catalog,2026-07-10,223,200,89.7,10.3
INT-106,Speak with Human Agent,Escalation,2026-07-10,263,253,96.2,3.8
INT-101,WISMO / Order Status,Logistics,2026-07-09,428,407,95.1,4.9
INT-102,Initiate Return / Exchange,Returns,2026-07-09,318,292,91.8,8.2
INT-103,Store Hours & Inventory,Stores,2026-07-09,188,177,94.1,5.9
INT-104,Payment & Billing Dispute,Finance,2026-07-09,158,134,84.8,15.2
INT-105,Product Specs & Sizing,Catalog,2026-07-09,228,204,89.5,10.5
INT-106,Speak with Human Agent,Escalation,2026-07-09,268,257,95.9,4.1
INT-101,WISMO / Order Status,Logistics,2026-07-08,433,411,94.9,5.1
