queue_id,date,resolved_first_contact_count,total_contacts_count,repeat_contacts_72h_count,fcr_rate_pct
Q-101,2026-08-06,300,390,90,76.9
Q-102,2026-08-06,225,270,45,83.3
Q-103,2026-08-06,250,350,100,71.4
Q-104,2026-08-06,510,610,100,83.6
Q-105,2026-08-06,165,190,25,86.8
Q-106,2026-08-06,100,110,10,90.9
Q-101,2026-08-05,304,395,91,77.0
Q-102,2026-08-05,229,275,46,83.3
Q-103,2026-08-05,254,355,101,71.5
Q-104,2026-08-05,514,615,101,83.6
Q-105,2026-08-05,169,195,26,86.7
Q-106,2026-08-05,104,115,11,90.4
Q-101,2026-08-04,308,400,92,77.0
Q-102,2026-08-04,233,280,47,83.2
Q-103,2026-08-04,258,360,102,71.7
Q-104,2026-08-04,518,620,102,83.5
Q-105,2026-08-04,173,200,27,86.5
Q-106,2026-08-04,108,120,12,90.0
Q-101,2026-08-03,312,405,93,77.0
Q-102,2026-08-03,237,285,48,83.2
Q-103,2026-08-03,262,365,103,71.8
Q-104,2026-08-03,522,625,103,83.5
Q-105,2026-08-03,177,205,28,86.3
Q-106,2026-08-03,112,125,13,89.6
Q-101,2026-08-02,316,410,94,77.1
Q-102,2026-08-02,241,290,49,83.1
Q-103,2026-08-02,266,370,104,71.9
Q-104,2026-08-02,526,630,104,83.5
Q-105,2026-08-02,181,210,29,86.2
Q-106,2026-08-02,116,130,14,89.2
Q-101,2026-08-01,320,390,70,82.1
Q-102,2026-08-01,245,270,25,90.7
Q-103,2026-08-01,270,350,80,77.1
Q-104,2026-08-01,530,610,80,86.9
Q-105,2026-08-01,185,190,5,97.4
Q-106,2026-08-01,120,110,-10,109.1
Q-101,2026-07-31,300,395,95,75.9
Q-102,2026-07-31,225,275,50,81.8
Q-103,2026-07-31,250,355,105,70.4
Q-104,2026-07-31,510,615,105,82.9
Q-105,2026-07-31,165,195,30,84.6
Q-106,2026-07-31,100,115,15,87.0
Q-101,2026-07-30,304,400,96,76.0
Q-102,2026-07-30,229,280,51,81.8
Q-103,2026-07-30,254,360,106,70.6
Q-104,2026-07-30,514,620,106,82.9
Q-105,2026-07-30,169,200,31,84.5
Q-106,2026-07-30,104,120,16,86.7
Q-101,2026-07-29,308,405,97,76.0
Q-102,2026-07-29,233,285,52,81.8
Q-103,2026-07-29,258,365,107,70.7
Q-104,2026-07-29,518,625,107,82.9
Q-105,2026-07-29,173,205,32,84.4
Q-106,2026-07-29,108,125,17,86.4
Q-101,2026-07-28,312,410,98,76.1
Q-102,2026-07-28,237,290,53,81.7
Q-103,2026-07-28,262,370,108,70.8
Q-104,2026-07-28,522,630,108,82.9
Q-105,2026-07-28,177,210,33,84.3
Q-106,2026-07-28,112,130,18,86.2
Q-101,2026-07-27,316,390,74,81.0
Q-102,2026-07-27,241,270,29,89.3
Q-103,2026-07-27,266,350,84,76.0
Q-104,2026-07-27,526,610,84,86.2
Q-105,2026-07-27,181,190,9,95.3
Q-106,2026-07-27,116,110,-6,105.5
Q-101,2026-07-26,320,395,75,81.0
Q-102,2026-07-26,245,275,30,89.1
Q-103,2026-07-26,270,355,85,76.1
Q-104,2026-07-26,530,615,85,86.2
Q-105,2026-07-26,185,195,10,94.9
Q-106,2026-07-26,120,115,-5,104.3
Q-101,2026-07-25,300,400,100,75.0
Q-102,2026-07-25,225,280,55,80.4
Q-103,2026-07-25,250,360,110,69.4
Q-104,2026-07-25,510,620,110,82.3
Q-105,2026-07-25,165,200,35,82.5
Q-106,2026-07-25,100,120,20,83.3
Q-101,2026-07-24,304,405,101,75.1
Q-102,2026-07-24,229,285,56,80.4
Q-103,2026-07-24,254,365,111,69.6
Q-104,2026-07-24,514,625,111,82.2
Q-105,2026-07-24,169,205,36,82.4
Q-106,2026-07-24,104,125,21,83.2
Q-101,2026-07-23,308,410,102,75.1
Q-102,2026-07-23,233,290,57,80.3
Q-103,2026-07-23,258,370,112,69.7
Q-104,2026-07-23,518,630,112,82.2
Q-105,2026-07-23,173,210,37,82.4
Q-106,2026-07-23,108,130,22,83.1
Q-101,2026-07-22,312,390,78,80.0
Q-102,2026-07-22,237,270,33,87.8
Q-103,2026-07-22,262,350,88,74.9
Q-104,2026-07-22,522,610,88,85.6
Q-105,2026-07-22,177,190,13,93.2
Q-106,2026-07-22,112,110,-2,101.8
Q-101,2026-07-21,316,395,79,80.0
Q-102,2026-07-21,241,275,34,87.6
Q-103,2026-07-21,266,355,89,74.9
Q-104,2026-07-21,526,615,89,85.5
Q-105,2026-07-21,181,195,14,92.8
Q-106,2026-07-21,116,115,-1,100.9
Q-101,2026-07-20,320,400,80,80.0
Q-102,2026-07-20,245,280,35,87.5
Q-103,2026-07-20,270,360,90,75.0
Q-104,2026-07-20,530,620,90,85.5
Q-105,2026-07-20,185,200,15,92.5
Q-106,2026-07-20,120,120,0,100.0
Q-101,2026-07-19,300,405,105,74.1
Q-102,2026-07-19,225,285,60,78.9
Q-103,2026-07-19,250,365,115,68.5
Q-104,2026-07-19,510,625,115,81.6
Q-105,2026-07-19,165,205,40,80.5
Q-106,2026-07-19,100,125,25,80.0
Q-101,2026-07-18,304,410,106,74.1
Q-102,2026-07-18,229,290,61,79.0
Q-103,2026-07-18,254,370,116,68.6
Q-104,2026-07-18,514,630,116,81.6
Q-105,2026-07-18,169,210,41,80.5
Q-106,2026-07-18,104,130,26,80.0
Q-101,2026-07-17,308,390,82,79.0
Q-102,2026-07-17,233,270,37,86.3
Q-103,2026-07-17,258,350,92,73.7
Q-104,2026-07-17,518,610,92,84.9
Q-105,2026-07-17,173,190,17,91.1
Q-106,2026-07-17,108,110,2,98.2
Q-101,2026-07-16,312,395,83,79.0
Q-102,2026-07-16,237,275,38,86.2
Q-103,2026-07-16,262,355,93,73.8
