date,category,total_appeals_reviewed,approved_appeals_count,total_concession_dollars,budget_limit_dollars,budget_variance_pct
2026-08-06,Apparel & Outerwear,41,31,2770.0,3000.0,-7.7
2026-08-06,Footwear,26,19,1900.0,2000.0,-5.0
2026-08-06,Consumer Electronics,21,15,2570.0,2500.0,2.8
2026-08-06,Home & Accessories,16,12,840.0,1000.0,-16.0
2026-08-05,Apparel & Outerwear,43,32,2810.0,3000.0,-6.3
2026-08-05,Footwear,28,21,1940.0,2000.0,-3.0
2026-08-05,Consumer Electronics,23,17,2610.0,2500.0,4.4
2026-08-05,Home & Accessories,18,13,880.0,1000.0,-12.0
2026-08-04,Apparel & Outerwear,45,34,2850.0,3000.0,-5.0
2026-08-04,Footwear,30,22,1980.0,2000.0,-1.0
2026-08-04,Consumer Electronics,25,19,2650.0,2500.0,6.0
2026-08-04,Home & Accessories,20,15,920.0,1000.0,-8.0
2026-08-03,Apparel & Outerwear,47,35,2890.0,3000.0,-3.7
2026-08-03,Footwear,32,24,2020.0,2000.0,1.0
2026-08-03,Consumer Electronics,27,20,2690.0,2500.0,7.6
2026-08-03,Home & Accessories,22,16,960.0,1000.0,-4.0
2026-08-02,Apparel & Outerwear,41,31,2930.0,3000.0,-2.3
2026-08-02,Footwear,26,19,2060.0,2000.0,3.0
2026-08-02,Consumer Electronics,21,15,2730.0,2500.0,9.2
2026-08-02,Home & Accessories,16,12,1000.0,1000.0,0.0
2026-08-01,Apparel & Outerwear,43,32,2770.0,3000.0,-7.7
2026-08-01,Footwear,28,21,1900.0,2000.0,-5.0
2026-08-01,Consumer Electronics,23,17,2570.0,2500.0,2.8
2026-08-01,Home & Accessories,18,13,840.0,1000.0,-16.0
2026-07-31,Apparel & Outerwear,45,34,2810.0,3000.0,-6.3
2026-07-31,Footwear,30,22,1940.0,2000.0,-3.0
2026-07-31,Consumer Electronics,25,19,2610.0,2500.0,4.4
2026-07-31,Home & Accessories,20,15,880.0,1000.0,-12.0
2026-07-30,Apparel & Outerwear,47,35,2850.0,3000.0,-5.0
2026-07-30,Footwear,32,24,1980.0,2000.0,-1.0
2026-07-30,Consumer Electronics,27,20,2650.0,2500.0,6.0
2026-07-30,Home & Accessories,22,16,920.0,1000.0,-8.0
2026-07-29,Apparel & Outerwear,41,31,2890.0,3000.0,-3.7
2026-07-29,Footwear,26,19,2020.0,2000.0,1.0
2026-07-29,Consumer Electronics,21,15,2690.0,2500.0,7.6
2026-07-29,Home & Accessories,16,12,960.0,1000.0,-4.0
2026-07-28,Apparel & Outerwear,43,32,2930.0,3000.0,-2.3
