region,date,total_store_tickets,avg_mttr_minutes,critical_p1_mttr_minutes,target_mttr_minutes,sla_met_pct
Northeast,2026-08-06,42,21.7,17.4,30.0,95.0
Southeast,2026-08-06,36,23.2,18.9,30.0,92.8
Midwest,2026-08-06,32,20.2,15.9,30.0,96.5
West Coast,2026-08-06,49,25.7,21.4,30.0,90.2
Southwest,2026-08-06,28,22.2,16.9,30.0,93.3
Northeast,2026-08-05,45,22.5,18.0,30.0,95.5
Southeast,2026-08-05,39,24.0,19.5,30.0,93.2
Midwest,2026-08-05,35,21.0,16.5,30.0,97.0
West Coast,2026-08-05,52,26.5,22.0,30.0,90.7
Southwest,2026-08-05,31,23.0,17.5,30.0,93.8
Northeast,2026-08-04,48,23.3,18.6,30.0,96.0
Southeast,2026-08-04,42,24.8,20.1,30.0,93.8
Midwest,2026-08-04,38,21.8,17.1,30.0,97.5
West Coast,2026-08-04,55,27.3,22.6,30.0,91.2
Southwest,2026-08-04,34,23.8,18.1,30.0,94.3
Northeast,2026-08-03,51,21.7,17.4,30.0,96.5
Southeast,2026-08-03,45,23.2,18.9,30.0,94.2
Midwest,2026-08-03,41,20.2,15.9,30.0,98.0
West Coast,2026-08-03,58,25.7,21.4,30.0,91.7
Southwest,2026-08-03,37,22.2,16.9,30.0,94.8
Northeast,2026-08-02,54,22.5,18.0,30.0,95.0
Southeast,2026-08-02,48,24.0,19.5,30.0,92.8
Midwest,2026-08-02,44,21.0,16.5,30.0,96.5
West Coast,2026-08-02,61,26.5,22.0,30.0,90.2
Southwest,2026-08-02,40,23.0,17.5,30.0,93.3
Northeast,2026-08-01,42,23.3,18.6,30.0,95.5
Southeast,2026-08-01,36,24.8,20.1,30.0,93.2
Midwest,2026-08-01,32,21.8,17.1,30.0,97.0
West Coast,2026-08-01,49,27.3,22.6,30.0,90.7
Southwest,2026-08-01,28,23.8,18.1,30.0,93.8
Northeast,2026-07-31,45,21.7,17.4,30.0,96.0
Southeast,2026-07-31,39,23.2,18.9,30.0,93.8
Midwest,2026-07-31,35,20.2,15.9,30.0,97.5
West Coast,2026-07-31,52,25.7,21.4,30.0,91.2
Southwest,2026-07-31,31,22.2,16.9,30.0,94.3
Northeast,2026-07-30,48,22.5,18.0,30.0,96.5
Southeast,2026-07-30,42,24.0,19.5,30.0,94.2
Midwest,2026-07-30,38,21.0,16.5,30.0,98.0
West Coast,2026-07-30,55,26.5,22.0,30.0,91.7
Southwest,2026-07-30,34,23.0,17.5,30.0,94.8
Northeast,2026-07-29,51,23.3,18.6,30.0,95.0
Southeast,2026-07-29,45,24.8,20.1,30.0,92.8
Midwest,2026-07-29,41,21.8,17.1,30.0,96.5
West Coast,2026-07-29,58,27.3,22.6,30.0,90.2
Southwest,2026-07-29,37,23.8,18.1,30.0,93.3
Northeast,2026-07-28,54,21.7,17.4,30.0,95.5
Southeast,2026-07-28,48,23.2,18.9,30.0,93.2
Midwest,2026-07-28,44,20.2,15.9,30.0,97.0
West Coast,2026-07-28,61,25.7,21.4,30.0,90.7
Southwest,2026-07-28,40,22.2,16.9,30.0,93.8
Northeast,2026-07-27,42,22.5,18.0,30.0,96.0
Southeast,2026-07-27,36,24.0,19.5,30.0,93.8
Midwest,2026-07-27,32,21.0,16.5,30.0,97.5
West Coast,2026-07-27,49,26.5,22.0,30.0,91.2
Southwest,2026-07-27,28,23.0,17.5,30.0,94.3
Northeast,2026-07-26,45,23.3,18.6,30.0,96.5
Southeast,2026-07-26,39,24.8,20.1,30.0,94.2
Midwest,2026-07-26,35,21.8,17.1,30.0,98.0
West Coast,2026-07-26,52,27.3,22.6,30.0,91.7
Southwest,2026-07-26,31,23.8,18.1,30.0,94.8
Northeast,2026-07-25,48,21.7,17.4,30.0,95.0
Southeast,2026-07-25,42,23.2,18.9,30.0,92.8
Midwest,2026-07-25,38,20.2,15.9,30.0,96.5
West Coast,2026-07-25,55,25.7,21.4,30.0,90.2
