channel,date,positive_pct,neutral_pct,negative_pct,avg_nps_score,total_responses
Voice,2026-08-06,60.8,18.6,20.6,45.6,290
Web Live Chat,2026-08-06,72.8,14.6,12.6,59.6,450
Mobile App Feedback,2026-08-06,76.8,12.6,10.6,65.6,260
Social Media Mentions,2026-08-06,52.8,22.6,24.6,32.6,180
Post-Purchase Email Survey,2026-08-06,68.8,16.6,14.6,53.6,620
Voice,2026-08-05,61.6,18.4,20.0,46.8,300
Web Live Chat,2026-08-05,73.6,14.4,12.0,60.8,460
Mobile App Feedback,2026-08-05,77.6,12.4,10.0,66.8,270
Social Media Mentions,2026-08-05,53.6,22.4,24.0,33.8,190
Post-Purchase Email Survey,2026-08-05,69.6,16.4,14.0,54.8,630
Voice,2026-08-04,62.4,18.2,19.4,48.0,310
Web Live Chat,2026-08-04,74.4,14.2,11.4,62.0,470
Mobile App Feedback,2026-08-04,78.4,12.2,9.4,68.0,280
Social Media Mentions,2026-08-04,54.4,22.2,23.4,35.0,200
Post-Purchase Email Survey,2026-08-04,70.4,16.2,13.4,56.0,640
Voice,2026-08-03,63.2,16.2,20.6,49.2,320
Web Live Chat,2026-08-03,75.2,12.2,12.6,63.2,480
Mobile App Feedback,2026-08-03,79.2,10.2,10.6,69.2,290
Social Media Mentions,2026-08-03,55.2,20.2,24.6,36.2,210
Post-Purchase Email Survey,2026-08-03,71.2,14.2,14.6,57.2,650
Voice,2026-08-02,60.8,19.2,20.0,50.4,330
Web Live Chat,2026-08-02,72.8,15.2,12.0,64.4,490
Mobile App Feedback,2026-08-02,76.8,13.2,10.0,70.4,300
Social Media Mentions,2026-08-02,52.8,23.2,24.0,37.4,220
Post-Purchase Email Survey,2026-08-02,68.8,17.2,14.0,58.4,660
Voice,2026-08-01,61.6,19.0,19.4,45.6,340
Web Live Chat,2026-08-01,73.6,15.0,11.4,59.6,500
Mobile App Feedback,2026-08-01,77.6,13.0,9.4,65.6,310
Social Media Mentions,2026-08-01,53.6,23.0,23.4,32.6,230
Post-Purchase Email Survey,2026-08-01,69.6,17.0,13.4,53.6,670
Voice,2026-07-31,62.4,17.0,20.6,46.8,350
Web Live Chat,2026-07-31,74.4,13.0,12.6,60.8,510
Mobile App Feedback,2026-07-31,78.4,11.0,10.6,66.8,320
Social Media Mentions,2026-07-31,54.4,21.0,24.6,33.8,240
Post-Purchase Email Survey,2026-07-31,70.4,15.0,14.6,54.8,680
Voice,2026-07-30,63.2,16.8,20.0,48.0,290
