topic_id,topic_name,category,date,mention_count,net_sentiment_score,promoter_mentions,detractor_mentions,sentiment_trend
TOP-101,Apparel Sizing Consistency,Product,2026-08-06,177,-0.45,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-08-06,232,0.25,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-08-06,187,0.62,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-08-06,272,0.69,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-08-06,132,0.12,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-08-06,152,-0.38,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-08-05,181,-0.42,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-08-05,236,0.28,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-08-05,191,0.65,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-08-05,276,0.72,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-08-05,136,0.15,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-08-05,156,-0.35,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-08-04,185,-0.39,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-08-04,240,0.31,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-08-04,195,0.68,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-08-04,280,0.75,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-08-04,140,0.18,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-08-04,160,-0.32,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-08-03,189,-0.45,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-08-03,244,0.25,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-08-03,199,0.62,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-08-03,284,0.69,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-08-03,144,0.12,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-08-03,164,-0.38,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-08-02,193,-0.42,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-08-02,248,0.28,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-08-02,203,0.65,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-08-02,288,0.72,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-08-02,148,0.15,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-08-02,168,-0.35,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-08-01,177,-0.39,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-08-01,232,0.31,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-08-01,187,0.68,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-08-01,272,0.75,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-08-01,132,0.18,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-08-01,152,-0.32,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-31,181,-0.45,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-31,236,0.25,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-31,191,0.62,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-31,276,0.69,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-31,136,0.12,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-31,156,-0.38,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-30,185,-0.42,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-30,240,0.28,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-30,195,0.65,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-30,280,0.72,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-30,140,0.15,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-30,160,-0.35,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-29,189,-0.39,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-29,244,0.31,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-29,199,0.68,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-29,284,0.75,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-29,144,0.18,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-29,164,-0.32,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-28,193,-0.45,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-28,248,0.25,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-28,203,0.62,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-28,288,0.69,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-28,148,0.12,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-28,168,-0.38,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-27,177,-0.42,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-27,232,0.28,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-27,187,0.65,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-27,272,0.72,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-27,132,0.15,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-27,152,-0.35,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-26,181,-0.39,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-26,236,0.31,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-26,191,0.68,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-26,276,0.75,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-26,136,0.18,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-26,156,-0.32,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-25,185,-0.45,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-25,240,0.25,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-25,195,0.62,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-25,280,0.69,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-25,140,0.12,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-25,160,-0.38,40,95,Declining
TOP-101,Apparel Sizing Consistency,Product,2026-07-24,189,-0.42,35,110,Declining
TOP-102,On-Time Shipping Reliability,Logistics,2026-07-24,244,0.28,140,70,Improving
TOP-103,In-Store Return Convenience,Store Ops,2026-07-24,199,0.65,150,20,Stable
TOP-104,Customer Support Courtesy,Care,2026-07-24,284,0.72,220,30,Improving
TOP-105,Website Search & Filter Accuracy,Digital,2026-07-24,144,0.15,75,50,Stable
TOP-106,Product Durability & Fabric Quality,Product,2026-07-24,164,-0.35,40,95,Declining
