date,channel,total_tracking_requests,self_service_deflected_count,bot_resolved_count,escalated_to_agent_count,deflection_rate_pct
2026-08-06,Web Tracking Portal,438,380,0,58,86.8
2026-08-06,Mobile App Tracker,368,330,0,38,89.7
2026-08-06,AI Chatbot,208,0,150,58,72.1
2026-08-06,SMS Notification,298,270,0,28,90.6
2026-08-05,Web Tracking Portal,446,386,0,60,86.5
2026-08-05,Mobile App Tracker,376,336,0,40,89.4
2026-08-05,AI Chatbot,216,0,156,60,72.2
2026-08-05,SMS Notification,306,276,0,30,90.2
2026-08-04,Web Tracking Portal,454,392,0,62,86.3
2026-08-04,Mobile App Tracker,384,342,0,42,89.1
2026-08-04,AI Chatbot,224,0,162,62,72.3
2026-08-04,SMS Notification,314,282,0,32,89.8
2026-08-03,Web Tracking Portal,462,404,0,58,87.4
2026-08-03,Mobile App Tracker,392,354,0,38,90.3
2026-08-03,AI Chatbot,232,0,174,58,75.0
2026-08-03,SMS Notification,322,294,0,28,91.3
2026-08-02,Web Tracking Portal,438,378,0,60,86.3
2026-08-02,Mobile App Tracker,368,328,0,40,89.1
2026-08-02,AI Chatbot,208,0,148,60,71.2
2026-08-02,SMS Notification,298,268,0,30,89.9
2026-08-01,Web Tracking Portal,446,384,0,62,86.1
2026-08-01,Mobile App Tracker,376,334,0,42,88.8
2026-08-01,AI Chatbot,216,0,154,62,71.3
2026-08-01,SMS Notification,306,274,0,32,89.5
2026-07-31,Web Tracking Portal,454,396,0,58,87.2
2026-07-31,Mobile App Tracker,384,346,0,38,90.1
2026-07-31,AI Chatbot,224,0,166,58,74.1
2026-07-31,SMS Notification,314,286,0,28,91.1
2026-07-30,Web Tracking Portal,462,402,0,60,87.0
2026-07-30,Mobile App Tracker,392,352,0,40,89.8
2026-07-30,AI Chatbot,232,0,172,60,74.1
2026-07-30,SMS Notification,322,292,0,30,90.7
2026-07-29,Web Tracking Portal,438,376,0,62,85.8
2026-07-29,Mobile App Tracker,368,326,0,42,88.6
2026-07-29,AI Chatbot,208,0,146,62,70.2
2026-07-29,SMS Notification,298,266,0,32,89.3
2026-07-28,Web Tracking Portal,446,388,0,58,87.0
2026-07-28,Mobile App Tracker,376,338,0,38,89.9
2026-07-28,AI Chatbot,216,0,158,58,73.1
2026-07-28,SMS Notification,306,278,0,28,90.8
2026-07-27,Web Tracking Portal,454,394,0,60,86.8
