checkout_stage,date,abandoned_carts_count,abandoned_revenue_dollars,abandonment_rate_pct,primary_exit_reason
Cart Summary,2026-07-10,1450,123250.0,32.8,Comparison Shopping
Shipping Information,2026-07-10,2100,189000.0,41.5,Unexpected Shipping Costs
Payment Info,2026-07-10,1680,159600.0,36.1,Payment Gateway Failure
Order Review,2026-07-10,620,58900.0,14.8,High Taxes/Fees
Cart Summary,2026-07-11,1428,121401.25,32.5,Comparison Shopping
Shipping Information,2026-07-11,2068,186165.0,41.2,Unexpected Shipping Costs
Payment Info,2026-07-11,1654,157206.0,35.8,Payment Gateway Failure
Order Review,2026-07-11,610,58016.5,14.5,High Taxes/Fees
Cart Summary,2026-07-12,1406,119552.5,32.2,Comparison Shopping
Shipping Information,2026-07-12,2037,183330.0,40.9,Unexpected Shipping Costs
Payment Info,2026-07-12,1629,154812.0,35.5,Payment Gateway Failure
Order Review,2026-07-12,601,57133.0,14.2,High Taxes/Fees
Cart Summary,2026-07-13,1471,125098.75,32.8,Comparison Shopping
Shipping Information,2026-07-13,2131,191835.0,41.5,Unexpected Shipping Costs
Payment Info,2026-07-13,1705,161994.0,36.1,Payment Gateway Failure
Order Review,2026-07-13,629,59783.5,14.8,High Taxes/Fees
Cart Summary,2026-07-14,1450,123250.0,32.5,Comparison Shopping
Shipping Information,2026-07-14,2100,189000.0,41.2,Unexpected Shipping Costs
Payment Info,2026-07-14,1680,159600.0,35.8,Payment Gateway Failure
Order Review,2026-07-14,620,58900.0,14.5,High Taxes/Fees
Cart Summary,2026-07-15,1428,121401.25,32.2,Comparison Shopping
Shipping Information,2026-07-15,2068,186165.0,40.9,Unexpected Shipping Costs
Payment Info,2026-07-15,1654,157206.0,35.5,Payment Gateway Failure
Order Review,2026-07-15,610,58016.5,14.2,High Taxes/Fees
Cart Summary,2026-07-16,1406,119552.5,32.8,Comparison Shopping
Shipping Information,2026-07-16,2037,183330.0,41.5,Unexpected Shipping Costs
Payment Info,2026-07-16,1629,154812.0,36.1,Payment Gateway Failure
Order Review,2026-07-16,601,57133.0,14.8,High Taxes/Fees
Cart Summary,2026-07-17,1471,125098.75,32.5,Comparison Shopping
Shipping Information,2026-07-17,2131,191835.0,41.2,Unexpected Shipping Costs
Payment Info,2026-07-17,1705,161994.0,35.8,Payment Gateway Failure
Order Review,2026-07-17,629,59783.5,14.5,High Taxes/Fees
Cart Summary,2026-07-18,1450,123250.0,32.2,Comparison Shopping
Shipping Information,2026-07-18,2100,189000.0,40.9,Unexpected Shipping Costs
Payment Info,2026-07-18,1680,159600.0,35.5,Payment Gateway Failure
Order Review,2026-07-18,620,58900.0,14.2,High Taxes/Fees
Cart Summary,2026-07-19,1428,121401.25,32.8,Comparison Shopping
Shipping Information,2026-07-19,2068,186165.0,41.5,Unexpected Shipping Costs
Payment Info,2026-07-19,1654,157206.0,36.1,Payment Gateway Failure
Order Review,2026-07-19,610,58016.5,14.8,High Taxes/Fees
Cart Summary,2026-07-20,1406,119552.5,32.5,Comparison Shopping
Shipping Information,2026-07-20,2037,183330.0,41.2,Unexpected Shipping Costs
Payment Info,2026-07-20,1629,154812.0,35.8,Payment Gateway Failure
Order Review,2026-07-20,601,57133.0,14.5,High Taxes/Fees
Cart Summary,2026-07-21,1471,125098.75,32.2,Comparison Shopping
Shipping Information,2026-07-21,2131,191835.0,40.9,Unexpected Shipping Costs
Payment Info,2026-07-21,1705,161994.0,35.5,Payment Gateway Failure
Order Review,2026-07-21,629,59783.5,14.2,High Taxes/Fees
Cart Summary,2026-07-22,1450,123250.0,32.8,Comparison Shopping
Shipping Information,2026-07-22,2100,189000.0,41.5,Unexpected Shipping Costs
Payment Info,2026-07-22,1680,159600.0,36.1,Payment Gateway Failure
Order Review,2026-07-22,620,58900.0,14.8,High Taxes/Fees
Cart Summary,2026-07-23,1428,121401.25,32.5,Comparison Shopping
Shipping Information,2026-07-23,2068,186165.0,41.2,Unexpected Shipping Costs
Payment Info,2026-07-23,1654,157206.0,35.8,Payment Gateway Failure
Order Review,2026-07-23,610,58016.5,14.5,High Taxes/Fees
Cart Summary,2026-07-24,1406,119552.5,32.2,Comparison Shopping
Shipping Information,2026-07-24,2037,183330.0,40.9,Unexpected Shipping Costs
Payment Info,2026-07-24,1629,154812.0,35.5,Payment Gateway Failure
Order Review,2026-07-24,601,57133.0,14.2,High Taxes/Fees
