device_type,date,sessions_count,cart_addition_sessions,checkout_initiated_sessions,order_completed_sessions,conversion_rate_pct
Desktop,2026-07-10,12480,4992,3224,1934,15.5
Mobile Web,2026-07-10,19240,5772,3078,1154,6.0
Mobile App,2026-07-10,9880,4940,3458,2470,25.0
Tablet,2026-07-10,2288,800,480,251,10.97
Desktop,2026-07-11,12240,4896,3162,1897,15.5
Mobile Web,2026-07-11,18870,5661,3019,1132,6.0
Mobile App,2026-07-11,9690,4845,3391,2422,24.99
Tablet,2026-07-11,2244,785,471,246,10.96
Desktop,2026-07-12,12000,4800,3100,1860,15.5
Mobile Web,2026-07-12,18500,5550,2960,1110,6.0
Mobile App,2026-07-12,9500,4750,3325,2375,25.0
Tablet,2026-07-12,2200,770,462,242,11.0
Desktop,2026-07-13,11760,4704,3038,1822,15.49
Mobile Web,2026-07-13,18130,5439,2900,1087,6.0
Mobile App,2026-07-13,9310,4655,3258,2327,24.99
Tablet,2026-07-13,2156,754,452,237,10.99
Desktop,2026-07-14,11520,4608,2976,1785,15.49
Mobile Web,2026-07-14,17760,5328,2841,1065,6.0
Mobile App,2026-07-14,9120,4560,3192,2280,25.0
Tablet,2026-07-14,2112,739,443,232,10.98
Desktop,2026-07-15,12480,4992,3224,1934,15.5
Mobile Web,2026-07-15,19240,5772,3078,1154,6.0
Mobile App,2026-07-15,9880,4940,3458,2470,25.0
Tablet,2026-07-15,2288,800,480,251,10.97
Desktop,2026-07-16,12240,4896,3162,1897,15.5
Mobile Web,2026-07-16,18870,5661,3019,1132,6.0
Mobile App,2026-07-16,9690,4845,3391,2422,24.99
Tablet,2026-07-16,2244,785,471,246,10.96
Desktop,2026-07-17,12000,4800,3100,1860,15.5
Mobile Web,2026-07-17,18500,5550,2960,1110,6.0
Mobile App,2026-07-17,9500,4750,3325,2375,25.0
Tablet,2026-07-17,2200,770,462,242,11.0
Desktop,2026-07-18,11760,4704,3038,1822,15.49
Mobile Web,2026-07-18,18130,5439,2900,1087,6.0
Mobile App,2026-07-18,9310,4655,3258,2327,24.99
Tablet,2026-07-18,2156,754,452,237,10.99
Desktop,2026-07-19,11520,4608,2976,1785,15.49
Mobile Web,2026-07-19,17760,5328,2841,1065,6.0
Mobile App,2026-07-19,9120,4560,3192,2280,25.0
Tablet,2026-07-19,2112,739,443,232,10.98
Desktop,2026-07-20,12480,4992,3224,1934,15.5
Mobile Web,2026-07-20,19240,5772,3078,1154,6.0
Mobile App,2026-07-20,9880,4940,3458,2470,25.0
Tablet,2026-07-20,2288,800,480,251,10.97
Desktop,2026-07-21,12240,4896,3162,1897,15.5
Mobile Web,2026-07-21,18870,5661,3019,1132,6.0
Mobile App,2026-07-21,9690,4845,3391,2422,24.99
Tablet,2026-07-21,2244,785,471,246,10.96
Desktop,2026-07-22,12000,4800,3100,1860,15.5
Mobile Web,2026-07-22,18500,5550,2960,1110,6.0
Mobile App,2026-07-22,9500,4750,3325,2375,25.0
Tablet,2026-07-22,2200,770,462,242,11.0
Desktop,2026-07-23,11760,4704,3038,1822,15.49
Mobile Web,2026-07-23,18130,5439,2900,1087,6.0
Mobile App,2026-07-23,9310,4655,3258,2327,24.99
Tablet,2026-07-23,2156,754,452,237,10.99
Desktop,2026-07-24,11520,4608,2976,1785,15.49
Mobile Web,2026-07-24,17760,5328,2841,1065,6.0
Mobile App,2026-07-24,9120,4560,3192,2280,25.0
Tablet,2026-07-24,2112,739,443,232,10.98
