payment_gateway,date,total_transactions,failed_transactions,decline_rate_pct,gateway_error_code
Stripe,2026-07-10,14200,426,3.0,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-10,8500,297,3.5,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-10,6400,160,2.5,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-10,7100,142,2.0,ERR_EXPIRED_CARD
Klarna,2026-07-10,3200,128,4.0,ERR_AVS_MISMATCH
Stripe,2026-07-11,13916,417,3.0,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-11,8330,291,3.5,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-11,6272,156,2.49,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-11,6958,139,2.0,ERR_EXPIRED_CARD
Klarna,2026-07-11,3136,125,3.99,ERR_AVS_MISMATCH
Stripe,2026-07-12,13632,408,2.99,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-12,8160,285,3.5,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-12,6144,153,2.49,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-12,6816,136,2.0,ERR_EXPIRED_CARD
Klarna,2026-07-12,3072,122,3.97,ERR_AVS_MISMATCH
Stripe,2026-07-13,14484,434,3.0,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-13,8670,303,3.5,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-13,6528,163,2.5,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-13,7242,144,1.99,ERR_EXPIRED_CARD
Klarna,2026-07-13,3264,130,3.98,ERR_AVS_MISMATCH
Stripe,2026-07-14,14200,426,3.0,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-14,8500,297,3.5,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-14,6400,160,2.5,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-14,7100,142,2.0,ERR_EXPIRED_CARD
Klarna,2026-07-14,3200,128,4.0,ERR_AVS_MISMATCH
Stripe,2026-07-15,13916,417,3.0,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-15,8330,291,3.5,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-15,6272,156,2.49,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-15,6958,139,2.0,ERR_EXPIRED_CARD
Klarna,2026-07-15,3136,125,3.99,ERR_AVS_MISMATCH
Stripe,2026-07-16,13632,408,2.99,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-16,8160,285,3.5,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-16,6144,153,2.49,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-16,6816,136,2.0,ERR_EXPIRED_CARD
Klarna,2026-07-16,3072,122,3.97,ERR_AVS_MISMATCH
Stripe,2026-07-17,14484,434,3.0,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-17,8670,303,3.5,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-17,6528,163,2.5,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-17,7242,144,1.99,ERR_EXPIRED_CARD
Klarna,2026-07-17,3264,130,3.98,ERR_AVS_MISMATCH
Stripe,2026-07-18,14200,426,3.0,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-18,8500,297,3.5,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-18,6400,160,2.5,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-18,7100,142,2.0,ERR_EXPIRED_CARD
Klarna,2026-07-18,3200,128,4.0,ERR_AVS_MISMATCH
Stripe,2026-07-19,13916,417,3.0,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-19,8330,291,3.5,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-19,6272,156,2.49,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-19,6958,139,2.0,ERR_EXPIRED_CARD
Klarna,2026-07-19,3136,125,3.99,ERR_AVS_MISMATCH
Stripe,2026-07-20,13632,408,2.99,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-20,8160,285,3.5,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-20,6144,153,2.49,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-20,6816,136,2.0,ERR_EXPIRED_CARD
Klarna,2026-07-20,3072,122,3.97,ERR_AVS_MISMATCH
Stripe,2026-07-21,14484,434,3.0,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-21,8670,3034,35.0,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-21,6528,163,2.5,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-21,7242,144,1.99,ERR_EXPIRED_CARD
Klarna,2026-07-21,3264,130,3.98,ERR_AVS_MISMATCH
Stripe,2026-07-22,14200,426,3.0,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-22,8500,2975,35.0,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-22,6400,160,2.5,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-22,7100,142,2.0,ERR_EXPIRED_CARD
Klarna,2026-07-22,3200,128,4.0,ERR_AVS_MISMATCH
Stripe,2026-07-23,13916,417,3.0,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-23,8330,2915,35.0,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-23,6272,156,2.49,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-23,6958,139,2.0,ERR_EXPIRED_CARD
Klarna,2026-07-23,3136,125,3.99,ERR_AVS_MISMATCH
Stripe,2026-07-24,13632,408,2.99,ERR_INSUFFICIENT_FUNDS
PayPal,2026-07-24,8160,2856,35.0,ERR_GATEWAY_TIMEOUT
Adyen,2026-07-24,6144,153,2.49,ERR_3DS_AUTH_FAILED
Apple Pay,2026-07-24,6816,136,2.0,ERR_EXPIRED_CARD
Klarna,2026-07-24,3072,122,3.97,ERR_AVS_MISMATCH
