expenditure_id,project_id,spend_category,contractor_vendor,invoice_date,amount_paid,capitalized_vs_expensed,approval_status
EXP_5000,PRJ_100,POS Tech & Digital Signage,Apex General Contractors 1,2025-06-15,126911.48,Capitalized CapEx,Approved
EXP_5001,PRJ_101,Fixtures & Millwork,Apex General Contractors 2,2025-06-15,192294.79,Capitalized CapEx,Approved
EXP_5002,PRJ_102,Architectural & Construction,Apex General Contractors 3,2025-06-15,252628.26,Capitalized CapEx,Approved
EXP_5003,PRJ_103,Architectural & Construction,Apex General Contractors 4,2025-06-15,223497.2,Capitalized CapEx,Approved
EXP_5004,PRJ_104,Fixtures & Millwork,Apex General Contractors 5,2025-06-15,69851.1,Capitalized CapEx,Approved
EXP_5005,PRJ_105,Flooring & Interior Decor,Apex General Contractors 1,2025-06-15,143460.22,Capitalized CapEx,Approved
EXP_5006,PRJ_106,Flooring & Interior Decor,Apex General Contractors 2,2025-06-15,88545.56,Capitalized CapEx,Approved
EXP_5007,PRJ_107,Architectural & Construction,Apex General Contractors 3,2025-06-15,141397.77,Capitalized CapEx,Approved
EXP_5008,PRJ_108,POS Tech & Digital Signage,Apex General Contractors 4,2025-06-15,195232.32,Capitalized CapEx,Approved
EXP_5009,PRJ_109,Flooring & Interior Decor,Apex General Contractors 5,2025-06-15,176840.34,Capitalized CapEx,Approved
EXP_5010,PRJ_110,POS Tech & Digital Signage,Apex General Contractors 1,2025-06-15,181226.34,Capitalized CapEx,Approved
EXP_5011,PRJ_111,Flooring & Interior Decor,Apex General Contractors 2,2025-06-15,133818.89,Capitalized CapEx,Approved
EXP_5012,PRJ_112,Flooring & Interior Decor,Apex General Contractors 3,2025-06-15,138707.97,Capitalized CapEx,Approved
EXP_5013,PRJ_113,Fixtures & Millwork,Apex General Contractors 4,2025-06-15,214632.14,Capitalized CapEx,Approved
EXP_5014,PRJ_114,POS Tech & Digital Signage,Apex General Contractors 5,2025-06-15,139767.79,Capitalized CapEx,Approved
EXP_5015,PRJ_100,Fixtures & Millwork,Apex General Contractors 1,2025-06-15,239165.04,Capitalized CapEx,Approved
EXP_5016,PRJ_101,LED Lighting & HVAC,Apex General Contractors 2,2025-06-15,220282.49,Capitalized CapEx,Approved
EXP_5017,PRJ_102,Flooring & Interior Decor,Apex General Contractors 3,2025-06-15,148572.24,Capitalized CapEx,Approved
EXP_5018,PRJ_103,Fixtures & Millwork,Apex General Contractors 4,2025-06-15,95022.35,Capitalized CapEx,Approved
EXP_5019,PRJ_104,Architectural & Construction,Apex General Contractors 5,2025-06-15,206953.94,Capitalized CapEx,Approved
EXP_5020,PRJ_105,Fixtures & Millwork,Apex General Contractors 1,2025-06-15,94287.35,Capitalized CapEx,Approved
EXP_5021,PRJ_106,LED Lighting & HVAC,Apex General Contractors 2,2025-06-15,252721.84,Capitalized CapEx,Approved
EXP_5022,PRJ_107,Architectural & Construction,Apex General Contractors 3,2025-06-15,60285.39,Capitalized CapEx,Approved
EXP_5023,PRJ_108,Fixtures & Millwork,Apex General Contractors 4,2025-06-15,122674.0,Capitalized CapEx,Approved
EXP_5024,PRJ_109,Fixtures & Millwork,Apex General Contractors 5,2025-06-15,205136.88,Capitalized CapEx,Approved
EXP_5025,PRJ_110,Architectural & Construction,Apex General Contractors 1,2025-06-15,130791.31,Capitalized CapEx,Approved
EXP_5026,PRJ_111,LED Lighting & HVAC,Apex General Contractors 2,2025-06-15,163365.84,Capitalized CapEx,Approved
EXP_5027,PRJ_112,POS Tech & Digital Signage,Apex General Contractors 3,2025-06-15,40877.76,Capitalized CapEx,Approved
EXP_5028,PRJ_113,POS Tech & Digital Signage,Apex General Contractors 4,2025-06-15,124316.59,Capitalized CapEx,Approved
EXP_5029,PRJ_114,Flooring & Interior Decor,Apex General Contractors 5,2025-06-15,266245.82,Capitalized CapEx,Approved
EXP_5030,PRJ_100,Architectural & Construction,Apex General Contractors 1,2025-06-15,243466.67,Capitalized CapEx,Approved
EXP_5031,PRJ_101,Flooring & Interior Decor,Apex General Contractors 2,2025-06-15,121997.16,Capitalized CapEx,Approved
EXP_5032,PRJ_102,Architectural & Construction,Apex General Contractors 3,2025-06-15,265399.12,Capitalized CapEx,Approved
EXP_5033,PRJ_103,LED Lighting & HVAC,Apex General Contractors 4,2025-06-15,217136.16,Capitalized CapEx,Approved
EXP_5034,PRJ_104,POS Tech & Digital Signage,Apex General Contractors 5,2025-06-15,162246.24,Capitalized CapEx,Approved
EXP_5035,PRJ_105,Flooring & Interior Decor,Apex General Contractors 1,2025-06-15,228966.38,Capitalized CapEx,Approved
EXP_5036,PRJ_106,Fixtures & Millwork,Apex General Contractors 2,2025-06-15,149498.52,Capitalized CapEx,Approved
EXP_5037,PRJ_107,LED Lighting & HVAC,Apex General Contractors 3,2025-06-15,136138.17,Capitalized CapEx,Approved
EXP_5038,PRJ_108,Architectural & Construction,Apex General Contractors 4,2025-06-15,124158.59,Capitalized CapEx,Approved
EXP_5039,PRJ_109,POS Tech & Digital Signage,Apex General Contractors 5,2025-06-15,209666.25,Capitalized CapEx,Approved
