analysis_id,project_id,total_capex_investment,annual_incremental_ebitda,payback_period_years,tracked_irr_pct,target_hurdle_rate_pct,irr_hurdle_met,npv_10yr_dollars
IRR_100,PRJ_100,1404544.18,401873.61,3.49,20.93,14.0,YES,926322.76
IRR_101,PRJ_101,1587660.5,656453.57,2.42,25.12,14.0,YES,2219770.21
IRR_102,PRJ_102,1811129.45,488059.26,3.71,20.23,14.0,YES,1019614.26
IRR_103,PRJ_103,1552290.15,632092.07,2.46,23.41,14.0,YES,2113843.86
IRR_104,PRJ_104,1980434.0,609092.88,3.25,27.8,14.0,YES,1552304.7
IRR_105,PRJ_105,1057828.71,366619.75,2.89,26.47,14.0,YES,1068565.84
IRR_106,PRJ_106,1115704.19,407784.01,2.74,20.12,14.0,YES,1249443.07
IRR_107,PRJ_107,1689536.75,650463.26,2.6,26.05,14.0,YES,2083150.16
IRR_108,PRJ_108,1535712.32,379923.62,4.04,22.89,14.0,YES,667844.68
IRR_109,PRJ_109,1659977.74,418998.65,3.96,24.27,14.0,YES,770214.43
