record_id,project_id,store_id,pre_remodel_avg_weekly_sales,post_remodel_avg_weekly_sales,sales_lift_pct,control_store_benchmark_lift_pct,net_incremental_sales_lift_pct,margin_lift_bps,weeks_tracked
LFT_100,PRJ_100,STR_100,381721.36,462951.67,21.28,3.76,17.52,256,26
LFT_101,PRJ_101,STR_101,186471.95,212540.73,13.98,2.8,11.18,126,26
LFT_102,PRJ_102,STR_102,200147.39,229088.7,14.46,3.49,10.97,166,26
LFT_103,PRJ_103,STR_103,192068.31,218516.12,13.77,1.99,11.78,203,26
LFT_104,PRJ_104,STR_104,261000.13,315105.46,20.73,2.14,18.59,332,26
LFT_105,PRJ_105,STR_105,281175.56,337719.97,20.11,2.58,17.53,311,26
LFT_106,PRJ_106,STR_106,309460.57,378779.74,22.4,2.3,20.1,286,26
LFT_107,PRJ_107,STR_107,196468.41,239318.17,21.81,1.59,20.22,127,26
LFT_108,PRJ_108,STR_108,407906.82,453877.92,11.27,1.55,9.72,159,26
LFT_109,PRJ_109,STR_109,237250.79,273028.21,15.08,1.76,13.32,175,26
