record_id,cost_center_id,fiscal_year,fiscal_quarter,expense_category,budgeted_amount,actual_spent_amount,variance_amount,variance_pct,favorable_vs_unfavorable
BVA_1,CC_FINANCE,2026,Q2,Salaries & Wages,1306777.32,1404524.26,97746.94,7.48,Unfavorable
BVA_2,CC_FINANCE,2026,Q2,Cloud Infrastructure & IT,342515.3,306071.67,-36443.63,-10.64,Favorable
BVA_3,CC_FINANCE,2026,Q2,Professional Services & Legal,211400.01,249198.33,37798.32,17.88,Unfavorable
BVA_4,CC_FINANCE,2026,Q2,Marketing & Advertising,341598.79,324655.49,-16943.3,-4.96,Favorable
BVA_5,CC_FINANCE,2026,Q2,Travel & Entertainment,1036951.9,1033426.26,-3525.64,-0.34,Favorable
BVA_6,CC_MARKETING,2026,Q2,Salaries & Wages,762169.0,887774.45,125605.45,16.48,Unfavorable
BVA_7,CC_MARKETING,2026,Q2,Cloud Infrastructure & IT,1299198.59,1353894.85,54696.26,4.21,Unfavorable
BVA_8,CC_MARKETING,2026,Q2,Professional Services & Legal,1119111.57,1228784.5,109672.93,9.8,Unfavorable
BVA_9,CC_MARKETING,2026,Q2,Marketing & Advertising,1610932.74,1734169.09,123236.35,7.65,Unfavorable
BVA_10,CC_MARKETING,2026,Q2,Travel & Entertainment,1525593.59,1624299.5,98705.91,6.47,Unfavorable
BVA_11,CC_SUPPLY_CHAIN,2026,Q2,Salaries & Wages,1699437.56,1638087.86,-61349.7,-3.61,Favorable
BVA_12,CC_SUPPLY_CHAIN,2026,Q2,Cloud Infrastructure & IT,1288963.1,1218327.92,-70635.18,-5.48,Favorable
BVA_13,CC_SUPPLY_CHAIN,2026,Q2,Professional Services & Legal,883748.17,840267.76,-43480.41,-4.92,Favorable
BVA_14,CC_SUPPLY_CHAIN,2026,Q2,Marketing & Advertising,748431.96,878883.65,130451.69,17.43,Unfavorable
BVA_15,CC_SUPPLY_CHAIN,2026,Q2,Travel & Entertainment,756102.68,869896.13,113793.45,15.05,Unfavorable
BVA_16,CC_HR,2026,Q2,Salaries & Wages,1213964.24,1090382.68,-123581.56,-10.18,Favorable
BVA_17,CC_HR,2026,Q2,Cloud Infrastructure & IT,605204.38,708391.73,103187.35,17.05,Unfavorable
BVA_18,CC_HR,2026,Q2,Professional Services & Legal,1715867.8,1934297.77,218429.97,12.73,Unfavorable
BVA_19,CC_HR,2026,Q2,Marketing & Advertising,301261.15,284270.02,-16991.13,-5.64,Favorable
BVA_20,CC_HR,2026,Q2,Travel & Entertainment,1205163.32,1411607.8,206444.48,17.13,Unfavorable
BVA_21,CC_IT_ENG,2026,Q2,Salaries & Wages,233454.54,228808.79,-4645.75,-1.99,Favorable
BVA_22,CC_IT_ENG,2026,Q2,Cloud Infrastructure & IT,1781554.49,1988392.97,206838.48,11.61,Unfavorable
BVA_23,CC_IT_ENG,2026,Q2,Professional Services & Legal,488589.2,551568.35,62979.15,12.89,Unfavorable
BVA_24,CC_IT_ENG,2026,Q2,Marketing & Advertising,1064442.85,1123945.21,59502.36,5.59,Unfavorable
BVA_25,CC_IT_ENG,2026,Q2,Travel & Entertainment,1491537.42,1416811.4,-74726.02,-5.01,Favorable
BVA_26,CC_LEGAL,2026,Q2,Salaries & Wages,1427708.15,1594178.92,166470.77,11.66,Unfavorable
BVA_27,CC_LEGAL,2026,Q2,Cloud Infrastructure & IT,1133369.7,1091661.7,-41708.0,-3.68,Favorable
BVA_28,CC_LEGAL,2026,Q2,Professional Services & Legal,1773646.42,2086340.28,312693.86,17.63,Unfavorable
BVA_29,CC_LEGAL,2026,Q2,Marketing & Advertising,1041355.5,1165901.62,124546.12,11.96,Unfavorable
BVA_30,CC_LEGAL,2026,Q2,Travel & Entertainment,331378.47,377738.32,46359.85,13.99,Unfavorable
BVA_31,CC_STORE_OPS,2026,Q2,Salaries & Wages,367475.33,362881.89,-4593.44,-1.25,Favorable
BVA_32,CC_STORE_OPS,2026,Q2,Cloud Infrastructure & IT,1450912.03,1533178.74,82266.71,5.67,Unfavorable
BVA_33,CC_STORE_OPS,2026,Q2,Professional Services & Legal,176038.79,168926.82,-7111.97,-4.04,Favorable
BVA_34,CC_STORE_OPS,2026,Q2,Marketing & Advertising,359151.6,361414.26,2262.66,0.63,Unfavorable
BVA_35,CC_STORE_OPS,2026,Q2,Travel & Entertainment,337521.36,303465.45,-34055.91,-10.09,Favorable
BVA_36,CC_EXECUTIVE,2026,Q2,Salaries & Wages,889654.1,879512.04,-10142.06,-1.14,Favorable
BVA_37,CC_EXECUTIVE,2026,Q2,Cloud Infrastructure & IT,1129548.93,1147169.89,17620.96,1.56,Unfavorable
BVA_38,CC_EXECUTIVE,2026,Q2,Professional Services & Legal,515557.1,548810.53,33253.43,6.45,Unfavorable
BVA_39,CC_EXECUTIVE,2026,Q2,Marketing & Advertising,1349950.95,1555953.46,206002.51,15.26,Unfavorable
BVA_40,CC_EXECUTIVE,2026,Q2,Travel & Entertainment,1237190.07,1200692.96,-36497.11,-2.95,Favorable
