exposure_id,vendor_id,vendor_country,settlement_currency,open_po_commitments_foreign_curr,open_po_usd_equivalent,hedged_percentage,unhedged_net_exposure_usd
EXP_100,VND_201,Italy,EUR,22681767.47,10342777.52,76.42,2438826.94
EXP_101,VND_202,China,CNY,9552700.32,6197732.45,59.91,2484670.94
EXP_102,VND_203,UK,GBP,32139450.19,23094068.26,73.35,6154569.19
EXP_103,VND_204,Japan,JPY,6816694.5,4132102.82,70.98,1199136.24
EXP_104,VND_205,Canada,CAD,5307483.44,2604625.29,57.39,1109830.84
EXP_105,VND_206,India,INR,10489392.21,4555427.55,61.48,1754750.69
EXP_106,VND_201,Italy,EUR,5309196.26,5515338.4,56.15,2418475.89
EXP_107,VND_202,China,CNY,20208297.83,19915593.85,67.51,6470576.44
EXP_108,VND_203,UK,GBP,38334168.1,42613266.75,52.52,20232779.05
EXP_109,VND_204,Japan,JPY,39470574.48,6790193.25,50.66,3350281.35
EXP_110,VND_205,Canada,CAD,41846497.38,49395409.53,70.15,14744529.74
EXP_111,VND_206,India,INR,27935987.24,27731599.81,64.62,9811440.01
