contract_id,hedging_counterparty_bank,currency_pair,contract_type,notional_foreign_currency,contracted_forward_rate,settlement_maturity_date,designated_hedge_accounting_status
HED_100,JPMorgan Chase / Citi 1,EUR/USD,Forward Contract,14078095.78,1.0993,2026-11-30,Cash Flow Hedge (ASC 815)
HED_101,JPMorgan Chase / Citi 2,GBP/USD,Forward Contract,5476820.43,1.2587,2026-11-30,Cash Flow Hedge (ASC 815)
HED_102,JPMorgan Chase / Citi 3,USD/CNY,Forward Contract,11135084.05,7.1698,2026-11-30,Cash Flow Hedge (ASC 815)
HED_103,JPMorgan Chase / Citi 1,USD/JPY,Forward Contract,6417720.54,151.4477,2026-11-30,Cash Flow Hedge (ASC 815)
HED_104,JPMorgan Chase / Citi 2,USD/CAD,Forward Contract,13308215.18,1.3686,2026-11-30,Cash Flow Hedge (ASC 815)
HED_105,JPMorgan Chase / Citi 3,EUR/USD,Forward Contract,7210196.47,1.0695,2026-11-30,Cash Flow Hedge (ASC 815)
HED_106,JPMorgan Chase / Citi 1,GBP/USD,Forward Contract,10231236.16,1.2511,2026-11-30,Cash Flow Hedge (ASC 815)
HED_107,JPMorgan Chase / Citi 2,USD/CNY,Forward Contract,11699452.91,7.1427,2026-11-30,Cash Flow Hedge (ASC 815)
HED_108,JPMorgan Chase / Citi 3,USD/JPY,Forward Contract,7457822.42,153.5167,2026-11-30,Cash Flow Hedge (ASC 815)
HED_109,JPMorgan Chase / Citi 1,USD/CAD,Forward Contract,6810690.2,1.3771,2026-11-30,Cash Flow Hedge (ASC 815)
HED_110,JPMorgan Chase / Citi 2,EUR/USD,Forward Contract,12098863.06,1.0879,2026-11-30,Cash Flow Hedge (ASC 815)
HED_111,JPMorgan Chase / Citi 3,GBP/USD,Forward Contract,3104441.52,1.2522,2026-11-30,Cash Flow Hedge (ASC 815)
HED_112,JPMorgan Chase / Citi 1,USD/CNY,Forward Contract,4046328.66,7.2591,2026-11-30,Cash Flow Hedge (ASC 815)
HED_113,JPMorgan Chase / Citi 2,USD/JPY,Forward Contract,10761593.24,153.0916,2026-11-30,Cash Flow Hedge (ASC 815)
HED_114,JPMorgan Chase / Citi 3,USD/CAD,Forward Contract,10605203.01,1.3642,2026-11-30,Cash Flow Hedge (ASC 815)
