variance_id,shipment_container_id,merchandise_category,po_budgeted_fx_rate,actual_settlement_fx_rate,budgeted_landed_cost_usd,actual_landed_cost_usd,fx_variance_dollars,fx_variance_pct
VAR_100,CONT_9100,Apparel,1.085,1.077,408676.9,405663.61,-3013.29,-0.74
VAR_101,CONT_9101,Footwear,1.085,1.1329,292071.96,304966.2,12894.24,4.41
VAR_102,CONT_9102,Grocery,1.085,1.1496,114523.51,121342.14,6818.63,5.95
VAR_103,CONT_9103,Apparel,1.085,1.0542,282271.88,274259.0,-8012.88,-2.84
VAR_104,CONT_9104,Beauty & Personal Care,1.085,1.031,376625.68,357881.18,-18744.5,-4.98
VAR_105,CONT_9105,Grocery,1.085,1.0678,196577.99,193461.73,-3116.26,-1.59
VAR_106,CONT_9106,Footwear,1.085,1.0307,297130.26,282260.05,-14870.21,-5.0
VAR_107,CONT_9107,Beauty & Personal Care,1.085,1.0918,388484.12,390918.86,2434.74,0.63
VAR_108,CONT_9108,Home & Kitchen,1.085,1.0694,406004.82,400167.33,-5837.49,-1.44
VAR_109,CONT_9109,Grocery,1.085,1.1349,164150.06,171699.45,7549.39,4.6
VAR_110,CONT_9110,Footwear,1.085,1.056,143122.17,139296.78,-3825.39,-2.67
VAR_111,CONT_9111,Footwear,1.085,1.1271,304595.52,316414.39,11818.87,3.88
VAR_112,CONT_9112,Footwear,1.085,1.1541,295362.84,314173.51,18810.67,6.37
VAR_113,CONT_9113,Electronics,1.085,1.1263,339558.85,352483.99,12925.14,3.81
VAR_114,CONT_9114,Electronics,1.085,1.116,380486.13,391357.16,10871.03,2.86
VAR_115,CONT_9115,Grocery,1.085,1.1095,294214.8,300858.36,6643.56,2.26
