mtm_id,contract_id,valuation_date,contract_forward_rate,current_market_spot_rate,notional_amount,unrealized_gain_loss_dollars,balance_sheet_asset_liability
MTM_100,HED_100,2026-06-30,1.085,1.126,7390521.85,303011.4,Derivative Asset (Gain)
MTM_101,HED_101,2026-06-30,1.085,1.0563,3478003.81,-99818.71,Derivative Liability (Loss)
MTM_102,HED_102,2026-06-30,1.085,1.0848,5119743.05,-1023.95,Derivative Liability (Loss)
MTM_103,HED_103,2026-06-30,1.085,1.0684,3393204.84,-56327.2,Derivative Liability (Loss)
MTM_104,HED_104,2026-06-30,1.085,1.0911,5172854.95,31554.42,Derivative Asset (Gain)
MTM_105,HED_105,2026-06-30,1.085,1.0857,3398230.36,2378.76,Derivative Asset (Gain)
MTM_106,HED_106,2026-06-30,1.085,1.1228,3537117.01,133703.02,Derivative Asset (Gain)
MTM_107,HED_107,2026-06-30,1.085,1.126,8987053.6,368469.2,Derivative Asset (Gain)
MTM_108,HED_108,2026-06-30,1.085,1.1017,6549474.72,109376.23,Derivative Asset (Gain)
MTM_109,HED_109,2026-06-30,1.085,1.0868,6880214.6,12384.39,Derivative Asset (Gain)
MTM_110,HED_110,2026-06-30,1.085,1.1189,9271137.36,314291.56,Derivative Asset (Gain)
MTM_111,HED_111,2026-06-30,1.085,1.0855,8668711.42,4334.36,Derivative Asset (Gain)
