issuance_batch_id,issuance_quarter,card_type,sales_channel,cards_issued_count,total_face_value_issued,average_card_load_amount,holiday_season_flag
ISS_1,2025-Q3,Physical Card,In-Store POS,26188,1014261.24,38.73,NO
ISS_2,2025-Q3,Digital eGift,Online Web & App,27656,1791555.68,64.78,NO
ISS_3,2025-Q3,B2B Corporate Bulk,Corporate Sales,63843,4307487.21,67.47,NO
ISS_4,2025-Q4,Physical Card,In-Store POS,76447,4469091.62,58.46,YES
ISS_5,2025-Q4,Digital eGift,Online Web & App,217829,13461832.2,61.8,YES
ISS_6,2025-Q4,B2B Corporate Bulk,Corporate Sales,260382,12795171.48,49.14,YES
ISS_7,2026-Q1,Physical Card,In-Store POS,70435,4910728.2,69.72,NO
ISS_8,2026-Q1,Digital eGift,Online Web & App,21743,1603328.82,73.74,NO
ISS_9,2026-Q1,B2B Corporate Bulk,Corporate Sales,93696,4450560.0,47.5,NO
ISS_10,2026-Q2,Physical Card,In-Store POS,28579,1661011.48,58.12,NO
ISS_11,2026-Q2,Digital eGift,Online Web & App,42884,1766391.96,41.19,NO
ISS_12,2026-Q2,B2B Corporate Bulk,Corporate Sales,78201,3438497.97,43.97,NO
