store_id,product_id,date,units_sold,gross_revenue,cogs_amount,markdown_discount_amount,net_revenue,gross_margin_amount,gross_margin_pct
STORE-001,SKU-001,2026-06-25,11,1980.00,990.00,0.00,1980.00,990.00,50.00
STORE-001,SKU-002,2026-06-25,17,1530.00,765.00,0.00,1530.00,765.00,50.00
STORE-001,SKU-003,2026-06-25,19,2280.00,1140.00,342.00,1938.00,798.00,41.18
STORE-001,SKU-004,2026-06-25,11,1650.00,880.00,247.50,1402.50,522.50,37.25
STORE-001,SKU-005,2026-06-25,10,2200.00,1100.00,0.00,2200.00,1100.00,50.00
STORE-001,SKU-006,2026-06-25,15,2250.00,1125.00,0.00,2250.00,1125.00,50.00
STORE-002,SKU-001,2026-06-25,8,1440.00,720.00,0.00,1440.00,720.00,50.00
STORE-002,SKU-002,2026-06-25,14,1260.00,630.00,126.00,1134.00,504.00,44.44
STORE-002,SKU-003,2026-06-25,18,2160.00,1080.00,0.00,2160.00,1080.00,50.00
STORE-002,SKU-004,2026-06-25,14,2100.00,1120.00,315.00,1785.00,665.00,37.25
STORE-002,SKU-005,2026-06-25,9,1980.00,990.00,0.00,1980.00,990.00,50.00
STORE-002,SKU-006,2026-06-25,14,2100.00,1050.00,0.00,2100.00,1050.00,50.00
STORE-003,SKU-001,2026-06-25,12,2160.00,1080.00,0.00,2160.00,1080.00,50.00
STORE-003,SKU-002,2026-06-25,17,1530.00,765.00,0.00,1530.00,765.00,50.00
STORE-003,SKU-003,2026-06-25,21,2520.00,1260.00,0.00,2520.00,1260.00,50.00
STORE-003,SKU-004,2026-06-25,11,1650.00,880.00,0.00,1650.00,770.00,46.67
STORE-003,SKU-005,2026-06-25,11,2420.00,1210.00,0.00,2420.00,1210.00,50.00
STORE-003,SKU-006,2026-06-25,13,1950.00,975.00,97.50,1852.50,877.50,47.37
STORE-004,SKU-001,2026-06-25,8,1440.00,720.00,0.00,1440.00,720.00,50.00
STORE-004,SKU-002,2026-06-25,16,1440.00,720.00,0.00,1440.00,720.00,50.00
STORE-004,SKU-003,2026-06-25,22,2640.00,1320.00,264.00,2376.00,1056.00,44.44
STORE-004,SKU-004,2026-06-25,11,1650.00,880.00,82.50,1567.50,687.50,43.86
STORE-004,SKU-005,2026-06-25,6,1320.00,660.00,0.00,1320.00,660.00,50.00
STORE-004,SKU-006,2026-06-25,16,2400.00,1200.00,240.00,2160.00,960.00,44.44
STORE-001,SKU-001,2026-06-26,12,2160.00,1080.00,0.00,2160.00,1080.00,50.00
STORE-001,SKU-002,2026-06-26,16,1440.00,720.00,216.00,1224.00,504.00,41.18
STORE-001,SKU-003,2026-06-26,18,2160.00,1080.00,324.00,1836.00,756.00,41.18
STORE-001,SKU-004,2026-06-26,11,1650.00,880.00,0.00,1650.00,770.00,46.67
STORE-001,SKU-005,2026-06-26,11,2420.00,1210.00,0.00,2420.00,1210.00,50.00
STORE-001,SKU-006,2026-06-26,16,2400.00,1200.00,120.00,2280.00,1080.00,47.37
STORE-002,SKU-001,2026-06-26,9,1620.00,810.00,243.00,1377.00,567.00,41.18
STORE-002,SKU-002,2026-06-26,17,1530.00,765.00,0.00,1530.00,765.00,50.00
STORE-002,SKU-003,2026-06-26,20,2400.00,1200.00,0.00,2400.00,1200.00,50.00
STORE-002,SKU-004,2026-06-26,13,1950.00,1040.00,292.50,1657.50,617.50,37.25
STORE-002,SKU-005,2026-06-26,11,2420.00,1210.00,363.00,2057.00,847.00,41.18
STORE-002,SKU-006,2026-06-26,12,1800.00,900.00,270.00,1530.00,630.00,41.18
STORE-003,SKU-001,2026-06-26,9,1620.00,810.00,243.00,1377.00,567.00,41.18
STORE-003,SKU-002,2026-06-26,14,1260.00,630.00,63.00,1197.00,567.00,47.37
STORE-003,SKU-003,2026-06-26,20,2400.00,1200.00,360.00,2040.00,840.00,41.18
STORE-003,SKU-004,2026-06-26,13,1950.00,1040.00,0.00,1950.00,910.00,46.67
STORE-003,SKU-005,2026-06-26,9,1980.00,990.00,0.00,1980.00,990.00,50.00
STORE-003,SKU-006,2026-06-26,13,1950.00,975.00,0.00,1950.00,975.00,50.00
STORE-004,SKU-001,2026-06-26,12,2160.00,1080.00,108.00,2052.00,972.00,47.37
STORE-004,SKU-002,2026-06-26,14,1260.00,630.00,0.00,1260.00,630.00,50.00
STORE-004,SKU-003,2026-06-26,23,2760.00,1380.00,276.00,2484.00,1104.00,44.44
STORE-004,SKU-004,2026-06-26,14,2100.00,1120.00,0.00,2100.00,980.00,46.67
STORE-004,SKU-005,2026-06-26,7,1540.00,770.00,77.00,1463.00,693.00,47.37
STORE-004,SKU-006,2026-06-26,14,2100.00,1050.00,315.00,1785.00,735.00,41.18
STORE-001,SKU-001,2026-06-27,13,2340.00,1170.00,0.00,2340.00,1170.00,50.00
STORE-001,SKU-002,2026-06-27,18,1620.00,810.00,243.00,1377.00,567.00,41.18
STORE-001,SKU-003,2026-06-27,27,3240.00,1620.00,0.00,3240.00,1620.00,50.00
STORE-001,SKU-004,2026-06-27,17,2550.00,1360.00,127.50,2422.50,1062.50,43.86
STORE-001,SKU-005,2026-06-27,13,2860.00,1430.00,143.00,2717.00,1287.00,47.37
STORE-001,SKU-006,2026-06-27,18,2700.00,1350.00,0.00,2700.00,1350.00,50.00
STORE-002,SKU-001,2026-06-27,14,2520.00,1260.00,0.00,2520.00,1260.00,50.00
STORE-002,SKU-002,2026-06-27,21,1890.00,945.00,0.00,1890.00,945.00,50.00
STORE-002,SKU-003,2026-06-27,25,3000.00,1500.00,0.00,3000.00,1500.00,50.00
STORE-002,SKU-004,2026-06-27,18,2700.00,1440.00,135.00,2565.00,1125.00,43.86
STORE-002,SKU-005,2026-06-27,11,2420.00,1210.00,121.00,2299.00,1089.00,47.37
STORE-002,SKU-006,2026-06-27,18,2700.00,1350.00,135.00,2565.00,1215.00,47.37
STORE-003,SKU-001,2026-06-27,14,2520.00,1260.00,252.00,2268.00,1008.00,44.44
STORE-003,SKU-002,2026-06-27,22,1980.00,990.00,0.00,1980.00,990.00,50.00
STORE-003,SKU-003,2026-06-27,27,3240.00,1620.00,0.00,3240.00,1620.00,50.00
STORE-003,SKU-004,2026-06-27,17,2550.00,1360.00,255.00,2295.00,935.00,40.74
STORE-003,SKU-005,2026-06-27,12,2640.00,1320.00,396.00,2244.00,924.00,41.18
STORE-003,SKU-006,2026-06-27,18,2700.00,1350.00,0.00,2700.00,1350.00,50.00
STORE-004,SKU-001,2026-06-27,13,2340.00,1170.00,117.00,2223.00,1053.00,47.37
STORE-004,SKU-002,2026-06-27,18,1620.00,810.00,243.00,1377.00,567.00,41.18
STORE-004,SKU-003,2026-06-27,28,3360.00,1680.00,0.00,3360.00,1680.00,50.00
STORE-004,SKU-004,2026-06-27,18,2700.00,1440.00,0.00,2700.00,1260.00,46.67
STORE-004,SKU-005,2026-06-27,11,2420.00,1210.00,0.00,2420.00,1210.00,50.00
STORE-004,SKU-006,2026-06-27,21,3150.00,1575.00,0.00,3150.00,1575.00,50.00
STORE-001,SKU-001,2026-06-28,15,2700.00,1350.00,270.00,2430.00,1080.00,44.44
STORE-001,SKU-002,2026-06-28,21,1890.00,945.00,0.00,1890.00,945.00,50.00
STORE-001,SKU-003,2026-06-28,26,3120.00,1560.00,0.00,3120.00,1560.00,50.00
STORE-001,SKU-004,2026-06-28,16,2400.00,1280.00,240.00,2160.00,880.00,40.74
STORE-001,SKU-005,2026-06-28,13,2860.00,1430.00,286.00,2574.00,1144.00,44.44
STORE-001,SKU-006,2026-06-28,18,2700.00,1350.00,0.00,2700.00,1350.00,50.00
STORE-002,SKU-001,2026-06-28,12,2160.00,1080.00,0.00,2160.00,1080.00,50.00
STORE-002,SKU-002,2026-06-28,22,1980.00,990.00,0.00,1980.00,990.00,50.00
STORE-002,SKU-003,2026-06-28,25,3000.00,1500.00,0.00,3000.00,1500.00,50.00
STORE-002,SKU-004,2026-06-28,18,2700.00,1440.00,0.00,2700.00,1260.00,46.67
STORE-002,SKU-005,2026-06-28,9,1980.00,990.00,99.00,1881.00,891.00,47.37
STORE-002,SKU-006,2026-06-28,20,3000.00,1500.00,300.00,2700.00,1200.00,44.44
STORE-003,SKU-001,2026-06-28,15,2700.00,1350.00,0.00,2700.00,1350.00,50.00
STORE-003,SKU-002,2026-06-28,21,1890.00,945.00,189.00,1701.00,756.00,44.44
STORE-003,SKU-003,2026-06-28,25,3000.00,1500.00,300.00,2700.00,1200.00,44.44
STORE-003,SKU-004,2026-06-28,18,2700.00,1440.00,135.00,2565.00,1125.00,43.86
STORE-003,SKU-005,2026-06-28,13,2860.00,1430.00,286.00,2574.00,1144.00,44.44
STORE-003,SKU-006,2026-06-28,20,3000.00,1500.00,450.00,2550.00,1050.00,41.18
STORE-004,SKU-001,2026-06-28,12,2160.00,1080.00,0.00,2160.00,1080.00,50.00
STORE-004,SKU-002,2026-06-28,19,1710.00,855.00,256.50,1453.50,598.50,41.18
STORE-004,SKU-003,2026-06-28,27,3240.00,1620.00,162.00,3078.00,1458.00,47.37
STORE-004,SKU-004,2026-06-28,18,2700.00,1440.00,135.00,2565.00,1125.00,43.86
STORE-004,SKU-005,2026-06-28,9,1980.00,990.00,0.00,1980.00,990.00,50.00
STORE-004,SKU-006,2026-06-28,17,2550.00,1275.00,0.00,2550.00,1275.00,50.00
STORE-001,SKU-001,2026-06-29,11,1980.00,990.00,0.00,1980.00,990.00,50.00
STORE-001,SKU-002,2026-06-29,16,1440.00,720.00,0.00,1440.00,720.00,50.00
STORE-001,SKU-003,2026-06-29,18,2160.00,1080.00,324.00,1836.00,756.00,41.18
STORE-001,SKU-004,2026-06-29,10,1500.00,800.00,0.00,1500.00,700.00,46.67
STORE-001,SKU-005,2026-06-29,11,2420.00,1210.00,0.00,2420.00,1210.00,50.00
STORE-001,SKU-006,2026-06-29,12,1800.00,900.00,0.00,1800.00,900.00,50.00
STORE-002,SKU-001,2026-06-29,9,1620.00,810.00,81.00,1539.00,729.00,47.37
STORE-002,SKU-002,2026-06-29,14,1260.00,630.00,0.00,1260.00,630.00,50.00
STORE-002,SKU-003,2026-06-29,22,2640.00,1320.00,264.00,2376.00,1056.00,44.44
STORE-002,SKU-004,2026-06-29,13,1950.00,1040.00,0.00,1950.00,910.00,46.67
STORE-002,SKU-005,2026-06-29,10,2200.00,1100.00,110.00,2090.00,990.00,47.37
STORE-002,SKU-006,2026-06-29,13,1950.00,975.00,0.00,1950.00,975.00,50.00
STORE-003,SKU-001,2026-06-29,11,1980.00,990.00,0.00,1980.00,990.00,50.00
STORE-003,SKU-002,2026-06-29,15,1350.00,675.00,67.50,1282.50,607.50,47.37
STORE-003,SKU-003,2026-06-29,22,2640.00,1320.00,0.00,2640.00,1320.00,50.00
STORE-003,SKU-004,2026-06-29,13,1950.00,1040.00,292.50,1657.50,617.50,37.25
STORE-003,SKU-005,2026-06-29,6,1320.00,660.00,66.00,1254.00,594.00,47.37
STORE-003,SKU-006,2026-06-29,16,2400.00,1200.00,0.00,2400.00,1200.00,50.00
STORE-004,SKU-001,2026-06-29,9,1620.00,810.00,0.00,1620.00,810.00,50.00
STORE-004,SKU-002,2026-06-29,16,1440.00,720.00,0.00,1440.00,720.00,50.00
STORE-004,SKU-003,2026-06-29,20,2400.00,1200.00,0.00,2400.00,1200.00,50.00
STORE-004,SKU-004,2026-06-29,12,1800.00,960.00,0.00,1800.00,840.00,46.67
STORE-004,SKU-005,2026-06-29,8,1760.00,880.00,176.00,1584.00,704.00,44.44
STORE-004,SKU-006,2026-06-29,12,1800.00,900.00,270.00,1530.00,630.00,41.18
STORE-001,SKU-001,2026-06-30,13,2340.00,1170.00,0.00,2340.00,1170.00,50.00
STORE-001,SKU-002,2026-06-30,18,1620.00,810.00,0.00,1620.00,810.00,50.00
STORE-001,SKU-003,2026-06-30,19,2280.00,1140.00,114.00,2166.00,1026.00,47.37
STORE-001,SKU-004,2026-06-30,12,1800.00,960.00,90.00,1710.00,750.00,43.86
STORE-001,SKU-005,2026-06-30,11,2420.00,1210.00,0.00,2420.00,1210.00,50.00
STORE-001,SKU-006,2026-06-30,14,2100.00,1050.00,105.00,1995.00,945.00,47.37
STORE-002,SKU-001,2026-06-30,9,1620.00,810.00,81.00,1539.00,729.00,47.37
STORE-002,SKU-002,2026-06-30,14,1260.00,630.00,189.00,1071.00,441.00,41.18
STORE-002,SKU-003,2026-06-30,23,2760.00,1380.00,276.00,2484.00,1104.00,44.44
STORE-002,SKU-004,2026-06-30,13,1950.00,1040.00,97.50,1852.50,812.50,43.86
STORE-002,SKU-005,2026-06-30,7,1540.00,770.00,0.00,1540.00,770.00,50.00
STORE-002,SKU-006,2026-06-30,13,1950.00,975.00,0.00,1950.00,975.00,50.00
STORE-003,SKU-001,2026-06-30,11,1980.00,990.00,198.00,1782.00,792.00,44.44
STORE-003,SKU-002,2026-06-30,13,1170.00,585.00,0.00,1170.00,585.00,50.00
STORE-003,SKU-003,2026-06-30,18,2160.00,1080.00,216.00,1944.00,864.00,44.44
STORE-003,SKU-004,2026-06-30,12,1800.00,960.00,180.00,1620.00,660.00,40.74
