layer_id,sku_id,product_name,merchandise_category,inventory_receipt_date,layer_units_on_hand,fifo_unit_cost,weighted_avg_cost,current_replacement_cost,extended_fifo_value
LAY_1000,SKU_9000,Retail Product 1,Apparel,2025-11-20,7382,154.26,149.39,165.63,1138747.32
LAY_1001,SKU_9001,Retail Product 2,Grocery,2025-11-20,8032,134.36,133.67,139.39,1079179.52
LAY_1002,SKU_9002,Retail Product 3,Grocery,2025-11-20,4925,118.55,122.53,123.76,583858.75
LAY_1003,SKU_9003,Retail Product 4,Electronics,2025-11-20,7636,154.85,156.0,150.45,1182434.6
LAY_1004,SKU_9004,Retail Product 5,Footwear,2025-11-20,1919,60.25,60.01,62.66,115619.75
LAY_1005,SKU_9005,Retail Product 6,Beauty & Personal Care,2025-11-20,10499,127.6,125.93,127.48,1339672.4
LAY_1006,SKU_9006,Retail Product 7,Home & Kitchen,2025-11-20,3479,96.35,95.23,92.62,335201.65
LAY_1007,SKU_9007,Retail Product 8,Home & Kitchen,2025-11-20,10267,133.3,130.91,122.85,1368591.1
LAY_1008,SKU_9008,Retail Product 9,Footwear,2025-11-20,1902,53.75,53.35,54.22,102232.5
LAY_1009,SKU_9009,Retail Product 10,Footwear,2025-11-20,11814,94.36,95.96,93.58,1114769.04
LAY_1010,SKU_9010,Retail Product 11,Apparel,2025-11-20,2024,62.9,62.42,60.32,127309.6
LAY_1011,SKU_9011,Retail Product 12,Grocery,2025-11-20,10028,75.84,76.16,73.94,760523.52
LAY_1012,SKU_9012,Retail Product 13,Grocery,2025-11-20,9517,69.23,70.35,66.69,658861.91
LAY_1013,SKU_9013,Retail Product 14,Home & Kitchen,2025-11-20,4277,32.87,32.06,30.87,140584.99
LAY_1014,SKU_9014,Retail Product 15,Beauty & Personal Care,2025-11-20,11807,44.03,43.03,43.92,519862.21
LAY_1015,SKU_9015,Retail Product 16,Grocery,2025-11-20,10159,180.95,181.31,174.67,1838271.05
LAY_1016,SKU_9016,Retail Product 17,Apparel,2025-11-20,3680,63.25,62.55,61.25,232760.0
LAY_1017,SKU_9017,Retail Product 18,Grocery,2025-11-20,9251,33.9,32.67,31.48,313608.9
LAY_1018,SKU_9018,Retail Product 19,Home & Kitchen,2025-11-20,11926,175.33,177.26,182.42,2090985.58
LAY_1019,SKU_9019,Retail Product 20,Apparel,2025-11-20,700,111.31,111.04,110.25,77917.0
LAY_1020,SKU_9020,Retail Product 21,Footwear,2025-11-20,1341,55.68,57.29,52.24,74666.88
LAY_1021,SKU_9021,Retail Product 22,Apparel,2025-11-20,7065,97.07,97.67,99.97,685799.55
LAY_1022,SKU_9022,Retail Product 23,Footwear,2025-11-20,2944,152.33,157.8,142.22,448459.52
LAY_1023,SKU_9023,Retail Product 24,Footwear,2025-11-20,2440,108.55,107.82,110.22,264862.0
LAY_1024,SKU_9024,Retail Product 25,Beauty & Personal Care,2025-11-20,4197,146.19,144.79,155.75,613559.43
