accrual_id,store_id,fiscal_year,fiscal_quarter,estimated_shrink_rate_pct,net_sales_basis,shrink_accrual_amount,physical_count_variance_adj,true_up_reconciliation_amount
SHR_300,STR_100,2026,Q2,1.66,3913591.87,64965.63,5971.73,5971.73
SHR_301,STR_101,2026,Q2,1.31,3667119.03,48039.26,-1301.34,-1301.34
SHR_302,STR_102,2026,Q2,2.47,5448947.95,134589.01,10872.25,10872.25
SHR_303,STR_103,2026,Q2,1.52,3073881.51,46723.0,-1637.09,-1637.09
SHR_304,STR_104,2026,Q2,1.44,3828162.36,55125.54,-2841.87,-2841.87
SHR_305,STR_105,2026,Q2,1.3,6463142.83,84020.86,3277.55,3277.55
SHR_306,STR_106,2026,Q2,2.52,7105962.64,179070.26,1402.24,1402.24
SHR_307,STR_107,2026,Q2,1.95,4020455.95,78398.89,39.33,39.33
SHR_308,STR_108,2026,Q2,1.64,5199907.81,85278.49,644.0,644.0
SHR_309,STR_109,2026,Q2,2.16,6947114.45,150057.67,10039.88,10039.88
SHR_310,STR_110,2026,Q2,2.17,2629324.46,57056.34,-1952.19,-1952.19
SHR_311,STR_111,2026,Q2,2.28,6802584.36,155098.92,5804.51,5804.51
