schedule_id,merchandise_category,aging_bucket,gross_inventory_cost,write_down_percentage,write_down_amount,salvage_recovery_rate_pct,net_pnl_impact
WDS_1,Apparel,0-90 Days,184230.0,0.0,0.0,0.0,0.0
WDS_2,Apparel,91-180 Days,1411854.63,15.0,211778.19,0.0,211778.19
WDS_3,Apparel,181-270 Days,1505345.05,40.0,602138.02,0.0,602138.02
WDS_4,Apparel,271-360 Days,1100807.52,70.0,770565.26,15.0,654980.47
WDS_5,Apparel,360+ Days,1409129.86,100.0,1409129.86,15.0,1197760.38
WDS_6,Footwear,0-90 Days,439064.7,0.0,0.0,0.0,0.0
WDS_7,Footwear,91-180 Days,1006290.34,15.0,150943.55,0.0,150943.55
WDS_8,Footwear,181-270 Days,879678.52,40.0,351871.41,0.0,351871.41
WDS_9,Footwear,271-360 Days,608958.34,70.0,426270.84,15.0,362330.21
WDS_10,Footwear,360+ Days,1794960.03,100.0,1794960.03,15.0,1525716.03
WDS_11,Home & Kitchen,0-90 Days,869210.23,0.0,0.0,0.0,0.0
WDS_12,Home & Kitchen,91-180 Days,1493504.16,15.0,224025.62,0.0,224025.62
WDS_13,Home & Kitchen,181-270 Days,1748941.14,40.0,699576.46,0.0,699576.46
WDS_14,Home & Kitchen,271-360 Days,925517.15,70.0,647862.01,15.0,550682.71
WDS_15,Home & Kitchen,360+ Days,823774.35,100.0,823774.35,15.0,700208.2
WDS_16,Electronics,0-90 Days,679746.12,0.0,0.0,0.0,0.0
WDS_17,Electronics,91-180 Days,322589.81,15.0,48388.47,0.0,48388.47
WDS_18,Electronics,181-270 Days,415361.01,40.0,166144.4,0.0,166144.4
WDS_19,Electronics,271-360 Days,829214.4,70.0,580450.08,15.0,493382.57
WDS_20,Electronics,360+ Days,967523.88,100.0,967523.88,15.0,822395.3
