nexus_id,state_code,statutory_sales_threshold,statutory_transaction_threshold,ytd_remote_sales_dollars,ytd_remote_transactions_count,nexus_established_flag,registration_status,filing_frequency
NEX_100,CA,100000.0,200,3938404.02,8376,YES,Registered & Remitting,Monthly
NEX_101,TX,100000.0,200,3219287.77,21545,YES,Registered & Remitting,Monthly
NEX_102,NY,100000.0,200,1540226.58,22800,YES,Registered & Remitting,Monthly
NEX_103,FL,100000.0,200,3411719.66,5681,YES,Registered & Remitting,Monthly
NEX_104,IL,100000.0,200,3182879.25,21760,YES,Registered & Remitting,Monthly
NEX_105,WA,100000.0,200,3261581.65,11323,YES,Registered & Remitting,Monthly
NEX_106,PA,100000.0,200,3880455.61,2293,YES,Registered & Remitting,Monthly
NEX_107,OH,100000.0,200,2971146.05,5506,YES,Registered & Remitting,Monthly
NEX_108,GA,100000.0,200,842080.18,10870,YES,Registered & Remitting,Monthly
NEX_109,NC,100000.0,200,1871228.2,14815,YES,Registered & Remitting,Monthly
