cert_id,b2b_customer_id,customer_name,state_code,exemption_type,certificate_number,issue_date,expiration_date,verification_status,days_until_expiration
CRT_100,CUST_500,Enterprise Partner 1,NY,Wholesale Resale,EXM-8000,2024-01-15,2026-12-03,Valid,116
CRT_101,CUST_501,Enterprise Partner 2,NY,Wholesale Resale,EXM-8001,2024-01-15,2027-05-26,Valid,290
CRT_102,CUST_502,Enterprise Partner 3,WA,Wholesale Resale,EXM-8002,2024-01-15,2027-05-21,Valid,285
CRT_103,CUST_503,Enterprise Partner 4,GA,Wholesale Resale,EXM-8003,2024-01-15,2027-01-09,Valid,153
CRT_104,CUST_504,Enterprise Partner 5,NY,Wholesale Resale,EXM-8004,2024-01-15,2027-01-01,Valid,145
CRT_105,CUST_505,Enterprise Partner 6,OH,Wholesale Resale,EXM-8005,2024-01-15,2027-01-21,Valid,165
CRT_106,CUST_506,Enterprise Partner 7,WA,Wholesale Resale,EXM-8006,2024-01-15,2026-10-20,Valid,72
CRT_107,CUST_507,Enterprise Partner 8,OH,Wholesale Resale,EXM-8007,2024-01-15,2026-09-30,Valid,52
CRT_108,CUST_508,Enterprise Partner 9,NY,Wholesale Resale,EXM-8008,2024-01-15,2026-12-16,Valid,129
CRT_109,CUST_509,Enterprise Partner 10,PA,Wholesale Resale,EXM-8009,2024-01-15,2027-06-04,Valid,299
CRT_110,CUST_510,Enterprise Partner 11,WA,Wholesale Resale,EXM-8010,2024-01-15,2026-10-08,Valid,60
CRT_111,CUST_511,Enterprise Partner 12,PA,Wholesale Resale,EXM-8011,2024-01-15,2026-08-30,Valid,21
CRT_112,CUST_512,Enterprise Partner 13,IL,Wholesale Resale,EXM-8012,2024-01-15,2027-05-24,Valid,288
CRT_113,CUST_513,Enterprise Partner 14,TX,Wholesale Resale,EXM-8013,2024-01-15,2027-04-12,Valid,246
CRT_114,CUST_514,Enterprise Partner 15,WA,Wholesale Resale,EXM-8014,2024-01-15,2027-08-02,Valid,358
