store_id,fiscal_month,gross_sales,net_sales,cogs,gross_profit,store_labor_cost,store_rent_cost,utilities_cost,maintenance_cost,marketing_allocation,store_ebitda
STORE-001,2026-01,324461.66,317728.98,162359.88,155369.10,49786.96,21250.00,4594.59,2069.17,6354.58,71313.80
STORE-001,2026-02,332549.75,325031.41,168001.22,157030.19,49045.26,21250.00,4387.46,2026.34,6500.63,73820.50
STORE-001,2026-03,304849.15,296933.70,156185.75,140747.95,49394.40,21250.00,4388.18,2047.32,5938.67,57729.38
STORE-001,2026-04,329901.77,323239.42,172038.61,151200.81,55255.90,21250.00,4436.10,1938.87,6464.79,61855.15
STORE-001,2026-05,334630.82,324559.16,163483.64,161075.52,49625.58,21250.00,4639.00,2050.93,6491.18,77018.83
STORE-001,2026-06,329828.10,316010.96,164783.64,151227.32,56627.10,21250.00,4451.41,2038.01,6320.22,60540.58
STORE-002,2026-01,216917.50,208554.12,111465.56,97088.56,34895.39,15300.00,3321.83,1351.46,4171.08,38048.80
STORE-002,2026-02,204285.86,198426.61,99846.62,98579.99,31149.75,15300.00,3080.40,1409.49,3968.53,43671.82
STORE-002,2026-03,212849.37,206262.75,106185.56,100077.19,32235.82,15300.00,3146.79,1574.16,4125.26,43695.16
STORE-002,2026-04,213108.74,204952.23,103879.12,101073.11,35225.92,15300.00,3105.36,1434.86,4099.04,41907.93
STORE-002,2026-05,220279.99,211645.02,110537.54,101107.48,36093.61,15300.00,3377.14,1534.00,4232.90,40569.83
STORE-002,2026-06,204310.01,200027.06,102537.50,97489.56,31610.72,15300.00,3124.39,1575.73,4000.54,41878.18
STORE-003,2026-01,394301.97,382693.59,201380.08,181313.51,61946.21,25500.00,5565.82,2414.71,7653.87,78232.90
STORE-003,2026-02,371065.45,360898.69,188553.23,172345.46,56979.50,25500.00,5433.83,2524.46,7217.97,74689.70
STORE-003,2026-03,376177.22,366178.57,197700.36,168478.21,60524.11,25500.00,5236.36,2311.78,7323.57,67582.39
STORE-003,2026-04,365166.67,350989.67,186615.30,164374.37,57093.66,25500.00,5225.41,2395.40,7019.79,67140.11
STORE-003,2026-05,398852.61,384544.40,207209.11,177335.29,67611.90,25500.00,5204.59,2480.18,7690.89,68847.73
STORE-003,2026-06,386904.99,372934.20,190447.43,182486.77,63111.23,25500.00,5244.62,2408.69,7458.68,78763.55
STORE-004,2026-01,258796.82,246215.55,131733.72,114481.83,38877.85,18700.00,3960.23,1704.66,4924.31,46314.78
STORE-004,2026-02,270728.32,258243.53,132204.62,126038.91,43686.67,18700.00,4003.59,1698.21,5164.87,52785.57
STORE-004,2026-03,266825.28,257171.18,136595.20,120575.98,42667.43,18700.00,3760.23,1741.04,5143.42,48563.86
STORE-004,2026-04,247506.40,235657.54,126111.87,109545.67,41228.28,18700.00,3883.01,1674.48,4713.15,39346.75
STORE-004,2026-05,269828.25,256766.27,129262.85,127503.42,42258.52,18700.00,3787.69,1850.15,5135.33,55771.73
STORE-004,2026-06,266911.70,260545.39,135226.00,125319.39,43379.27,18700.00,3866.02,1878.11,5210.91,52285.08
