store_id,fiscal_month,opex_category,budgeted_amount,actual_amount,variance_amount,variance_pct
STORE-001,2026-01,Rent,22500.00,22604.12,104.12,0.46
STORE-001,2026-01,Utilities,5625.00,5413.27,-211.73,-3.76
STORE-001,2026-01,Labor,47500.00,48823.31,1323.31,2.79
STORE-001,2026-01,Maintenance,3125.00,3331.21,206.21,6.60
STORE-001,2026-01,Supplies,1875.00,1800.43,-74.57,-3.98
STORE-001,2026-02,Rent,22500.00,22102.72,-397.28,-1.77
STORE-001,2026-02,Utilities,5625.00,6294.54,669.54,11.90
STORE-001,2026-02,Labor,47500.00,49873.84,2373.84,5.00
STORE-001,2026-02,Maintenance,3125.00,3148.81,23.81,0.76
STORE-001,2026-02,Supplies,1875.00,1919.09,44.09,2.35
STORE-001,2026-03,Rent,22500.00,21244.52,-1255.48,-5.58
STORE-001,2026-03,Utilities,5625.00,5427.78,-197.22,-3.51
STORE-001,2026-03,Labor,47500.00,46911.81,-588.19,-1.24
STORE-001,2026-03,Maintenance,3125.00,3242.69,117.69,3.77
STORE-001,2026-03,Supplies,1875.00,1811.29,-63.71,-3.40
STORE-001,2026-04,Rent,22500.00,21690.98,-809.02,-3.60
STORE-001,2026-04,Utilities,5625.00,5254.87,-370.13,-6.58
STORE-001,2026-04,Labor,47500.00,49695.48,2195.48,4.62
STORE-001,2026-04,Maintenance,3125.00,3018.09,-106.91,-3.42
STORE-001,2026-04,Supplies,1875.00,2064.53,189.53,10.11
STORE-001,2026-05,Rent,22500.00,24568.36,2068.36,9.19
STORE-001,2026-05,Utilities,5625.00,5254.71,-370.29,-6.58
STORE-001,2026-05,Labor,47500.00,45961.04,-1538.96,-3.24
STORE-001,2026-05,Maintenance,3125.00,3293.11,168.11,5.38
STORE-001,2026-05,Supplies,1875.00,1805.34,-69.66,-3.72
STORE-001,2026-06,Rent,22500.00,21295.40,-1204.60,-5.35
STORE-001,2026-06,Utilities,5625.00,6227.45,602.45,10.71
STORE-001,2026-06,Labor,47500.00,49124.91,1624.91,3.42
STORE-001,2026-06,Maintenance,3125.00,3170.42,45.42,1.45
STORE-001,2026-06,Supplies,1875.00,2019.23,144.23,7.69
STORE-002,2026-01,Rent,16200.00,17520.29,1320.29,8.15
STORE-002,2026-01,Utilities,4050.00,3880.23,-169.77,-4.19
STORE-002,2026-01,Labor,34200.00,32127.01,-2072.99,-6.06
STORE-002,2026-01,Maintenance,2250.00,2263.97,13.97,0.62
STORE-002,2026-01,Supplies,1350.00,1356.37,6.37,0.47
STORE-002,2026-02,Rent,16200.00,16417.16,217.16,1.34
STORE-002,2026-02,Utilities,4050.00,4316.55,266.55,6.58
STORE-002,2026-02,Labor,34200.00,36069.81,1869.81,5.47
STORE-002,2026-02,Maintenance,2250.00,2512.87,262.87,11.68
STORE-002,2026-02,Supplies,1350.00,1268.57,-81.43,-6.03
STORE-002,2026-03,Rent,16200.00,16208.49,8.49,0.05
STORE-002,2026-03,Utilities,4050.00,4000.84,-49.16,-1.21
STORE-002,2026-03,Labor,34200.00,37357.84,3157.84,9.23
STORE-002,2026-03,Maintenance,2250.00,2181.90,-68.10,-3.03
STORE-002,2026-03,Supplies,1350.00,1293.36,-56.64,-4.20
STORE-002,2026-04,Rent,16200.00,16357.51,157.51,0.97
STORE-002,2026-04,Utilities,4050.00,4067.72,17.72,0.44
STORE-002,2026-04,Labor,34200.00,33369.25,-830.75,-2.43
STORE-002,2026-04,Maintenance,2250.00,2182.41,-67.59,-3.00
STORE-002,2026-04,Supplies,1350.00,1491.28,141.28,10.47
STORE-002,2026-05,Rent,16200.00,16339.74,139.74,0.86
STORE-002,2026-05,Utilities,4050.00,4423.69,373.69,9.23
STORE-002,2026-05,Labor,34200.00,35228.23,1028.23,3.01
STORE-002,2026-05,Maintenance,2250.00,2092.76,-157.24,-6.99
STORE-002,2026-05,Supplies,1350.00,1511.81,161.81,11.99
STORE-002,2026-06,Rent,16200.00,17612.73,1412.73,8.72
STORE-002,2026-06,Utilities,4050.00,4510.89,460.89,11.38
STORE-002,2026-06,Labor,34200.00,37800.35,3600.35,10.53
STORE-002,2026-06,Maintenance,2250.00,2451.91,201.91,8.97
STORE-002,2026-06,Supplies,1350.00,1286.90,-63.10,-4.67
STORE-003,2026-01,Rent,27000.00,27462.46,462.46,1.71
STORE-003,2026-01,Utilities,6750.00,6498.56,-251.44,-3.73
STORE-003,2026-01,Labor,57000.00,57011.86,11.86,0.02
STORE-003,2026-01,Maintenance,3750.00,3493.98,-256.02,-6.83
STORE-003,2026-01,Supplies,2250.00,2240.54,-9.46,-0.42
STORE-003,2026-02,Rent,27000.00,30160.67,3160.67,11.71
STORE-003,2026-02,Utilities,6750.00,6568.02,-181.98,-2.70
STORE-003,2026-02,Labor,57000.00,61378.40,4378.40,7.68
STORE-003,2026-02,Maintenance,3750.00,3791.26,41.26,1.10
STORE-003,2026-02,Supplies,2250.00,2260.35,10.35,0.46
STORE-003,2026-03,Rent,27000.00,30009.52,3009.52,11.15
STORE-003,2026-03,Utilities,6750.00,7553.82,803.82,11.91
STORE-003,2026-03,Labor,57000.00,58775.76,1775.76,3.12
STORE-003,2026-03,Maintenance,3750.00,3988.81,238.81,6.37
STORE-003,2026-03,Supplies,2250.00,2139.66,-110.34,-4.90
STORE-003,2026-04,Rent,27000.00,26442.22,-557.78,-2.07
STORE-003,2026-04,Utilities,6750.00,7517.76,767.76,11.37
STORE-003,2026-04,Labor,57000.00,59042.66,2042.66,3.58
STORE-003,2026-04,Maintenance,3750.00,3856.65,106.65,2.84
STORE-003,2026-04,Supplies,2250.00,2406.59,156.59,6.96
STORE-003,2026-05,Rent,27000.00,25148.69,-1851.31,-6.86
STORE-003,2026-05,Utilities,6750.00,6998.64,248.64,3.68
STORE-003,2026-05,Labor,57000.00,58172.49,1172.49,2.06
STORE-003,2026-05,Maintenance,3750.00,4089.54,339.54,9.05
STORE-003,2026-05,Supplies,2250.00,2140.84,-109.16,-4.85
STORE-003,2026-06,Rent,27000.00,30028.21,3028.21,11.22
STORE-003,2026-06,Utilities,6750.00,6318.15,-431.85,-6.40
STORE-003,2026-06,Labor,57000.00,54558.40,-2441.60,-4.28
STORE-003,2026-06,Maintenance,3750.00,3896.28,146.28,3.90
STORE-003,2026-06,Supplies,2250.00,2373.85,123.85,5.50
STORE-004,2026-01,Rent,19800.00,19147.41,-652.59,-3.30
STORE-004,2026-01,Utilities,4950.00,4672.69,-277.31,-5.60
STORE-004,2026-01,Labor,41800.00,45898.80,4098.80,9.81
STORE-004,2026-01,Maintenance,2750.00,2665.42,-84.58,-3.08
STORE-004,2026-01,Supplies,1650.00,1714.19,64.19,3.89
STORE-004,2026-02,Rent,19800.00,20668.75,868.75,4.39
STORE-004,2026-02,Utilities,4950.00,4969.03,19.03,0.38
STORE-004,2026-02,Labor,41800.00,43335.50,1535.50,3.67
STORE-004,2026-02,Maintenance,2750.00,2817.53,67.53,2.46
STORE-004,2026-02,Supplies,1650.00,1826.45,176.45,10.69
STORE-004,2026-03,Rent,19800.00,19024.87,-775.13,-3.91
STORE-004,2026-03,Utilities,4950.00,5263.03,313.03,6.32
STORE-004,2026-03,Labor,41800.00,40451.41,-1348.59,-3.23
STORE-004,2026-03,Maintenance,2750.00,2747.68,-2.32,-0.08
STORE-004,2026-03,Supplies,1650.00,1739.66,89.66,5.43
STORE-004,2026-04,Rent,19800.00,19403.99,-396.01,-2.00
STORE-004,2026-04,Utilities,4950.00,4867.02,-82.98,-1.68
STORE-004,2026-04,Labor,41800.00,44741.59,2941.59,7.04
STORE-004,2026-04,Maintenance,2750.00,2569.90,-180.10,-6.55
STORE-004,2026-04,Supplies,1650.00,1669.23,19.23,1.17
STORE-004,2026-05,Rent,19800.00,22169.88,2369.88,11.97
STORE-004,2026-05,Utilities,4950.00,5540.14,590.14,11.92
STORE-004,2026-05,Labor,41800.00,39068.46,-2731.54,-6.53
STORE-004,2026-05,Maintenance,2750.00,2647.23,-102.77,-3.74
STORE-004,2026-05,Supplies,1650.00,1605.52,-44.48,-2.70
STORE-004,2026-06,Rent,19800.00,21911.71,2111.71,10.67
STORE-004,2026-06,Utilities,4950.00,5426.06,476.06,9.62
STORE-004,2026-06,Labor,41800.00,45806.70,4006.70,9.59
STORE-004,2026-06,Maintenance,2750.00,2733.24,-16.76,-0.61
STORE-004,2026-06,Supplies,1650.00,1570.06,-79.94,-4.84
