record_id,store_id,fiscal_year,fiscal_month,base_rent_expensed,cam_charges,property_taxes,property_insurance,total_occupancy_cost,store_monthly_sales,occupancy_cost_pct_of_sales
OCC_1,STR_100,2026,2026-01,33170.12,5239.07,4951.19,1300.27,44660.65,427145.82,10.46
OCC_2,STR_100,2026,2026-02,59230.71,12099.96,7955.87,1591.61,80878.15,1292643.6,6.26
OCC_3,STR_100,2026,2026-03,40772.65,5984.37,3863.98,1968.8,52589.8,404196.74,13.01
OCC_4,STR_100,2026,2026-04,40733.89,7557.92,4386.81,1932.27,54610.89,564697.92,9.67
OCC_5,STR_100,2026,2026-05,38244.01,5532.48,4562.35,1066.33,49405.17,462738.73,10.68
OCC_6,STR_100,2026,2026-06,69891.14,11178.39,6664.29,3489.39,91223.21,905332.53,10.08
OCC_7,STR_101,2026,2026-01,29545.47,3684.66,2590.41,1147.06,36967.6,299657.08,12.34
OCC_8,STR_101,2026,2026-02,46108.0,5825.87,4920.34,2300.03,59154.24,578078.11,10.23
OCC_9,STR_101,2026,2026-03,73553.92,15157.84,5943.43,3061.44,97716.63,853145.93,11.45
OCC_10,STR_101,2026,2026-04,51848.52,7605.27,6474.19,1210.48,67138.46,708351.93,9.48
OCC_11,STR_101,2026,2026-05,47686.19,10270.73,6738.52,1330.52,66025.96,659950.16,10.0
OCC_12,STR_101,2026,2026-06,33932.59,7168.69,4782.33,982.46,46866.07,421776.23,11.11
OCC_13,STR_102,2026,2026-01,55448.51,7501.29,7395.49,2006.2,72351.49,591638.07,12.23
OCC_14,STR_102,2026,2026-02,51517.68,6185.07,5290.4,1060.46,64053.61,476845.21,13.43
OCC_15,STR_102,2026,2026-03,68936.09,14005.51,6998.8,1498.52,91438.92,702076.02,13.02
OCC_16,STR_102,2026,2026-04,72347.47,9301.38,8249.01,1597.17,91495.03,757107.27,12.08
OCC_17,STR_102,2026,2026-05,63291.72,8407.62,7169.04,2309.77,81178.15,999675.14,8.12
OCC_18,STR_102,2026,2026-06,68621.65,11138.24,6507.11,2482.65,88749.65,749609.66,11.84
OCC_19,STR_103,2026,2026-01,35057.55,5299.71,5246.73,1384.64,46988.63,494367.34,9.5
OCC_20,STR_103,2026,2026-02,50878.79,6721.11,4870.57,1533.62,64004.09,597807.6,10.71
OCC_21,STR_103,2026,2026-03,36505.74,5184.61,3101.88,1421.28,46213.51,590095.23,7.83
OCC_22,STR_103,2026,2026-04,70271.0,14473.26,5970.23,1907.16,92621.65,815918.79,11.35
OCC_23,STR_103,2026,2026-05,35711.84,4757.93,5195.57,1326.03,46991.37,480417.15,9.78
OCC_24,STR_103,2026,2026-06,64230.97,12894.35,5994.59,1471.4,84591.31,895296.83,9.45
OCC_25,STR_104,2026,2026-01,46178.93,7698.14,6051.07,1856.44,61784.58,445348.14,13.87
OCC_26,STR_104,2026,2026-02,29920.89,4795.19,3104.33,1371.88,39192.29,490562.78,7.99
OCC_27,STR_104,2026,2026-03,34510.45,5689.44,3779.99,978.59,44958.47,562089.67,8.0
OCC_28,STR_104,2026,2026-04,71163.28,11693.06,9983.81,2598.15,95438.3,1490127.58,6.4
OCC_29,STR_104,2026,2026-05,74964.12,15262.9,11081.93,3582.61,104891.56,820133.86,12.79
OCC_30,STR_104,2026,2026-06,33315.56,5615.81,3163.72,1067.14,43162.23,667207.84,6.47
OCC_31,STR_105,2026,2026-01,43948.66,9604.14,4331.77,1912.74,59797.31,620299.74,9.64
OCC_32,STR_105,2026,2026-02,46150.37,9956.1,6907.77,1692.47,64706.71,550823.56,11.75
OCC_33,STR_105,2026,2026-03,32739.84,4900.2,4839.26,1223.66,43702.96,422758.88,10.34
OCC_34,STR_105,2026,2026-04,62398.78,7844.56,7543.54,2189.29,79976.17,623753.49,12.82
OCC_35,STR_105,2026,2026-05,32871.64,7102.83,2814.07,840.68,43629.22,405465.44,10.76
OCC_36,STR_105,2026,2026-06,58760.63,8433.35,5193.97,2744.63,75132.58,942725.14,7.97
OCC_37,STR_106,2026,2026-01,54725.96,9956.74,5984.05,2052.78,72719.53,714178.56,10.18
OCC_38,STR_106,2026,2026-02,71735.31,10073.5,9335.16,1948.37,93092.34,1015594.89,9.17
OCC_39,STR_106,2026,2026-03,58584.51,8787.66,5983.38,2493.12,75848.67,1152654.93,6.58
OCC_40,STR_106,2026,2026-04,47914.28,10533.74,7174.05,1063.59,66685.66,865459.19,7.71
OCC_41,STR_106,2026,2026-05,38260.02,8161.85,5419.93,1774.43,53616.23,598648.2,8.96
OCC_42,STR_106,2026,2026-06,32887.34,6688.45,4250.62,1261.24,45087.65,324421.42,13.9
OCC_43,STR_107,2026,2026-01,57698.82,6969.0,7916.12,1672.19,74256.13,656720.7,11.31
OCC_44,STR_107,2026,2026-02,71946.5,9599.76,6337.05,1669.96,89553.27,858959.15,10.43
OCC_45,STR_107,2026,2026-03,38617.41,6969.79,5029.26,1008.22,51624.68,466183.21,11.07
OCC_46,STR_107,2026,2026-04,38199.2,6450.06,5476.76,1733.6,51859.62,769614.66,6.74
OCC_47,STR_107,2026,2026-05,46178.79,6819.13,3705.76,1991.86,58695.54,528936.04,11.1
OCC_48,STR_107,2026,2026-06,38097.76,7395.65,4519.07,1250.77,51263.25,843512.15,6.08
OCC_49,STR_108,2026,2026-01,28762.19,5991.47,4120.9,1046.01,39920.57,314911.46,12.68
OCC_50,STR_108,2026,2026-02,54125.48,7296.62,4812.9,1583.05,67818.05,514090.44,13.19
OCC_51,STR_108,2026,2026-03,64806.12,13354.61,9262.4,1704.55,89127.68,1114620.16,8.0
OCC_52,STR_108,2026,2026-04,30139.68,5968.01,4276.5,970.24,41354.43,377139.34,10.97
OCC_53,STR_108,2026,2026-05,32727.67,6970.6,4598.97,1613.02,45910.26,367688.78,12.49
OCC_54,STR_108,2026,2026-06,69070.81,8459.7,9086.92,2069.75,88687.18,659554.54,13.45
OCC_55,STR_109,2026,2026-01,65111.76,13439.48,8904.19,1823.4,89278.83,725903.39,12.3
OCC_56,STR_109,2026,2026-02,30404.78,6300.38,4259.76,810.99,41775.91,333335.47,12.53
OCC_57,STR_109,2026,2026-03,48015.16,7227.2,6514.42,1288.14,63044.92,1018608.93,6.19
OCC_58,STR_109,2026,2026-04,34656.49,5296.42,4869.4,1698.4,46520.71,565051.75,8.23
OCC_59,STR_109,2026,2026-05,57074.09,9130.02,8485.8,2059.6,76749.51,567930.25,13.51
OCC_60,STR_109,2026,2026-06,30767.09,6677.69,2845.95,1503.77,41794.5,514474.21,8.12
