overage_id,store_id,fiscal_year,quarter,annual_sales_breakpoint,actual_quarter_sales,overage_rate_pct,percentage_rent_owed,overage_status
OVR_2000,STR_100,2026,Q2,4433610.19,1664932.89,4.19,23318.62,Triggered
OVR_2001,STR_101,2026,Q2,5254709.26,1888071.51,3.53,20276.12,Triggered
OVR_2002,STR_102,2026,Q2,5540781.73,1849564.46,2.76,12816.59,Triggered
OVR_2003,STR_103,2026,Q2,6835141.14,1102198.66,4.78,0.0,Below Breakpoint
OVR_2004,STR_104,2026,Q2,6153807.99,2035259.0,4.23,21014.94,Triggered
OVR_2005,STR_105,2026,Q2,6682514.02,1573487.91,2.21,0.0,Below Breakpoint
OVR_2006,STR_106,2026,Q2,6656950.74,1529260.05,2.94,0.0,Below Breakpoint
OVR_2007,STR_107,2026,Q2,7392061.12,2035680.54,2.9,5442.29,Triggered
OVR_2008,STR_108,2026,Q2,5237138.65,1630910.78,3.21,10324.2,Triggered
OVR_2009,STR_109,2026,Q2,5182620.81,1265474.14,3.26,0.0,Below Breakpoint
OVR_2010,STR_110,2026,Q2,7761454.68,1980513.33,4.71,1891.05,Triggered
OVR_2011,STR_111,2026,Q2,6462059.66,1491234.84,3.64,0.0,Below Breakpoint
