lease_id,store_id,store_name,landlord_name,lease_type,gross_leasable_sqft,monthly_base_rent,lease_start_date,lease_end_date,renewal_options_count,lease_status
LSE_1000,STR_100,Retail Store #100,Simon Property Group 1,Triple Net (NNN),19296,36421.65,2018-01-01,2025-01-01,3,Active
LSE_1001,STR_101,Retail Store #101,Simon Property Group 2,Modified Gross,28049,64988.32,2019-02-01,2026-02-01,1,Active
LSE_1002,STR_102,Retail Store #102,Simon Property Group 3,Triple Net (NNN),17697,55086.05,2020-03-01,2027-03-01,1,Active
LSE_1003,STR_103,Retail Store #103,Simon Property Group 4,Modified Gross,13952,28411.01,2021-04-01,2028-04-01,2,Active
LSE_1004,STR_104,Retail Store #104,Simon Property Group 5,Triple Net (NNN),13739,41895.22,2022-05-01,2029-05-01,4,Active
LSE_1005,STR_105,Retail Store #105,Simon Property Group 6,Modified Gross,26446,74223.86,2018-06-01,2030-06-01,3,Active
LSE_1006,STR_106,Retail Store #106,Simon Property Group 7,Triple Net (NNN),12425,43206.89,2019-07-01,2025-07-01,2,Active
LSE_1007,STR_107,Retail Store #107,Simon Property Group 8,Modified Gross,39696,102040.27,2020-08-01,2026-08-01,2,Active
LSE_1008,STR_108,Retail Store #108,Simon Property Group 9,Triple Net (NNN),26110,102019.47,2021-09-01,2027-09-01,3,Active
LSE_1009,STR_109,Retail Store #109,Simon Property Group 10,Modified Gross,18698,38037.02,2022-10-01,2028-10-01,1,Active
LSE_1010,STR_110,Retail Store #110,Simon Property Group 11,Triple Net (NNN),35526,130365.18,2018-11-01,2029-11-01,3,Active
LSE_1011,STR_111,Retail Store #111,Simon Property Group 12,Modified Gross,14847,50693.88,2019-12-01,2030-12-01,1,Active
LSE_1012,STR_112,Retail Store #112,Simon Property Group 13,Triple Net (NNN),36807,73763.7,2020-01-01,2025-01-01,3,Active
LSE_1013,STR_113,Retail Store #113,Simon Property Group 14,Modified Gross,35700,110108.19,2021-02-01,2026-02-01,1,Active
LSE_1014,STR_114,Retail Store #114,Simon Property Group 15,Triple Net (NNN),15003,49000.86,2022-03-01,2027-03-01,3,Active
LSE_1015,STR_115,Retail Store #115,Simon Property Group 16,Modified Gross,17229,63515.08,2018-04-01,2028-04-01,1,Active
LSE_1016,STR_116,Retail Store #116,Simon Property Group 17,Triple Net (NNN),36911,89900.78,2019-05-01,2029-05-01,3,Active
LSE_1017,STR_117,Retail Store #117,Simon Property Group 18,Modified Gross,22659,59715.35,2020-06-01,2030-06-01,2,Active
LSE_1018,STR_118,Retail Store #118,Simon Property Group 19,Triple Net (NNN),29496,98927.93,2021-07-01,2025-07-01,1,Active
LSE_1019,STR_119,Retail Store #119,Simon Property Group 20,Modified Gross,23215,69427.62,2022-08-01,2026-08-01,2,Active
