dispute_id,vendor_id,vendor_name,invoice_number,dispute_category,invoice_billed_amount,audit_calculated_amount,variance_discrepancy_amount,dispute_status,recovery_action_taken
DSP_100,VND_200,Global Supplier VND_200,INV_8000,Pricing Discrepancy,227210.47,207203.62,20006.85,Recovery In Progress,Debit Memo Issued
DSP_101,VND_201,Global Supplier VND_201,INV_8001,Freight Allowance Missing,170077.12,156854.97,13222.15,Recovery In Progress,Debit Memo Issued
DSP_102,VND_202,Global Supplier VND_202,INV_8002,Pricing Discrepancy,76878.44,66676.23,10202.21,Recovery In Progress,Debit Memo Issued
DSP_103,VND_203,Global Supplier VND_203,INV_8003,Rebate Deduction Dispute,225856.61,202116.54,23740.07,Recovery In Progress,Debit Memo Issued
DSP_104,VND_204,Global Supplier VND_204,INV_8004,Rebate Deduction Dispute,59906.12,53782.95,6123.17,Recovery In Progress,Debit Memo Issued
DSP_105,VND_205,Global Supplier VND_205,INV_8005,Quantity Overbilled,216987.4,188518.9,28468.5,Recovery In Progress,Debit Memo Issued
DSP_106,VND_206,Global Supplier VND_206,INV_8006,Freight Allowance Missing,118440.47,111840.78,6599.69,Recovery In Progress,Debit Memo Issued
DSP_107,VND_207,Global Supplier VND_207,INV_8007,Pricing Discrepancy,165481.93,144996.92,20485.01,Recovery In Progress,Debit Memo Issued
DSP_108,VND_208,Global Supplier VND_208,INV_8008,Quantity Overbilled,52939.1,46819.2,6119.9,Recovery In Progress,Debit Memo Issued
DSP_109,VND_209,Global Supplier VND_209,INV_8009,Pricing Discrepancy,240190.28,221625.97,18564.31,Recovery In Progress,Debit Memo Issued
DSP_110,VND_200,Global Supplier VND_200,INV_8010,Pricing Discrepancy,196869.14,186792.37,10076.77,Recovery In Progress,Debit Memo Issued
DSP_111,VND_201,Global Supplier VND_201,INV_8011,Quantity Overbilled,171898.17,162599.18,9298.99,Recovery In Progress,Debit Memo Issued
DSP_112,VND_202,Global Supplier VND_202,INV_8012,Freight Allowance Missing,182053.26,159115.93,22937.33,Recovery In Progress,Debit Memo Issued
DSP_113,VND_203,Global Supplier VND_203,INV_8013,Rebate Deduction Dispute,159259.84,143668.31,15591.53,Recovery In Progress,Debit Memo Issued
DSP_114,VND_204,Global Supplier VND_204,INV_8014,Rebate Deduction Dispute,112026.0,100134.24,11891.76,Recovery In Progress,Debit Memo Issued
DSP_115,VND_205,Global Supplier VND_205,INV_8015,Quantity Overbilled,97417.85,86514.33,10903.52,Recovery In Progress,Debit Memo Issued
DSP_116,VND_206,Global Supplier VND_206,INV_8016,Rebate Deduction Dispute,282607.41,261934.77,20672.64,Recovery In Progress,Debit Memo Issued
DSP_117,VND_207,Global Supplier VND_207,INV_8017,Freight Allowance Missing,138465.69,119838.44,18627.25,Recovery In Progress,Debit Memo Issued
DSP_118,VND_208,Global Supplier VND_208,INV_8018,Freight Allowance Missing,270651.11,250638.98,20012.13,Recovery In Progress,Debit Memo Issued
DSP_119,VND_209,Global Supplier VND_209,INV_8019,Rebate Deduction Dispute,275305.88,245134.89,30170.99,Recovery In Progress,Debit Memo Issued
