scan_id,vendor_id,primary_invoice_num,duplicate_invoice_num,duplicate_amount,payment_date_1,payment_date_2,match_confidence_score,recovery_status
DUP_100,VND_200,INV_7100,INV_7100-A,74692.44,2026-02-10,2026-02-24,0.95,Refund Received / Offset
DUP_101,VND_201,INV_7101,INV_7101-A,45552.12,2026-02-10,2026-02-24,0.94,Refund Received / Offset
DUP_102,VND_202,INV_7102,INV_7102-A,66859.76,2026-02-10,2026-02-24,0.95,Refund Received / Offset
DUP_103,VND_203,INV_7103,INV_7103-A,79863.2,2026-02-10,2026-02-24,0.98,Refund Received / Offset
DUP_104,VND_204,INV_7104,INV_7104-A,83529.26,2026-02-10,2026-02-24,0.94,Refund Received / Offset
DUP_105,VND_205,INV_7105,INV_7105-A,37797.27,2026-02-10,2026-02-24,0.98,Refund Received / Offset
DUP_106,VND_206,INV_7106,INV_7106-A,39924.29,2026-02-10,2026-02-24,0.94,Refund Received / Offset
DUP_107,VND_207,INV_7107,INV_7107-A,44682.68,2026-02-10,2026-02-24,0.98,Refund Received / Offset
DUP_108,VND_200,INV_7108,INV_7108-A,37664.18,2026-02-10,2026-02-24,0.99,Refund Received / Offset
DUP_109,VND_201,INV_7109,INV_7109-A,69118.12,2026-02-10,2026-02-24,0.97,Refund Received / Offset
DUP_110,VND_202,INV_7110,INV_7110-A,20136.06,2026-02-10,2026-02-24,0.99,Refund Received / Offset
DUP_111,VND_203,INV_7111,INV_7111-A,18157.84,2026-02-10,2026-02-24,0.99,Refund Received / Offset
