record_id,vendor_id,payment_terms,gross_invoice_amount,discount_available_pct,discount_window_days,actual_payment_lag_days,discount_taken_dollars,unearned_discount_loss_dollars
DSC_100,VND_200,2/10 Net 30,239354.11,2.0,10,27,0.0,4787.08
DSC_101,VND_201,2/10 Net 30,276531.54,2.0,10,23,0.0,5530.63
DSC_102,VND_202,2/10 Net 30,142893.95,2.0,10,17,0.0,2857.88
DSC_103,VND_203,2/10 Net 30,305511.96,2.0,10,36,0.0,6110.24
DSC_104,VND_204,2/10 Net 30,309292.84,2.0,10,27,0.0,6185.86
DSC_105,VND_205,2/10 Net 30,264136.88,2.0,10,21,0.0,5282.74
DSC_106,VND_206,2/10 Net 30,165909.72,2.0,10,28,0.0,3318.19
DSC_107,VND_207,2/10 Net 30,250041.08,2.0,10,12,0.0,5000.82
DSC_108,VND_200,2/10 Net 30,412596.16,2.0,10,41,0.0,8251.92
DSC_109,VND_201,2/10 Net 30,413447.49,2.0,10,22,0.0,8268.95
DSC_110,VND_202,2/10 Net 30,107328.9,2.0,10,34,0.0,2146.58
DSC_111,VND_203,2/10 Net 30,445431.13,2.0,10,31,0.0,8908.62
DSC_112,VND_204,2/10 Net 30,316407.32,2.0,10,39,0.0,6328.15
DSC_113,VND_205,2/10 Net 30,335416.0,2.0,10,41,0.0,6708.32
DSC_114,VND_206,2/10 Net 30,392762.45,2.0,10,24,0.0,7855.25
