fine_id,vendor_id,violation_type,po_number,dc_location,fine_amount,fine_assessment_date,dispute_filed_by_vendor,net_collected_amount
FIN_100,VND_200,ASN Data Mismatch,PO_6000,DC-Dallas-01,7143.91,2026-04-12,NO,7143.91
FIN_101,VND_201,Late ASN Transmission,PO_6001,DC-Dallas-01,16361.24,2026-04-12,NO,16361.24
FIN_102,VND_202,Late ASN Transmission,PO_6002,DC-Dallas-01,3195.1,2026-04-12,NO,3195.1
FIN_103,VND_203,Barcoding GS1 Non-Compliance,PO_6003,DC-Dallas-01,1760.91,2026-04-12,NO,1760.91
FIN_104,VND_204,Barcoding GS1 Non-Compliance,PO_6004,DC-Dallas-01,8469.64,2026-04-12,NO,8469.64
FIN_105,VND_205,Pallet Overhang Violation,PO_6005,DC-Dallas-01,2772.08,2026-04-12,NO,2772.08
FIN_106,VND_206,Late ASN Transmission,PO_6006,DC-Dallas-01,7255.54,2026-04-12,NO,7255.54
FIN_107,VND_207,Pallet Overhang Violation,PO_6007,DC-Dallas-01,12547.22,2026-04-12,NO,12547.22
FIN_108,VND_208,Late ASN Transmission,PO_6008,DC-Dallas-01,15989.8,2026-04-12,NO,15989.8
FIN_109,VND_209,Late ASN Transmission,PO_6009,DC-Dallas-01,17720.37,2026-04-12,NO,17720.37
FIN_110,VND_200,ASN Data Mismatch,PO_6010,DC-Dallas-01,16330.51,2026-04-12,NO,16330.51
FIN_111,VND_201,Barcoding GS1 Non-Compliance,PO_6011,DC-Dallas-01,11996.81,2026-04-12,NO,11996.81
FIN_112,VND_202,Pallet Overhang Violation,PO_6012,DC-Dallas-01,12229.74,2026-04-12,NO,12229.74
FIN_113,VND_203,ASN Data Mismatch,PO_6013,DC-Dallas-01,18456.24,2026-04-12,NO,18456.24
FIN_114,VND_204,ASN Data Mismatch,PO_6014,DC-Dallas-01,8877.52,2026-04-12,NO,8877.52
FIN_115,VND_205,ASN Data Mismatch,PO_6015,DC-Dallas-01,14426.28,2026-04-12,NO,14426.28
FIN_116,VND_206,Pallet Overhang Violation,PO_6016,DC-Dallas-01,9042.54,2026-04-12,NO,9042.54
FIN_117,VND_207,ASN Data Mismatch,PO_6017,DC-Dallas-01,16858.21,2026-04-12,NO,16858.21
FIN_118,VND_208,ASN Data Mismatch,PO_6018,DC-Dallas-01,7014.37,2026-04-12,NO,7014.37
FIN_119,VND_209,Pallet Overhang Violation,PO_6019,DC-Dallas-01,6487.25,2026-04-12,NO,6487.25
