cohort_quarter,district_id,department,new_hires_count,retained_30_days,retained_60_days,retained_90_days,retention_rate_90_pct
2026-Q1,DIST-01,Cashier & Front End,35,30,26,24,68.6
2026-Q1,DIST-01,Grocery & Perishables,28,26,23,22,78.6
2026-Q1,DIST-01,Apparel & Home,18,16,15,14,77.8
2026-Q1,DIST-01,Stocking & Logistics,25,20,17,15,60.0
2026-Q1,DIST-02,Cashier & Front End,30,25,22,20,66.7
2026-Q1,DIST-02,Grocery & Perishables,24,21,19,18,75.0
2026-Q1,DIST-02,Apparel & Home,16,14,13,13,81.3
2026-Q1,DIST-02,Stocking & Logistics,20,16,13,12,60.0
2025-Q4,DIST-01,Cashier & Front End,40,34,30,27,67.5
2025-Q4,DIST-01,Stocking & Logistics,32,25,20,18,56.3
