store_id,store_name,district_id,department,active_headcount,full_time_count,part_time_count,target_headcount,headcount_variance,reporting_month
STORE-101,Downtown Flagship,DIST-01,Cashier & Front End,45,20,25,48,-3,2026-06
STORE-101,Downtown Flagship,DIST-01,Grocery & Perishables,38,25,13,40,-2,2026-06
STORE-101,Downtown Flagship,DIST-01,Apparel & Home,28,14,14,28,0,2026-06
STORE-101,Downtown Flagship,DIST-01,Stocking & Logistics,24,18,6,25,-1,2026-06
STORE-102,North Suburbs Supercenter,DIST-01,Cashier & Front End,62,28,34,65,-3,2026-06
STORE-102,North Suburbs Supercenter,DIST-01,Grocery & Perishables,52,35,17,50,2,2026-06
STORE-102,North Suburbs Supercenter,DIST-01,Apparel & Home,35,18,17,36,-1,2026-06
STORE-102,North Suburbs Supercenter,DIST-01,Stocking & Logistics,32,24,8,32,0,2026-06
STORE-103,Metro West Center,DIST-02,Cashier & Front End,40,18,22,42,-2,2026-06
STORE-103,Metro West Center,DIST-02,Grocery & Perishables,34,22,12,35,-1,2026-06
STORE-103,Metro West Center,DIST-02,Apparel & Home,25,12,13,25,0,2026-06
STORE-103,Metro West Center,DIST-02,Stocking & Logistics,22,16,6,24,-2,2026-06
STORE-104,South Hills Mall,DIST-02,Cashier & Front End,50,22,28,52,-2,2026-06
STORE-104,South Hills Mall,DIST-02,Grocery & Perishables,42,28,14,44,-2,2026-06
STORE-104,South Hills Mall,DIST-02,Apparel & Home,30,15,15,30,0,2026-06
STORE-104,South Hills Mall,DIST-02,Stocking & Logistics,26,20,6,28,-2,2026-06
