cert_id,cert_name,store_id,department,certified_associates,required_associates,compliance_pct,audit_status
CERT-FS01,ServSafe Food Handler Certification,STORE-101,Grocery & Perishables,38,38,100.0,Compliant
CERT-FS01,ServSafe Food Handler Certification,STORE-102,Grocery & Perishables,52,52,100.0,Compliant
CERT-FS01,ServSafe Food Handler Certification,STORE-103,Grocery & Perishables,33,34,97.1,Minor Exception (1 Renewing)
CERT-FS01,ServSafe Food Handler Certification,STORE-104,Grocery & Perishables,42,42,100.0,Compliant
CERT-EQ02,Powered Industrial Forklift Operator (OSHA 1910),STORE-101,Stocking & Logistics,12,12,100.0,Compliant
CERT-EQ02,Powered Industrial Forklift Operator (OSHA 1910),STORE-102,Stocking & Logistics,16,16,100.0,Compliant
CERT-EQ02,Powered Industrial Forklift Operator (OSHA 1910),STORE-103,Stocking & Logistics,10,10,100.0,Compliant
CERT-EQ02,Powered Industrial Forklift Operator (OSHA 1910),STORE-104,Stocking & Logistics,14,14,100.0,Compliant
CERT-FA03,First Aid & Adult CPR / AED,STORE-101,All Store,8,8,100.0,Compliant
CERT-FA03,First Aid & Adult CPR / AED,STORE-102,All Store,10,10,100.0,Compliant
