store_id,district_id,reporting_month,schedules_published_count,on_time_published_pct,predictability_pay_incurred_usd,compliance_score_pct
STORE-101,DIST-01,2026-04,16,93.8,450.0,94.2
STORE-101,DIST-01,2026-05,20,95.0,320.0,96.0
STORE-101,DIST-01,2026-06,16,87.5,880.0,88.5
STORE-102,DIST-01,2026-04,16,100.0,120.0,98.8
STORE-102,DIST-01,2026-05,20,95.0,240.0,95.5
STORE-102,DIST-01,2026-06,16,100.0,150.0,98.2
STORE-103,DIST-02,2026-04,16,87.5,960.0,86.8
STORE-103,DIST-02,2026-05,20,90.0,720.0,89.5
STORE-103,DIST-02,2026-06,16,93.8,480.0,92.0
STORE-104,DIST-02,2026-04,16,93.8,540.0,93.0
STORE-104,DIST-02,2026-05,20,100.0,180.0,97.5
STORE-104,DIST-02,2026-06,16,93.8,410.0,94.0
