schedule_id,store_id,department,schedule_week_start,published_timestamp,lead_time_days,advance_notice_compliant
SCHED-2026-W20,STORE-101,Cashier & Front End,2026-05-18,2026-05-03 14:00:00,15,True
SCHED-2026-W21,STORE-101,Cashier & Front End,2026-05-25,2026-05-10 16:30:00,15,True
SCHED-2026-W22,STORE-101,Cashier & Front End,2026-06-01,2026-05-20 18:00:00,12,False
SCHED-2026-W23,STORE-101,Cashier & Front End,2026-06-08,2026-05-24 11:00:00,15,True
SCHED-2026-W20,STORE-102,Grocery & Perishables,2026-05-18,2026-05-02 10:00:00,16,True
SCHED-2026-W21,STORE-102,Grocery & Perishables,2026-05-25,2026-05-09 12:00:00,16,True
SCHED-2026-W22,STORE-102,Grocery & Perishables,2026-06-01,2026-05-17 15:00:00,15,True
SCHED-2026-W23,STORE-102,Grocery & Perishables,2026-06-08,2026-05-25 09:00:00,14,True
SCHED-2026-W20,STORE-103,Stocking & Logistics,2026-05-18,2026-05-04 17:00:00,14,True
SCHED-2026-W21,STORE-103,Stocking & Logistics,2026-05-25,2026-05-13 19:00:00,12,False
SCHED-2026-W22,STORE-103,Stocking & Logistics,2026-06-01,2026-05-18 14:00:00,14,True
SCHED-2026-W23,STORE-103,Stocking & Logistics,2026-06-08,2026-05-23 16:00:00,16,True
