campaign_id,channel,date,ad_spend_amount,impressions,clicks
CMP-001,Paid Search,2026-07-24,350.0,12000,480
CMP-001,Social Media,2026-07-24,400.0,18000,620
CMP-001,Email,2026-07-24,80.0,5000,450
CMP-001,Connected TV,2026-07-24,600.0,25000,310
CMP-002,Paid Search,2026-07-24,350.0,12000,480
CMP-002,Social Media,2026-07-24,400.0,18000,620
CMP-002,Email,2026-07-24,80.0,5000,450
CMP-002,Connected TV,2026-07-24,600.0,25000,310
CMP-003,Paid Search,2026-07-24,350.0,12000,480
CMP-003,Social Media,2026-07-24,400.0,18000,620
CMP-003,Email,2026-07-24,80.0,5000,450
CMP-003,Connected TV,2026-07-24,600.0,25000,310
CMP-004,Paid Search,2026-07-24,350.0,12000,480
CMP-004,Social Media,2026-07-24,400.0,18000,620
CMP-004,Email,2026-07-24,80.0,5000,450
CMP-004,Connected TV,2026-07-24,600.0,25000,310
CMP-005,Paid Search,2026-07-24,350.0,12000,480
CMP-005,Social Media,2026-07-24,400.0,18000,620
CMP-005,Email,2026-07-24,80.0,5000,450
CMP-005,Connected TV,2026-07-24,600.0,25000,310
CMP-006,Paid Search,2026-07-24,350.0,12000,480
CMP-006,Social Media,2026-07-24,400.0,18000,620
CMP-006,Email,2026-07-24,80.0,5000,450
CMP-006,Connected TV,2026-07-24,600.0,25000,310
CMP-001,Paid Search,2026-07-23,350.0,12000,480
CMP-001,Social Media,2026-07-23,400.0,18000,620
CMP-001,Email,2026-07-23,80.0,5000,450
CMP-001,Connected TV,2026-07-23,600.0,25000,310
CMP-002,Paid Search,2026-07-23,350.0,12000,480
CMP-002,Social Media,2026-07-23,400.0,18000,620
CMP-002,Email,2026-07-23,80.0,5000,450
CMP-002,Connected TV,2026-07-23,600.0,25000,310
CMP-003,Paid Search,2026-07-23,350.0,12000,480
CMP-003,Social Media,2026-07-23,400.0,18000,620
CMP-003,Email,2026-07-23,80.0,5000,450
CMP-003,Connected TV,2026-07-23,600.0,25000,310
CMP-004,Paid Search,2026-07-23,350.0,12000,480
CMP-004,Social Media,2026-07-23,400.0,18000,620
CMP-004,Email,2026-07-23,80.0,5000,450
CMP-004,Connected TV,2026-07-23,600.0,25000,310
CMP-005,Paid Search,2026-07-23,350.0,12000,480
CMP-005,Social Media,2026-07-23,400.0,18000,620
CMP-005,Email,2026-07-23,80.0,5000,450
CMP-005,Connected TV,2026-07-23,600.0,25000,310
CMP-006,Paid Search,2026-07-23,350.0,12000,480
CMP-006,Social Media,2026-07-23,400.0,18000,620
CMP-006,Email,2026-07-23,80.0,5000,450
CMP-006,Connected TV,2026-07-23,600.0,25000,310
CMP-001,Paid Search,2026-07-22,350.0,12000,480
CMP-001,Social Media,2026-07-22,400.0,18000,620
CMP-001,Email,2026-07-22,80.0,5000,450
CMP-001,Connected TV,2026-07-22,600.0,25000,310
CMP-002,Paid Search,2026-07-22,350.0,12000,480
CMP-002,Social Media,2026-07-22,400.0,18000,620
CMP-002,Email,2026-07-22,80.0,5000,450
CMP-002,Connected TV,2026-07-22,600.0,25000,310
CMP-003,Paid Search,2026-07-22,350.0,12000,480
CMP-003,Social Media,2026-07-22,400.0,18000,620
CMP-003,Email,2026-07-22,80.0,5000,450
CMP-003,Connected TV,2026-07-22,600.0,25000,310
CMP-004,Paid Search,2026-07-22,350.0,12000,480
CMP-004,Social Media,2026-07-22,400.0,18000,620
CMP-004,Email,2026-07-22,80.0,5000,450
CMP-004,Connected TV,2026-07-22,600.0,25000,310
CMP-005,Paid Search,2026-07-22,350.0,12000,480
CMP-005,Social Media,2026-07-22,400.0,18000,620
CMP-005,Email,2026-07-22,80.0,5000,450
CMP-005,Connected TV,2026-07-22,600.0,25000,310
CMP-006,Paid Search,2026-07-22,350.0,12000,480
CMP-006,Social Media,2026-07-22,400.0,18000,620
CMP-006,Email,2026-07-22,80.0,5000,450
CMP-006,Connected TV,2026-07-22,600.0,25000,310
CMP-001,Paid Search,2026-07-21,350.0,12000,480
CMP-001,Social Media,2026-07-21,400.0,18000,620
CMP-001,Email,2026-07-21,80.0,5000,450
CMP-001,Connected TV,2026-07-21,600.0,25000,310
CMP-002,Paid Search,2026-07-21,350.0,12000,480
CMP-002,Social Media,2026-07-21,400.0,18000,620
CMP-002,Email,2026-07-21,80.0,5000,450
CMP-002,Connected TV,2026-07-21,600.0,25000,310
CMP-003,Paid Search,2026-07-21,350.0,12000,480
CMP-003,Social Media,2026-07-21,400.0,18000,620
CMP-003,Email,2026-07-21,80.0,5000,450
CMP-003,Connected TV,2026-07-21,600.0,25000,310
CMP-004,Paid Search,2026-07-21,350.0,12000,480
CMP-004,Social Media,2026-07-21,400.0,18000,620
CMP-004,Email,2026-07-21,80.0,5000,450
CMP-004,Connected TV,2026-07-21,600.0,25000,310
CMP-005,Paid Search,2026-07-21,350.0,12000,480
CMP-005,Social Media,2026-07-21,400.0,18000,620
CMP-005,Email,2026-07-21,80.0,5000,450
CMP-005,Connected TV,2026-07-21,600.0,25000,310
CMP-006,Paid Search,2026-07-21,350.0,12000,480
CMP-006,Social Media,2026-07-21,400.0,18000,620
CMP-006,Email,2026-07-21,80.0,5000,450
CMP-006,Connected TV,2026-07-21,600.0,25000,310
CMP-001,Paid Search,2026-07-20,350.0,12000,480
CMP-001,Social Media,2026-07-20,400.0,18000,620
CMP-001,Email,2026-07-20,80.0,5000,450
CMP-001,Connected TV,2026-07-20,600.0,25000,310
CMP-002,Paid Search,2026-07-20,350.0,12000,480
CMP-002,Social Media,2026-07-20,400.0,18000,620
CMP-002,Email,2026-07-20,80.0,5000,450
CMP-002,Connected TV,2026-07-20,600.0,25000,310
CMP-003,Paid Search,2026-07-20,350.0,12000,480
