campaign_id,date,conversions_count,attributed_revenue,new_customers_acquired
CMP-001,2026-07-24,45,2250.0,12
CMP-002,2026-07-24,60,4800.0,18
CMP-003,2026-07-24,30,2100.0,8
CMP-004,2026-07-24,85,5950.0,5
CMP-005,2026-07-24,110,4400.0,28
CMP-006,2026-07-24,40,1600.0,22
CMP-001,2026-07-23,45,2250.0,12
CMP-002,2026-07-23,60,4800.0,18
CMP-003,2026-07-23,30,2100.0,8
CMP-004,2026-07-23,85,5950.0,5
CMP-005,2026-07-23,110,4400.0,28
CMP-006,2026-07-23,40,1600.0,22
CMP-001,2026-07-22,45,2250.0,12
CMP-002,2026-07-22,60,4800.0,18
CMP-003,2026-07-22,30,2100.0,8
CMP-004,2026-07-22,85,5950.0,5
CMP-005,2026-07-22,110,4400.0,28
CMP-006,2026-07-22,40,1600.0,22
CMP-001,2026-07-21,45,2250.0,12
CMP-002,2026-07-21,60,4800.0,18
CMP-003,2026-07-21,30,2100.0,8
CMP-004,2026-07-21,85,5950.0,5
CMP-005,2026-07-21,110,4400.0,28
CMP-006,2026-07-21,40,1600.0,22
CMP-001,2026-07-20,45,2250.0,12
CMP-002,2026-07-20,60,4800.0,18
CMP-003,2026-07-20,30,2100.0,8
CMP-004,2026-07-20,85,5950.0,5
CMP-005,2026-07-20,110,4400.0,28
CMP-006,2026-07-20,40,1600.0,22
CMP-001,2026-07-19,45,2250.0,12
CMP-002,2026-07-19,60,4800.0,18
CMP-003,2026-07-19,30,2100.0,8
CMP-004,2026-07-19,85,5950.0,5
CMP-005,2026-07-19,110,4400.0,28
CMP-006,2026-07-19,40,1600.0,22
CMP-001,2026-07-18,45,2250.0,12
CMP-002,2026-07-18,60,4800.0,18
CMP-003,2026-07-18,30,2100.0,8
CMP-004,2026-07-18,85,5950.0,5
CMP-005,2026-07-18,110,4400.0,28
CMP-006,2026-07-18,40,1600.0,22
CMP-001,2026-07-17,45,2250.0,12
CMP-002,2026-07-17,60,4800.0,18
CMP-003,2026-07-17,30,2100.0,8
CMP-004,2026-07-17,85,5950.0,5
CMP-005,2026-07-17,110,4400.0,28
CMP-006,2026-07-17,40,1600.0,22
CMP-001,2026-07-16,45,2250.0,12
CMP-002,2026-07-16,60,4800.0,18
CMP-003,2026-07-16,30,2100.0,8
CMP-004,2026-07-16,85,5950.0,5
CMP-005,2026-07-16,110,4400.0,28
CMP-006,2026-07-16,40,1600.0,22
CMP-001,2026-07-15,45,2250.0,12
CMP-002,2026-07-15,60,4800.0,18
CMP-003,2026-07-15,30,2100.0,8
CMP-004,2026-07-15,85,5950.0,5
CMP-005,2026-07-15,110,4400.0,28
CMP-006,2026-07-15,40,1600.0,22
CMP-001,2026-07-14,45,2250.0,12
CMP-002,2026-07-14,60,4800.0,18
CMP-003,2026-07-14,30,2100.0,8
CMP-004,2026-07-14,85,5950.0,5
CMP-005,2026-07-14,110,4400.0,28
CMP-006,2026-07-14,40,1600.0,22
CMP-001,2026-07-13,45,2250.0,12
CMP-002,2026-07-13,60,4800.0,18
CMP-003,2026-07-13,30,2100.0,8
CMP-004,2026-07-13,85,5950.0,5
CMP-005,2026-07-13,110,4400.0,28
CMP-006,2026-07-13,40,1600.0,22
CMP-001,2026-07-12,45,2250.0,12
CMP-002,2026-07-12,60,4800.0,18
CMP-003,2026-07-12,30,2100.0,8
CMP-004,2026-07-12,85,5950.0,5
CMP-005,2026-07-12,110,4400.0,28
CMP-006,2026-07-12,40,1600.0,22
CMP-001,2026-07-11,45,2250.0,12
CMP-002,2026-07-11,60,4800.0,18
CMP-003,2026-07-11,30,2100.0,8
CMP-004,2026-07-11,85,5950.0,5
CMP-005,2026-07-11,110,4400.0,28
CMP-006,2026-07-11,40,1600.0,22
CMP-001,2026-07-10,45,2250.0,12
CMP-002,2026-07-10,60,4800.0,18
CMP-003,2026-07-10,30,2100.0,8
CMP-004,2026-07-10,85,5950.0,5
CMP-005,2026-07-10,110,4400.0,28
CMP-006,2026-07-10,40,1600.0,22
CMP-001,2026-07-09,45,2250.0,12
CMP-002,2026-07-09,60,4800.0,18
CMP-003,2026-07-09,30,2100.0,8
CMP-004,2026-07-09,85,5950.0,5
CMP-005,2026-07-09,110,4400.0,28
CMP-006,2026-07-09,40,1600.0,22
CMP-001,2026-07-08,45,2250.0,12
CMP-002,2026-07-08,60,4800.0,18
CMP-003,2026-07-08,30,2100.0,8
CMP-004,2026-07-08,85,5950.0,5
CMP-005,2026-07-08,110,4400.0,28
CMP-006,2026-07-08,40,1600.0,22
CMP-001,2026-07-07,45,2250.0,12
CMP-002,2026-07-07,60,4800.0,18
CMP-003,2026-07-07,30,2100.0,8
CMP-004,2026-07-07,85,5950.0,5
CMP-005,2026-07-07,110,4400.0,28
CMP-006,2026-07-07,40,1600.0,22
CMP-001,2026-07-06,45,2250.0,12
CMP-002,2026-07-06,60,4800.0,18
CMP-003,2026-07-06,30,2100.0,8
CMP-004,2026-07-06,85,5950.0,5
CMP-005,2026-07-06,110,4400.0,28
CMP-006,2026-07-06,40,1600.0,22
CMP-001,2026-07-05,45,2250.0,12
CMP-002,2026-07-05,60,4800.0,18
CMP-003,2026-07-05,30,2100.0,8
CMP-004,2026-07-05,85,5950.0,5
CMP-005,2026-07-05,110,4400.0,28
CMP-006,2026-07-05,40,1600.0,22
CMP-001,2026-07-04,45,2250.0,12
CMP-002,2026-07-04,60,4800.0,18
CMP-003,2026-07-04,30,2100.0,8
CMP-004,2026-07-04,85,5950.0,5
CMP-005,2026-07-04,110,4400.0,28
CMP-006,2026-07-04,40,1600.0,22
CMP-001,2026-07-03,45,2250.0,12
CMP-002,2026-07-03,60,4800.0,18
CMP-003,2026-07-03,30,2100.0,8
CMP-004,2026-07-03,85,5950.0,5
CMP-005,2026-07-03,110,4400.0,28
CMP-006,2026-07-03,40,1600.0,22
CMP-001,2026-07-02,45,2250.0,12
CMP-002,2026-07-02,60,4800.0,18
CMP-003,2026-07-02,30,2100.0,8
CMP-004,2026-07-02,85,5950.0,5
CMP-005,2026-07-02,110,4400.0,28
CMP-006,2026-07-02,40,1600.0,22
CMP-001,2026-07-01,45,2250.0,12
CMP-002,2026-07-01,60,4800.0,18
CMP-003,2026-07-01,30,2100.0,8
CMP-004,2026-07-01,85,5950.0,5
CMP-005,2026-07-01,110,4400.0,28
CMP-006,2026-07-01,40,1600.0,22
CMP-001,2026-06-30,45,2250.0,12
CMP-002,2026-06-30,60,4800.0,18
CMP-003,2026-06-30,30,2100.0,8
CMP-004,2026-06-30,85,5950.0,5
CMP-005,2026-06-30,110,4400.0,28
CMP-006,2026-06-30,40,1600.0,22
CMP-001,2026-06-29,45,2250.0,12
CMP-002,2026-06-29,60,4800.0,18
CMP-003,2026-06-29,30,2100.0,8
CMP-004,2026-06-29,85,5950.0,5
CMP-005,2026-06-29,110,4400.0,28
CMP-006,2026-06-29,40,1600.0,22
CMP-001,2026-06-28,45,2250.0,12
CMP-002,2026-06-28,60,4800.0,18
CMP-003,2026-06-28,30,2100.0,8
CMP-004,2026-06-28,85,5950.0,5
CMP-005,2026-06-28,110,4400.0,28
CMP-006,2026-06-28,40,1600.0,22
CMP-001,2026-06-27,45,2250.0,12
CMP-002,2026-06-27,60,4800.0,18
CMP-003,2026-06-27,30,2100.0,8
CMP-004,2026-06-27,85,5950.0,5
CMP-005,2026-06-27,110,4400.0,28
CMP-006,2026-06-27,40,1600.0,22
CMP-001,2026-06-26,45,2250.0,12
CMP-002,2026-06-26,60,4800.0,18
CMP-003,2026-06-26,30,2100.0,8
CMP-004,2026-06-26,85,5950.0,5
CMP-005,2026-06-26,110,4400.0,28
CMP-006,2026-06-26,40,1600.0,22
CMP-001,2026-06-25,45,2250.0,12
CMP-002,2026-06-25,60,4800.0,18
CMP-003,2026-06-25,30,2100.0,8
CMP-004,2026-06-25,85,5950.0,5
CMP-005,2026-06-25,110,4400.0,28
CMP-006,2026-06-25,40,1600.0,22
