store_id,product_id,shelf_location,facings,space_allocated_sq_ft,planogram_date
STORE-101,SKU-001,AISLE-1-BAY-1,4,6.0,2026-07-01
STORE-101,SKU-002,AISLE-1-BAY-2,5,7.5,2026-07-01
STORE-101,SKU-003,AISLE-1-BAY-3,6,9.0,2026-07-01
STORE-101,SKU-004,AISLE-2-BAY-4,4,10.5,2026-07-01
STORE-101,SKU-005,AISLE-2-BAY-5,5,12.0,2026-07-01
STORE-101,SKU-006,AISLE-2-BAY-6,6,13.5,2026-07-01
STORE-102,SKU-001,AISLE-1-BAY-1,4,6.0,2026-07-01
STORE-102,SKU-002,AISLE-1-BAY-2,5,7.5,2026-07-01
STORE-102,SKU-003,AISLE-1-BAY-3,6,9.0,2026-07-01
STORE-102,SKU-004,AISLE-2-BAY-4,4,10.5,2026-07-01
STORE-102,SKU-005,AISLE-2-BAY-5,5,12.0,2026-07-01
STORE-102,SKU-006,AISLE-2-BAY-6,6,13.5,2026-07-01
