date,store_id,product_id,units_sold,revenue
2026-05-26,STORE-101,SKU-001,6,1049.22
2026-05-26,STORE-101,SKU-002,7,619.54
2026-05-26,STORE-101,SKU-003,11,722.58
2026-05-26,STORE-101,SKU-004,13,1204.39
2026-05-26,STORE-101,SKU-005,7,748.28
2026-05-26,STORE-101,SKU-006,8,280.09
2026-05-26,STORE-102,SKU-001,5,883.74
2026-05-26,STORE-102,SKU-002,8,721.94
2026-05-26,STORE-102,SKU-003,9,588.13
2026-05-26,STORE-102,SKU-004,13,1198.43
2026-05-26,STORE-102,SKU-005,8,890.46
2026-05-26,STORE-102,SKU-006,9,308.49
2026-05-27,STORE-101,SKU-001,7,1247.65
2026-05-27,STORE-101,SKU-002,7,614.76
2026-05-27,STORE-101,SKU-003,11,719.45
2026-05-27,STORE-101,SKU-004,13,1252.02
2026-05-27,STORE-101,SKU-005,7,791.86
2026-05-27,STORE-101,SKU-006,9,315.98
2026-05-27,STORE-102,SKU-001,7,1268.96
2026-05-27,STORE-102,SKU-002,9,813.76
2026-05-27,STORE-102,SKU-003,11,695.52
2026-05-27,STORE-102,SKU-004,11,1031.79
2026-05-27,STORE-102,SKU-005,6,649.42
2026-05-27,STORE-102,SKU-006,8,276.27
2026-05-28,STORE-101,SKU-001,6,1071.24
2026-05-28,STORE-101,SKU-002,8,707.45
2026-05-28,STORE-101,SKU-003,9,600.33
2026-05-28,STORE-101,SKU-004,12,1147.46
2026-05-28,STORE-101,SKU-005,6,669.07
2026-05-28,STORE-101,SKU-006,8,277.97
2026-05-28,STORE-102,SKU-001,8,1452.1
2026-05-28,STORE-102,SKU-002,8,727.98
2026-05-28,STORE-102,SKU-003,11,726.84
2026-05-28,STORE-102,SKU-004,11,1015.66
2026-05-28,STORE-102,SKU-005,6,650.8
2026-05-28,STORE-102,SKU-006,8,287.44
2026-05-29,STORE-101,SKU-001,7,1245.99
2026-05-29,STORE-101,SKU-002,8,715.49
2026-05-29,STORE-101,SKU-003,11,713.23
2026-05-29,STORE-101,SKU-004,11,1029.11
2026-05-29,STORE-101,SKU-005,7,759.04
2026-05-29,STORE-101,SKU-006,9,322.52
2026-05-29,STORE-102,SKU-001,6,1061.81
2026-05-29,STORE-102,SKU-002,9,810.46
2026-05-29,STORE-102,SKU-003,9,569.1
2026-05-29,STORE-102,SKU-004,11,1052.99
2026-05-29,STORE-102,SKU-005,8,875.89
2026-05-29,STORE-102,SKU-006,8,278.01
2026-05-30,STORE-101,SKU-001,9,1622.83
2026-05-30,STORE-101,SKU-002,12,1103.38
2026-05-30,STORE-101,SKU-003,12,790.33
2026-05-30,STORE-101,SKU-004,16,1523.37
2026-05-30,STORE-101,SKU-005,8,887.44
2026-05-30,STORE-101,SKU-006,11,383.49
2026-05-30,STORE-102,SKU-001,8,1479.21
2026-05-30,STORE-102,SKU-002,12,1064.67
2026-05-30,STORE-102,SKU-003,13,828.71
2026-05-30,STORE-102,SKU-004,17,1650.9
2026-05-30,STORE-102,SKU-005,8,887.34
2026-05-30,STORE-102,SKU-006,12,411.25
2026-05-31,STORE-101,SKU-001,9,1623.83
2026-05-31,STORE-101,SKU-002,11,991.8
2026-05-31,STORE-101,SKU-003,12,771.77
2026-05-31,STORE-101,SKU-004,14,1364.24
2026-05-31,STORE-101,SKU-005,10,1121.89
2026-05-31,STORE-101,SKU-006,11,374.79
2026-05-31,STORE-102,SKU-001,9,1663.44
2026-05-31,STORE-102,SKU-002,9,809.32
2026-05-31,STORE-102,SKU-003,12,792.2
2026-05-31,STORE-102,SKU-004,16,1486.11
2026-05-31,STORE-102,SKU-005,9,992.96
2026-05-31,STORE-102,SKU-006,11,393.6
2026-06-01,STORE-101,SKU-001,6,1061.32
2026-06-01,STORE-101,SKU-002,8,729.93
2026-06-01,STORE-101,SKU-003,9,578.39
2026-06-01,STORE-101,SKU-004,13,1246.11
2026-06-01,STORE-101,SKU-005,7,770.81
2026-06-01,STORE-101,SKU-006,8,275.37
2026-06-01,STORE-102,SKU-001,6,1085.72
2026-06-01,STORE-102,SKU-002,7,619.42
2026-06-01,STORE-102,SKU-003,9,589.6
2026-06-01,STORE-102,SKU-004,11,1070.42
2026-06-01,STORE-102,SKU-005,8,857.34
2026-06-01,STORE-102,SKU-006,8,282.84
2026-06-02,STORE-101,SKU-001,5,880.14
2026-06-02,STORE-101,SKU-002,9,813.45
2026-06-02,STORE-101,SKU-003,10,661.1
2026-06-02,STORE-101,SKU-004,13,1212.06
2026-06-02,STORE-101,SKU-005,6,657.27
2026-06-02,STORE-101,SKU-006,9,314.38
2026-06-02,STORE-102,SKU-001,7,1273.11
2026-06-02,STORE-102,SKU-002,9,790.48
2026-06-02,STORE-102,SKU-003,10,643.73
2026-06-02,STORE-102,SKU-004,13,1216.38
2026-06-02,STORE-102,SKU-005,6,657.97
2026-06-02,STORE-102,SKU-006,9,310.81
2026-06-03,STORE-101,SKU-001,6,1107.43
2026-06-03,STORE-101,SKU-002,8,735.61
2026-06-03,STORE-101,SKU-003,10,632.47
2026-06-03,STORE-101,SKU-004,13,1259.9
2026-06-03,STORE-101,SKU-005,8,902.51
2026-06-03,STORE-101,SKU-006,10,342.99
2026-06-03,STORE-102,SKU-001,6,1061.45
2026-06-03,STORE-102,SKU-002,8,700.93
2026-06-03,STORE-102,SKU-003,10,668.93
2026-06-03,STORE-102,SKU-004,11,1062.81
2026-06-03,STORE-102,SKU-005,7,766.44
2026-06-03,STORE-102,SKU-006,10,360.4
2026-06-04,STORE-101,SKU-001,7,1276.51
2026-06-04,STORE-101,SKU-002,7,622.32
2026-06-04,STORE-101,SKU-003,11,718.4
2026-06-04,STORE-101,SKU-004,12,1156.96
2026-06-04,STORE-101,SKU-005,6,663.33
2026-06-04,STORE-101,SKU-006,9,321.67
2026-06-04,STORE-102,SKU-001,5,924.88
2026-06-04,STORE-102,SKU-002,7,618.12
2026-06-04,STORE-102,SKU-003,10,656.83
2026-06-04,STORE-102,SKU-004,11,1021.17
2026-06-04,STORE-102,SKU-005,8,866.6
2026-06-04,STORE-102,SKU-006,9,317.26
2026-06-05,STORE-101,SKU-001,6,1085.42
2026-06-05,STORE-101,SKU-002,8,738.78
2026-06-05,STORE-101,SKU-003,9,592.59
2026-06-05,STORE-101,SKU-004,11,1038.47
2026-06-05,STORE-101,SKU-005,8,869.44
2026-06-05,STORE-101,SKU-006,8,284.23
2026-06-05,STORE-102,SKU-001,5,897.75
2026-06-05,STORE-102,SKU-002,9,834.11
2026-06-05,STORE-102,SKU-003,9,574.93
2026-06-05,STORE-102,SKU-004,11,1072.17
2026-06-05,STORE-102,SKU-005,8,900.03
2026-06-05,STORE-102,SKU-006,9,308.53
2026-06-06,STORE-101,SKU-001,9,1639.78
2026-06-06,STORE-101,SKU-002,11,1018.94
2026-06-06,STORE-101,SKU-003,13,820.05
2026-06-06,STORE-101,SKU-004,17,1595.56
2026-06-06,STORE-101,SKU-005,10,1128.97
2026-06-06,STORE-101,SKU-006,11,376.12
2026-06-06,STORE-102,SKU-001,7,1264.02
2026-06-06,STORE-102,SKU-002,10,905.66
2026-06-06,STORE-102,SKU-003,14,893.82
2026-06-06,STORE-102,SKU-004,16,1498.48
2026-06-06,STORE-102,SKU-005,9,1014.08
2026-06-06,STORE-102,SKU-006,13,443.87
2026-06-07,STORE-101,SKU-001,8,1420.71
2026-06-07,STORE-101,SKU-002,9,823.18
2026-06-07,STORE-101,SKU-003,13,832.93
2026-06-07,STORE-101,SKU-004,16,1524.71
2026-06-07,STORE-101,SKU-005,9,960.87
2026-06-07,STORE-101,SKU-006,10,358.05
2026-06-07,STORE-102,SKU-001,10,1804.92
2026-06-07,STORE-102,SKU-002,11,994.9
2026-06-07,STORE-102,SKU-003,12,762.56
2026-06-07,STORE-102,SKU-004,15,1459.11
2026-06-07,STORE-102,SKU-005,10,1123.81
2026-06-07,STORE-102,SKU-006,13,447.09
2026-06-08,STORE-101,SKU-001,6,1054.26
2026-06-08,STORE-101,SKU-002,9,828.67
2026-06-08,STORE-101,SKU-003,10,654.71
2026-06-08,STORE-101,SKU-004,11,1071.95
2026-06-08,STORE-101,SKU-005,8,905.14
2026-06-08,STORE-101,SKU-006,10,358.01
2026-06-08,STORE-102,SKU-001,5,912.77
2026-06-08,STORE-102,SKU-002,7,646.28
2026-06-08,STORE-102,SKU-003,11,730.62
2026-06-08,STORE-102,SKU-004,13,1217.72
2026-06-08,STORE-102,SKU-005,8,859.31
2026-06-08,STORE-102,SKU-006,10,357.53
2026-06-09,STORE-101,SKU-001,6,1100.51
2026-06-09,STORE-101,SKU-002,8,711.58
2026-06-09,STORE-101,SKU-003,11,703.31
2026-06-09,STORE-101,SKU-004,11,1025.76
2026-06-09,STORE-101,SKU-005,6,674.43
2026-06-09,STORE-101,SKU-006,10,345.36
2026-06-09,STORE-102,SKU-001,7,1252.42
2026-06-09,STORE-102,SKU-002,9,811.76
2026-06-09,STORE-102,SKU-003,11,698.5
2026-06-09,STORE-102,SKU-004,13,1211.18
2026-06-09,STORE-102,SKU-005,8,867.62
2026-06-09,STORE-102,SKU-006,8,278.9
2026-06-10,STORE-101,SKU-001,7,1245.91
2026-06-10,STORE-101,SKU-002,8,720.49
2026-06-10,STORE-101,SKU-003,10,652.99
2026-06-10,STORE-101,SKU-004,11,1058.09
2026-06-10,STORE-101,SKU-005,6,676.85
2026-06-10,STORE-101,SKU-006,9,319.15
2026-06-10,STORE-102,SKU-001,7,1272.9
2026-06-10,STORE-102,SKU-002,8,701.42
2026-06-10,STORE-102,SKU-003,10,643.38
2026-06-10,STORE-102,SKU-004,11,1066.82
2026-06-10,STORE-102,SKU-005,8,869.46
2026-06-10,STORE-102,SKU-006,8,278.46
2026-06-11,STORE-101,SKU-001,6,1066.76
2026-06-11,STORE-101,SKU-002,7,626.99
2026-06-11,STORE-101,SKU-003,11,722.61
2026-06-11,STORE-101,SKU-004,13,1243.56
2026-06-11,STORE-101,SKU-005,6,661.9
2026-06-11,STORE-101,SKU-006,8,276.42
2026-06-11,STORE-102,SKU-001,6,1085.18
2026-06-11,STORE-102,SKU-002,8,718.49
2026-06-11,STORE-102,SKU-003,10,638.83
2026-06-11,STORE-102,SKU-004,12,1167.44
2026-06-11,STORE-102,SKU-005,8,862.56
2026-06-11,STORE-102,SKU-006,8,280.26
2026-06-12,STORE-101,SKU-001,7,1247.54
2026-06-12,STORE-101,SKU-002,9,822.21
2026-06-12,STORE-101,SKU-003,11,703.19
2026-06-12,STORE-101,SKU-004,11,1015.18
2026-06-12,STORE-101,SKU-005,6,659.02
2026-06-12,STORE-101,SKU-006,10,341.03
2026-06-12,STORE-102,SKU-001,6,1088.41
2026-06-12,STORE-102,SKU-002,7,637.42
2026-06-12,STORE-102,SKU-003,10,640.02
2026-06-12,STORE-102,SKU-004,12,1106.18
2026-06-12,STORE-102,SKU-005,8,894.26
2026-06-12,STORE-102,SKU-006,8,278.74
2026-06-13,STORE-101,SKU-001,8,1479.57
2026-06-13,STORE-101,SKU-002,10,875.71
2026-06-13,STORE-101,SKU-003,12,796.3
2026-06-13,STORE-101,SKU-004,15,1450.77
2026-06-13,STORE-101,SKU-005,10,1132.2
2026-06-13,STORE-101,SKU-006,12,431.34
2026-06-13,STORE-102,SKU-001,10,1812.17
2026-06-13,STORE-102,SKU-002,11,990.28
2026-06-13,STORE-102,SKU-003,14,912.61
2026-06-13,STORE-102,SKU-004,17,1638.61
2026-06-13,STORE-102,SKU-005,9,975.7
2026-06-13,STORE-102,SKU-006,11,388.18
2026-06-14,STORE-101,SKU-001,10,1802.3
2026-06-14,STORE-101,SKU-002,11,976.61
2026-06-14,STORE-101,SKU-003,12,769.97
2026-06-14,STORE-101,SKU-004,15,1409.59
2026-06-14,STORE-101,SKU-005,9,968.52
2026-06-14,STORE-101,SKU-006,11,389.48
2026-06-14,STORE-102,SKU-001,9,1577.64
2026-06-14,STORE-102,SKU-002,10,902.3
2026-06-14,STORE-102,SKU-003,13,830.14
2026-06-14,STORE-102,SKU-004,15,1459.61
2026-06-14,STORE-102,SKU-005,9,1001.61
2026-06-14,STORE-102,SKU-006,13,462.25
2026-06-15,STORE-101,SKU-001,6,1047.98
2026-06-15,STORE-101,SKU-002,8,730.95
2026-06-15,STORE-101,SKU-003,11,734.45
2026-06-15,STORE-101,SKU-004,12,1156.93
2026-06-15,STORE-101,SKU-005,7,774.77
2026-06-15,STORE-101,SKU-006,8,275.29
2026-06-15,STORE-102,SKU-001,7,1224.39
2026-06-15,STORE-102,SKU-002,8,727.74
2026-06-15,STORE-102,SKU-003,10,636.94
2026-06-15,STORE-102,SKU-004,12,1114.53
2026-06-15,STORE-102,SKU-005,7,748.15
2026-06-15,STORE-102,SKU-006,9,316.22
2026-06-16,STORE-101,SKU-001,5,907.71
2026-06-16,STORE-101,SKU-002,7,628.55
2026-06-16,STORE-101,SKU-003,9,580.76
2026-06-16,STORE-101,SKU-004,11,1034.14
2026-06-16,STORE-101,SKU-005,8,873.62
2026-06-16,STORE-101,SKU-006,10,356.97
2026-06-16,STORE-102,SKU-001,6,1052.91
2026-06-16,STORE-102,SKU-002,7,631.49
2026-06-16,STORE-102,SKU-003,11,708.56
2026-06-16,STORE-102,SKU-004,12,1159.24
2026-06-16,STORE-102,SKU-005,7,781.75
2026-06-16,STORE-102,SKU-006,10,343.69
2026-06-17,STORE-101,SKU-001,5,881.23
2026-06-17,STORE-101,SKU-002,7,636.41
2026-06-17,STORE-101,SKU-003,10,639.0
2026-06-17,STORE-101,SKU-004,13,1254.78
2026-06-17,STORE-101,SKU-005,6,664.25
2026-06-17,STORE-101,SKU-006,10,341.91
2026-06-17,STORE-102,SKU-001,8,1480.15
2026-06-17,STORE-102,SKU-002,7,612.07
2026-06-17,STORE-102,SKU-003,9,591.22
2026-06-17,STORE-102,SKU-004,13,1227.34
2026-06-17,STORE-102,SKU-005,8,857.61
2026-06-17,STORE-102,SKU-006,10,352.67
2026-06-18,STORE-101,SKU-001,6,1097.66
2026-06-18,STORE-101,SKU-002,9,814.88
2026-06-18,STORE-101,SKU-003,9,601.98
2026-06-18,STORE-101,SKU-004,13,1223.68
2026-06-18,STORE-101,SKU-005,7,764.02
2026-06-18,STORE-101,SKU-006,9,312.0
2026-06-18,STORE-102,SKU-001,8,1467.85
2026-06-18,STORE-102,SKU-002,7,647.42
2026-06-18,STORE-102,SKU-003,10,662.82
2026-06-18,STORE-102,SKU-004,13,1230.22
2026-06-18,STORE-102,SKU-005,8,904.58
2026-06-18,STORE-102,SKU-006,8,285.18
2026-06-19,STORE-101,SKU-001,7,1258.75
2026-06-19,STORE-101,SKU-002,8,729.98
2026-06-19,STORE-101,SKU-003,9,597.35
2026-06-19,STORE-101,SKU-004,13,1204.37
2026-06-19,STORE-101,SKU-005,8,866.48
2026-06-19,STORE-101,SKU-006,9,317.09
2026-06-19,STORE-102,SKU-001,7,1224.37
2026-06-19,STORE-102,SKU-002,9,794.54
2026-06-19,STORE-102,SKU-003,9,595.45
2026-06-19,STORE-102,SKU-004,12,1166.01
2026-06-19,STORE-102,SKU-005,8,868.19
2026-06-19,STORE-102,SKU-006,8,287.53
2026-06-20,STORE-101,SKU-001,8,1459.01
2026-06-20,STORE-101,SKU-002,10,913.94
2026-06-20,STORE-101,SKU-003,14,917.97
2026-06-20,STORE-101,SKU-004,16,1546.72
2026-06-20,STORE-101,SKU-005,8,865.3
2026-06-20,STORE-101,SKU-006,12,415.12
2026-06-20,STORE-102,SKU-001,9,1617.4
2026-06-20,STORE-102,SKU-002,10,895.98
2026-06-20,STORE-102,SKU-003,14,900.76
2026-06-20,STORE-102,SKU-004,16,1499.11
2026-06-20,STORE-102,SKU-005,8,859.97
2026-06-20,STORE-102,SKU-006,11,376.21
2026-06-21,STORE-101,SKU-001,9,1645.48
2026-06-21,STORE-101,SKU-002,9,796.22
2026-06-21,STORE-101,SKU-003,13,856.39
2026-06-21,STORE-101,SKU-004,17,1617.39
2026-06-21,STORE-101,SKU-005,8,858.91
2026-06-21,STORE-101,SKU-006,11,378.7
2026-06-21,STORE-102,SKU-001,8,1398.02
2026-06-21,STORE-102,SKU-002,11,976.59
2026-06-21,STORE-102,SKU-003,14,912.91
