product_id,effective_date,list_price,sale_price,discount_reason,avg_daily_units_at_price
SKU-001,2026-03-26,180.0,180.0,regular,6.0
SKU-002,2026-03-26,90.0,90.0,regular,8.0
SKU-003,2026-03-26,65.0,65.0,regular,10.0
SKU-003,2026-06-01,65.0,50.0,markdown,16.0
SKU-004,2026-03-26,95.0,95.0,regular,12.0
SKU-005,2026-03-26,110.0,110.0,regular,7.0
SKU-006,2026-03-26,35.0,35.0,regular,9.0
SKU-006,2026-05-15,35.0,28.0,markdown,13.0
SKU-006,2026-06-05,35.0,21.0,markdown,18.0
SKU-006,2026-06-26,35.0,14.0,clearance,25.0
