store_id,product_id,aging_bucket_days,aging_units,aging_cost_value,markdown_risk_flag
STORE-001,SKU-001,0-30,54,5400.0,false
STORE-001,SKU-001,31-60,21,2100.0,false
STORE-001,SKU-001,61-90,13,1300.0,false
STORE-001,SKU-001,90+,2,200.0,false
STORE-001,SKU-002,0-30,52,2600.0,false
STORE-001,SKU-002,31-60,30,1500.0,false
STORE-001,SKU-002,61-90,13,650.0,false
STORE-001,SKU-002,90+,3,150.0,false
STORE-001,SKU-003,0-30,46,1610.0,false
STORE-001,SKU-003,31-60,26,910.0,false
STORE-001,SKU-003,61-90,24,840.0,false
STORE-001,SKU-003,90+,3,105.0,false
STORE-001,SKU-004,0-30,53,2650.0,false
STORE-001,SKU-004,31-60,25,1250.0,false
STORE-001,SKU-004,61-90,18,900.0,false
STORE-001,SKU-004,90+,5,250.0,false
STORE-001,SKU-005,0-30,47,2820.0,false
STORE-001,SKU-005,31-60,22,1320.0,false
STORE-001,SKU-005,61-90,24,1440.0,false
STORE-001,SKU-005,90+,60,3600.0,true
STORE-001,SKU-006,0-30,67,1206.0,false
STORE-001,SKU-006,31-60,37,666.0,false
STORE-001,SKU-006,61-90,13,234.0,false
STORE-001,SKU-006,90+,36,648.0,true
STORE-002,SKU-001,0-30,60,6000.0,false
STORE-002,SKU-001,31-60,37,3700.0,false
STORE-002,SKU-001,61-90,10,1000.0,false
STORE-002,SKU-001,90+,2,200.0,false
STORE-002,SKU-002,0-30,69,3450.0,false
STORE-002,SKU-002,31-60,27,1350.0,false
STORE-002,SKU-002,61-90,15,750.0,false
STORE-002,SKU-002,90+,5,250.0,false
STORE-002,SKU-003,0-30,55,1925.0,false
STORE-002,SKU-003,31-60,35,1225.0,false
STORE-002,SKU-003,61-90,16,560.0,false
STORE-002,SKU-003,90+,8,280.0,false
STORE-002,SKU-004,0-30,52,2600.0,false
STORE-002,SKU-004,31-60,21,1050.0,false
STORE-002,SKU-004,61-90,15,750.0,false
STORE-002,SKU-004,90+,5,250.0,false
STORE-002,SKU-005,0-30,40,2400.0,false
STORE-002,SKU-005,31-60,32,1920.0,false
STORE-002,SKU-005,61-90,18,1080.0,false
STORE-002,SKU-005,90+,60,3600.0,true
STORE-002,SKU-006,0-30,65,1170.0,false
STORE-002,SKU-006,31-60,34,612.0,false
STORE-002,SKU-006,61-90,19,342.0,false
STORE-002,SKU-006,90+,48,864.0,true
STORE-003,SKU-001,0-30,62,6200.0,false
STORE-003,SKU-001,31-60,37,3700.0,false
STORE-003,SKU-001,61-90,25,2500.0,false
STORE-003,SKU-001,90+,3,300.0,false
STORE-003,SKU-002,0-30,46,2300.0,false
STORE-003,SKU-002,31-60,29,1450.0,false
STORE-003,SKU-002,61-90,16,800.0,false
STORE-003,SKU-002,90+,2,100.0,false
STORE-003,SKU-003,0-30,58,2030.0,false
STORE-003,SKU-003,31-60,37,1295.0,false
STORE-003,SKU-003,61-90,11,385.0,false
STORE-003,SKU-003,90+,7,245.0,false
STORE-003,SKU-004,0-30,50,2500.0,false
STORE-003,SKU-004,31-60,21,1050.0,false
STORE-003,SKU-004,61-90,11,550.0,false
STORE-003,SKU-004,90+,6,300.0,false
STORE-003,SKU-005,0-30,55,3300.0,false
STORE-003,SKU-005,31-60,36,2160.0,false
STORE-003,SKU-005,61-90,15,900.0,false
STORE-003,SKU-005,90+,36,2160.0,true
STORE-003,SKU-006,0-30,70,1260.0,false
STORE-003,SKU-006,31-60,36,648.0,false
STORE-003,SKU-006,61-90,12,216.0,false
STORE-003,SKU-006,90+,40,720.0,true
STORE-004,SKU-001,0-30,42,4200.0,false
STORE-004,SKU-001,31-60,39,3900.0,false
STORE-004,SKU-001,61-90,12,1200.0,false
STORE-004,SKU-001,90+,7,700.0,false
STORE-004,SKU-002,0-30,67,3350.0,false
STORE-004,SKU-002,31-60,27,1350.0,false
STORE-004,SKU-002,61-90,22,1100.0,false
STORE-004,SKU-002,90+,2,100.0,false
STORE-004,SKU-003,0-30,70,2450.0,false
STORE-004,SKU-003,31-60,38,1330.0,false
STORE-004,SKU-003,61-90,17,595.0,false
STORE-004,SKU-003,90+,6,210.0,false
STORE-004,SKU-004,0-30,59,2950.0,false
STORE-004,SKU-004,31-60,21,1050.0,false
STORE-004,SKU-004,61-90,12,600.0,false
STORE-004,SKU-004,90+,5,250.0,false
STORE-004,SKU-005,0-30,61,3660.0,false
STORE-004,SKU-005,31-60,38,2280.0,false
STORE-004,SKU-005,61-90,20,1200.0,false
STORE-004,SKU-005,90+,43,2580.0,true
STORE-004,SKU-006,0-30,46,828.0,false
STORE-004,SKU-006,31-60,30,540.0,false
STORE-004,SKU-006,61-90,17,306.0,false
STORE-004,SKU-006,90+,43,774.0,true
