store_id,product_id,week_ending_date,units_received,units_sold,sell_through_pct,weeks_of_supply
STORE-001,SKU-001,2026-07-03,106,101,95.28,1.14
STORE-001,SKU-001,2026-07-10,117,111,94.87,1.04
STORE-001,SKU-001,2026-07-17,80,76,95.0,1.52
STORE-001,SKU-001,2026-07-24,90,86,95.56,1.34
STORE-001,SKU-002,2026-07-03,101,96,95.05,1.2
STORE-001,SKU-002,2026-07-10,93,88,94.62,1.31
STORE-001,SKU-002,2026-07-17,101,96,95.05,1.2
STORE-001,SKU-002,2026-07-24,104,99,95.19,1.17
STORE-001,SKU-003,2026-07-03,102,97,95.1,1.19
STORE-001,SKU-003,2026-07-10,82,78,95.12,1.48
STORE-001,SKU-003,2026-07-17,114,108,94.74,1.07
STORE-001,SKU-003,2026-07-24,104,99,95.19,1.17
STORE-001,SKU-004,2026-07-03,98,73,74.49,2.11
STORE-001,SKU-004,2026-07-10,119,89,74.79,1.73
STORE-001,SKU-004,2026-07-17,103,74,71.84,2.08
STORE-001,SKU-004,2026-07-24,84,57,67.86,2.7
STORE-001,SKU-005,2026-07-03,94,69,73.4,2.23
STORE-001,SKU-005,2026-07-10,85,63,74.12,2.44
STORE-001,SKU-005,2026-07-17,86,61,70.93,2.52
STORE-001,SKU-005,2026-07-24,109,79,72.48,1.95
STORE-001,SKU-006,2026-07-03,103,71,68.93,2.17
STORE-001,SKU-006,2026-07-10,102,71,69.61,2.17
STORE-001,SKU-006,2026-07-17,97,71,73.2,2.17
STORE-001,SKU-006,2026-07-24,84,61,72.62,2.52
STORE-002,SKU-001,2026-07-03,90,72,80.0,2.08
STORE-002,SKU-001,2026-07-10,95,73,76.84,2.05
STORE-002,SKU-001,2026-07-17,104,81,77.88,1.85
STORE-002,SKU-001,2026-07-24,120,98,81.67,1.53
STORE-002,SKU-002,2026-07-03,94,77,81.91,1.95
STORE-002,SKU-002,2026-07-10,83,65,78.31,2.31
STORE-002,SKU-002,2026-07-17,82,68,82.93,2.21
STORE-002,SKU-002,2026-07-24,105,82,78.1,1.83
STORE-002,SKU-003,2026-07-03,93,77,82.8,1.95
STORE-002,SKU-003,2026-07-10,116,96,82.76,1.56
STORE-002,SKU-003,2026-07-17,100,78,78.0,1.92
STORE-002,SKU-003,2026-07-24,111,88,79.28,1.7
STORE-002,SKU-004,2026-07-03,109,57,52.29,3.51
STORE-002,SKU-004,2026-07-10,88,47,53.41,4.26
STORE-002,SKU-004,2026-07-17,115,64,55.65,3.12
STORE-002,SKU-004,2026-07-24,117,64,54.7,3.12
STORE-002,SKU-005,2026-07-03,117,63,53.85,3.17
STORE-002,SKU-005,2026-07-10,94,55,58.51,3.64
STORE-002,SKU-005,2026-07-17,88,48,54.55,4.17
STORE-002,SKU-005,2026-07-24,85,48,56.47,4.17
STORE-002,SKU-006,2026-07-03,87,45,51.72,4.44
STORE-002,SKU-006,2026-07-10,90,52,57.78,3.85
STORE-002,SKU-006,2026-07-17,107,60,56.07,3.33
STORE-002,SKU-006,2026-07-24,104,56,53.85,3.57
STORE-003,SKU-001,2026-07-03,109,61,55.96,3.51
STORE-003,SKU-001,2026-07-10,115,68,59.13,3.15
STORE-003,SKU-001,2026-07-17,80,46,57.5,4.66
STORE-003,SKU-001,2026-07-24,87,50,57.47,4.29
STORE-003,SKU-002,2026-07-03,114,66,57.89,3.25
STORE-003,SKU-002,2026-07-10,101,53,52.48,4.04
STORE-003,SKU-002,2026-07-17,107,57,53.27,3.76
STORE-003,SKU-002,2026-07-24,80,48,60.0,4.46
STORE-003,SKU-003,2026-07-03,96,57,59.38,3.76
STORE-003,SKU-003,2026-07-10,91,51,56.04,4.2
STORE-003,SKU-003,2026-07-17,86,51,59.3,4.2
STORE-003,SKU-003,2026-07-24,99,58,58.59,3.69
STORE-003,SKU-004,2026-07-03,112,45,40.18,6.35
STORE-003,SKU-004,2026-07-10,89,36,40.45,7.94
STORE-003,SKU-004,2026-07-17,90,36,40.0,7.94
STORE-003,SKU-004,2026-07-24,113,47,41.59,6.08
STORE-003,SKU-005,2026-07-03,118,47,39.83,6.08
STORE-003,SKU-005,2026-07-10,81,32,39.51,8.93
STORE-003,SKU-005,2026-07-17,103,43,41.75,6.64
STORE-003,SKU-005,2026-07-24,99,40,40.4,7.14
STORE-003,SKU-006,2026-07-03,95,39,41.05,7.33
STORE-003,SKU-006,2026-07-10,85,34,40.0,8.4
STORE-003,SKU-006,2026-07-17,111,46,41.44,6.21
STORE-003,SKU-006,2026-07-24,114,46,40.35,6.21
STORE-004,SKU-001,2026-07-03,88,72,81.82,2.08
STORE-004,SKU-001,2026-07-10,115,89,77.39,1.69
STORE-004,SKU-001,2026-07-17,113,94,83.19,1.6
STORE-004,SKU-001,2026-07-24,107,90,84.11,1.67
STORE-004,SKU-002,2026-07-03,114,94,82.46,1.6
STORE-004,SKU-002,2026-07-10,92,75,81.52,2.0
STORE-004,SKU-002,2026-07-17,105,88,83.81,1.7
STORE-004,SKU-002,2026-07-24,103,82,79.61,1.83
STORE-004,SKU-003,2026-07-03,113,90,79.65,1.67
STORE-004,SKU-003,2026-07-10,95,74,77.89,2.03
STORE-004,SKU-003,2026-07-17,101,77,76.24,1.95
STORE-004,SKU-003,2026-07-24,115,90,78.26,1.67
STORE-004,SKU-004,2026-07-03,94,48,51.06,4.17
STORE-004,SKU-004,2026-07-10,120,62,51.67,3.23
STORE-004,SKU-004,2026-07-17,84,49,58.33,4.08
STORE-004,SKU-004,2026-07-24,101,52,51.49,3.85
STORE-004,SKU-005,2026-07-03,95,51,53.68,3.92
STORE-004,SKU-005,2026-07-10,111,59,53.15,3.39
STORE-004,SKU-005,2026-07-17,88,50,56.82,4.0
STORE-004,SKU-005,2026-07-24,116,65,56.03,3.08
STORE-004,SKU-006,2026-07-03,95,54,56.84,3.7
STORE-004,SKU-006,2026-07-10,106,56,52.83,3.57
STORE-004,SKU-006,2026-07-17,86,48,55.81,4.17
STORE-004,SKU-006,2026-07-24,102,55,53.92,3.64
