store_id,product_id,on_hand_units,allocated_units,in_transit_units
STORE-001,SKU-001,74,14,11
STORE-001,SKU-002,57,11,8
STORE-001,SKU-003,54,10,8
STORE-001,SKU-004,94,18,14
STORE-001,SKU-005,93,18,13
STORE-001,SKU-006,93,18,13
STORE-002,SKU-001,74,14,11
STORE-002,SKU-002,73,14,10
STORE-002,SKU-003,87,17,13
STORE-002,SKU-004,112,22,16
STORE-002,SKU-005,128,25,19
STORE-002,SKU-006,123,24,18
STORE-003,SKU-001,111,22,16
STORE-003,SKU-002,110,22,16
STORE-003,SKU-003,112,22,16
STORE-003,SKU-004,176,35,26
STORE-003,SKU-005,177,35,26
STORE-003,SKU-006,186,37,27
STORE-004,SKU-001,89,17,13
STORE-004,SKU-002,70,14,10
STORE-004,SKU-003,87,17,13
STORE-004,SKU-004,116,23,17
STORE-004,SKU-005,130,26,19
STORE-004,SKU-006,127,25,19
