store_id,date,hour_of_day,customer_traffic_count,completed_transactions
STORE-001,2026-07-11,8,50,23
STORE-001,2026-07-11,9,39,19
STORE-001,2026-07-11,10,98,57
STORE-001,2026-07-11,11,103,48
STORE-001,2026-07-11,12,141,64
STORE-001,2026-07-11,13,135,74
STORE-001,2026-07-11,14,129,63
STORE-001,2026-07-11,15,95,53
STORE-001,2026-07-11,16,83,47
STORE-001,2026-07-11,17,152,69
STORE-001,2026-07-11,18,152,90
STORE-001,2026-07-11,19,138,66
STORE-001,2026-07-11,20,59,31
STORE-001,2026-07-11,21,33,15
STORE-002,2026-07-11,8,56,32
STORE-002,2026-07-11,9,55,33
STORE-002,2026-07-11,10,92,59
STORE-002,2026-07-11,11,87,49
STORE-002,2026-07-11,12,153,88
STORE-002,2026-07-11,13,154,87
STORE-002,2026-07-11,14,149,68
STORE-002,2026-07-11,15,83,42
STORE-002,2026-07-11,16,78,39
STORE-002,2026-07-11,17,131,66
STORE-002,2026-07-11,18,147,77
STORE-002,2026-07-11,19,139,68
STORE-002,2026-07-11,20,39,25
STORE-002,2026-07-11,21,50,29
STORE-003,2026-07-11,8,36,21
STORE-003,2026-07-11,9,35,18
STORE-003,2026-07-11,10,106,61
STORE-003,2026-07-11,11,93,55
STORE-003,2026-07-11,12,153,93
STORE-003,2026-07-11,13,135,62
STORE-003,2026-07-11,14,137,69
STORE-003,2026-07-11,15,82,52
STORE-003,2026-07-11,16,102,52
STORE-003,2026-07-11,17,148,78
STORE-003,2026-07-11,18,155,84
STORE-003,2026-07-11,19,136,68
STORE-003,2026-07-11,20,47,24
STORE-003,2026-07-11,21,48,30
STORE-004,2026-07-11,8,42,21
STORE-004,2026-07-11,9,60,33
STORE-004,2026-07-11,10,79,36
STORE-004,2026-07-11,11,79,45
STORE-004,2026-07-11,12,152,81
STORE-004,2026-07-11,13,130,68
STORE-004,2026-07-11,14,158,88
STORE-004,2026-07-11,15,105,65
STORE-004,2026-07-11,16,76,45
STORE-004,2026-07-11,17,148,82
