store_id,date,hour_of_day,department,scheduled_staff_count,actual_staff_count
STORE-001,2026-07-11,8,Checkout,4,4
STORE-001,2026-07-11,8,Sales Floor,4,4
STORE-001,2026-07-11,8,Stockroom,4,4
STORE-001,2026-07-11,9,Checkout,4,4
STORE-001,2026-07-11,9,Sales Floor,4,5
STORE-001,2026-07-11,9,Stockroom,4,4
STORE-001,2026-07-11,10,Checkout,4,3
STORE-001,2026-07-11,10,Sales Floor,4,3
STORE-001,2026-07-11,10,Stockroom,4,5
STORE-001,2026-07-11,11,Checkout,4,4
STORE-001,2026-07-11,11,Sales Floor,6,6
STORE-001,2026-07-11,11,Stockroom,2,2
STORE-001,2026-07-11,12,Checkout,7,7
STORE-001,2026-07-11,12,Sales Floor,6,7
STORE-001,2026-07-11,12,Stockroom,2,2
STORE-001,2026-07-11,13,Checkout,7,7
STORE-001,2026-07-11,13,Sales Floor,6,6
STORE-001,2026-07-11,13,Stockroom,2,1
STORE-001,2026-07-11,14,Checkout,7,7
STORE-001,2026-07-11,14,Sales Floor,6,6
STORE-001,2026-07-11,14,Stockroom,2,2
STORE-001,2026-07-11,15,Checkout,4,4
STORE-001,2026-07-11,15,Sales Floor,6,6
STORE-001,2026-07-11,15,Stockroom,2,2
STORE-001,2026-07-11,16,Checkout,4,4
STORE-001,2026-07-11,16,Sales Floor,6,6
STORE-001,2026-07-11,16,Stockroom,2,2
STORE-001,2026-07-11,17,Checkout,7,8
STORE-001,2026-07-11,17,Sales Floor,6,6
STORE-001,2026-07-11,17,Stockroom,2,2
STORE-001,2026-07-11,18,Checkout,7,7
STORE-001,2026-07-11,18,Sales Floor,6,6
STORE-001,2026-07-11,18,Stockroom,2,2
STORE-001,2026-07-11,19,Checkout,7,7
STORE-001,2026-07-11,19,Sales Floor,4,4
STORE-001,2026-07-11,19,Stockroom,2,3
STORE-001,2026-07-11,20,Checkout,4,4
STORE-001,2026-07-11,20,Sales Floor,4,4
STORE-001,2026-07-11,20,Stockroom,2,2
STORE-001,2026-07-11,21,Checkout,4,5
STORE-001,2026-07-11,21,Sales Floor,4,4
STORE-001,2026-07-11,21,Stockroom,2,2
STORE-002,2026-07-11,8,Checkout,4,4
STORE-002,2026-07-11,8,Sales Floor,4,4
STORE-002,2026-07-11,8,Stockroom,4,4
STORE-002,2026-07-11,9,Checkout,4,5
STORE-002,2026-07-11,9,Sales Floor,4,4
STORE-002,2026-07-11,9,Stockroom,4,4
STORE-002,2026-07-11,10,Checkout,4,4
STORE-002,2026-07-11,10,Sales Floor,4,4
STORE-002,2026-07-11,10,Stockroom,4,4
STORE-002,2026-07-11,11,Checkout,4,5
STORE-002,2026-07-11,11,Sales Floor,6,6
STORE-002,2026-07-11,11,Stockroom,2,3
STORE-002,2026-07-11,12,Checkout,7,7
STORE-002,2026-07-11,12,Sales Floor,6,6
STORE-002,2026-07-11,12,Stockroom,2,2
STORE-002,2026-07-11,13,Checkout,7,7
STORE-002,2026-07-11,13,Sales Floor,6,6
STORE-002,2026-07-11,13,Stockroom,2,2
STORE-002,2026-07-11,14,Checkout,7,7
STORE-002,2026-07-11,14,Sales Floor,6,7
STORE-002,2026-07-11,14,Stockroom,2,2
STORE-002,2026-07-11,15,Checkout,4,4
STORE-002,2026-07-11,15,Sales Floor,6,7
STORE-002,2026-07-11,15,Stockroom,2,2
STORE-002,2026-07-11,16,Checkout,4,4
STORE-002,2026-07-11,16,Sales Floor,6,5
STORE-002,2026-07-11,16,Stockroom,2,2
STORE-002,2026-07-11,17,Checkout,7,8
STORE-002,2026-07-11,17,Sales Floor,6,6
STORE-002,2026-07-11,17,Stockroom,2,1
STORE-002,2026-07-11,18,Checkout,7,8
STORE-002,2026-07-11,18,Sales Floor,6,6
STORE-002,2026-07-11,18,Stockroom,2,2
STORE-002,2026-07-11,19,Checkout,7,8
STORE-002,2026-07-11,19,Sales Floor,4,4
STORE-002,2026-07-11,19,Stockroom,2,1
STORE-002,2026-07-11,20,Checkout,4,4
STORE-002,2026-07-11,20,Sales Floor,4,5
STORE-002,2026-07-11,20,Stockroom,2,1
STORE-002,2026-07-11,21,Checkout,4,4
STORE-002,2026-07-11,21,Sales Floor,4,3
STORE-002,2026-07-11,21,Stockroom,2,2
STORE-003,2026-07-11,8,Checkout,4,5
STORE-003,2026-07-11,8,Sales Floor,4,4
STORE-003,2026-07-11,8,Stockroom,4,4
STORE-003,2026-07-11,9,Checkout,4,3
STORE-003,2026-07-11,9,Sales Floor,4,3
STORE-003,2026-07-11,9,Stockroom,4,3
STORE-003,2026-07-11,10,Checkout,4,3
STORE-003,2026-07-11,10,Sales Floor,4,4
STORE-003,2026-07-11,10,Stockroom,4,4
STORE-003,2026-07-11,11,Checkout,4,4
STORE-003,2026-07-11,11,Sales Floor,6,6
STORE-003,2026-07-11,11,Stockroom,2,2
STORE-003,2026-07-11,12,Checkout,7,8
STORE-003,2026-07-11,12,Sales Floor,6,6
STORE-003,2026-07-11,12,Stockroom,2,3
STORE-003,2026-07-11,13,Checkout,7,7
STORE-003,2026-07-11,13,Sales Floor,6,5
STORE-003,2026-07-11,13,Stockroom,2,2
STORE-003,2026-07-11,14,Checkout,7,7
STORE-003,2026-07-11,14,Sales Floor,6,6
STORE-003,2026-07-11,14,Stockroom,2,2
