store_id,date,department,budgeted_hours,actual_regular_hours,overtime_hours,budgeted_labor_cost,actual_labor_cost
STORE-001,2026-07-11,Checkout,56.0,56.2,0.0,1008.0,1011.6
STORE-001,2026-07-11,Sales Floor,50.0,51.3,0.7,1000.0,1047.0
STORE-001,2026-07-11,Stockroom,28.0,25.4,2.7,616.0,647.9
STORE-002,2026-07-11,Checkout,56.0,57.5,3.5,1008.0,1129.5
STORE-002,2026-07-11,Sales Floor,50.0,46.1,3.1,1000.0,1015.0
STORE-002,2026-07-11,Stockroom,28.0,25.8,0.4,616.0,580.8
STORE-003,2026-07-11,Checkout,56.0,54.9,2.5,1008.0,1055.7
STORE-003,2026-07-11,Sales Floor,50.0,46.6,3.3,1000.0,1031.0
STORE-003,2026-07-11,Stockroom,28.0,24.8,3.9,616.0,674.3
STORE-004,2026-07-11,Checkout,56.0,54.7,3.1,1008.0,1068.3
STORE-004,2026-07-11,Sales Floor,50.0,47.6,1.1,1000.0,985.0
STORE-004,2026-07-11,Stockroom,28.0,27.9,0.0,616.0,613.8
STORE-001,2026-07-12,Checkout,56.0,53.3,3.1,1008.0,1043.1
STORE-001,2026-07-12,Sales Floor,50.0,50.4,2.8,1000.0,1092.0
STORE-001,2026-07-12,Stockroom,28.0,29.2,3.1,616.0,744.7
STORE-002,2026-07-12,Checkout,56.0,55.1,0.0,1008.0,991.8
STORE-002,2026-07-12,Sales Floor,50.0,47.9,1.5,1000.0,1003.0
STORE-002,2026-07-12,Stockroom,28.0,24.8,3.3,616.0,654.5
STORE-003,2026-07-12,Checkout,56.0,57.3,0.0,1008.0,1031.4
STORE-003,2026-07-12,Sales Floor,50.0,47.2,3.2,1000.0,1040.0
STORE-003,2026-07-12,Stockroom,28.0,29.0,0.2,616.0,644.6
STORE-004,2026-07-12,Checkout,56.0,54.7,3.6,1008.0,1081.8
STORE-004,2026-07-12,Sales Floor,50.0,50.2,0.4,1000.0,1016.0
STORE-004,2026-07-12,Stockroom,28.0,28.9,1.5,616.0,685.3
STORE-001,2026-07-13,Checkout,48.0,47.8,0.0,864.0,860.4
STORE-001,2026-07-13,Sales Floor,42.0,38.2,0.0,840.0,764.0
