store_id,date,exception_type,event_count,flagged_employee_count,investigation_status
STORE-001,2026-07-11,No Sale Cash Drawer Open,2,2,Resolved
STORE-001,2026-07-11,Manual Price Override,2,1,Resolved
STORE-001,2026-07-11,High Value Refund,11,2,Open
STORE-001,2026-07-11,Unscanned Item,9,5,Open
STORE-002,2026-07-11,No Sale Cash Drawer Open,4,4,Open
STORE-002,2026-07-11,Manual Price Override,6,2,Escalated
STORE-002,2026-07-11,High Value Refund,17,5,Open
STORE-002,2026-07-11,Unscanned Item,10,5,Escalated
STORE-003,2026-07-11,No Sale Cash Drawer Open,15,2,Escalated
STORE-003,2026-07-11,Manual Price Override,8,3,Resolved
STORE-003,2026-07-11,High Value Refund,13,4,Escalated
STORE-003,2026-07-11,Unscanned Item,16,1,Open
STORE-004,2026-07-11,No Sale Cash Drawer Open,9,1,Resolved
STORE-004,2026-07-11,Manual Price Override,2,1,Escalated
STORE-004,2026-07-11,High Value Refund,9,1,Open
STORE-004,2026-07-11,Unscanned Item,3,1,Open
STORE-001,2026-07-12,No Sale Cash Drawer Open,3,2,Open
STORE-001,2026-07-12,Manual Price Override,18,2,Resolved
STORE-001,2026-07-12,High Value Refund,17,2,Escalated
STORE-001,2026-07-12,Unscanned Item,6,5,Escalated
STORE-002,2026-07-12,No Sale Cash Drawer Open,17,2,Resolved
STORE-002,2026-07-12,Manual Price Override,15,2,Open
STORE-002,2026-07-12,High Value Refund,5,4,Resolved
STORE-002,2026-07-12,Unscanned Item,15,4,Resolved
STORE-003,2026-07-12,No Sale Cash Drawer Open,3,3,Escalated
STORE-003,2026-07-12,Manual Price Override,5,1,Resolved
STORE-003,2026-07-12,High Value Refund,12,1,Open
STORE-003,2026-07-12,Unscanned Item,8,2,Escalated
STORE-004,2026-07-12,No Sale Cash Drawer Open,16,2,Resolved
STORE-004,2026-07-12,Manual Price Override,7,3,Resolved
STORE-004,2026-07-12,High Value Refund,9,1,Resolved
STORE-004,2026-07-12,Unscanned Item,5,1,Escalated
STORE-001,2026-07-13,No Sale Cash Drawer Open,2,1,Open
STORE-001,2026-07-13,Manual Price Override,7,4,Resolved
STORE-001,2026-07-13,High Value Refund,17,2,Resolved
STORE-001,2026-07-13,Unscanned Item,3,1,Resolved
STORE-002,2026-07-13,No Sale Cash Drawer Open,2,2,Resolved
STORE-002,2026-07-13,Manual Price Override,16,3,Resolved
STORE-002,2026-07-13,High Value Refund,17,2,Open
STORE-002,2026-07-13,Unscanned Item,11,2,Open
STORE-003,2026-07-13,No Sale Cash Drawer Open,3,3,Resolved
STORE-003,2026-07-13,Manual Price Override,3,1,Escalated
STORE-003,2026-07-13,High Value Refund,17,5,Escalated
STORE-003,2026-07-13,Unscanned Item,7,1,Escalated
STORE-004,2026-07-13,No Sale Cash Drawer Open,4,2,Open
STORE-004,2026-07-13,Manual Price Override,4,2,Resolved
STORE-004,2026-07-13,High Value Refund,5,5,Open
STORE-004,2026-07-13,Unscanned Item,3,3,Open
STORE-001,2026-07-14,No Sale Cash Drawer Open,15,5,Escalated
STORE-001,2026-07-14,Manual Price Override,18,3,Resolved
STORE-001,2026-07-14,High Value Refund,8,3,Open
STORE-001,2026-07-14,Unscanned Item,10,4,Open
STORE-002,2026-07-14,No Sale Cash Drawer Open,11,4,Resolved
STORE-002,2026-07-14,Manual Price Override,4,1,Resolved
STORE-002,2026-07-14,High Value Refund,5,1,Escalated
STORE-002,2026-07-14,Unscanned Item,8,5,Resolved
STORE-003,2026-07-14,No Sale Cash Drawer Open,6,3,Open
STORE-003,2026-07-14,Manual Price Override,9,3,Resolved
STORE-003,2026-07-14,High Value Refund,7,4,Escalated
STORE-003,2026-07-14,Unscanned Item,11,5,Escalated
STORE-004,2026-07-14,No Sale Cash Drawer Open,18,1,Escalated
STORE-004,2026-07-14,Manual Price Override,11,1,Open
STORE-004,2026-07-14,High Value Refund,10,1,Open
STORE-004,2026-07-14,Unscanned Item,6,3,Resolved
STORE-001,2026-07-15,No Sale Cash Drawer Open,8,3,Open
STORE-001,2026-07-15,Manual Price Override,10,5,Resolved
STORE-001,2026-07-15,High Value Refund,10,1,Open
STORE-001,2026-07-15,Unscanned Item,15,3,Open
STORE-002,2026-07-15,No Sale Cash Drawer Open,2,2,Open
STORE-002,2026-07-15,Manual Price Override,10,2,Escalated
STORE-002,2026-07-15,High Value Refund,16,5,Escalated
STORE-002,2026-07-15,Unscanned Item,15,5,Open
STORE-003,2026-07-15,No Sale Cash Drawer Open,5,1,Escalated
STORE-003,2026-07-15,Manual Price Override,6,5,Open
STORE-003,2026-07-15,High Value Refund,13,5,Escalated
STORE-003,2026-07-15,Unscanned Item,6,4,Open
STORE-004,2026-07-15,No Sale Cash Drawer Open,3,2,Resolved
STORE-004,2026-07-15,Manual Price Override,3,2,Open
STORE-004,2026-07-15,High Value Refund,9,1,Resolved
STORE-004,2026-07-15,Unscanned Item,15,5,Escalated
STORE-001,2026-07-16,No Sale Cash Drawer Open,6,2,Open
STORE-001,2026-07-16,Manual Price Override,7,4,Open
STORE-001,2026-07-16,High Value Refund,7,3,Resolved
STORE-001,2026-07-16,Unscanned Item,9,3,Open
STORE-002,2026-07-16,No Sale Cash Drawer Open,5,4,Open
STORE-002,2026-07-16,Manual Price Override,17,2,Open
STORE-002,2026-07-16,High Value Refund,16,3,Resolved
STORE-002,2026-07-16,Unscanned Item,9,2,Open
STORE-003,2026-07-16,No Sale Cash Drawer Open,8,4,Resolved
STORE-003,2026-07-16,Manual Price Override,10,1,Resolved
STORE-003,2026-07-16,High Value Refund,13,5,Resolved
STORE-003,2026-07-16,Unscanned Item,12,1,Open
