store_id,fiscal_month,category,units_lost,shrink_cost_value,high_risk_flag
STORE-001,2026-04,Apparel,60,1871.07,FALSE
STORE-001,2026-04,Electronics,60,4365.81,TRUE
STORE-001,2026-04,Beauty,66,6287.37,TRUE
STORE-001,2026-04,Grocery,64,2146.76,FALSE
STORE-002,2026-04,Apparel,61,832.18,FALSE
STORE-002,2026-04,Electronics,121,6998.08,TRUE
STORE-002,2026-04,Beauty,133,8426.99,TRUE
STORE-002,2026-04,Grocery,49,1015.65,FALSE
STORE-003,2026-04,Apparel,79,2110.88,FALSE
STORE-003,2026-04,Electronics,111,6823.3,TRUE
STORE-003,2026-04,Beauty,81,8765.33,TRUE
STORE-003,2026-04,Grocery,69,916.77,FALSE
STORE-004,2026-04,Apparel,72,917.16,FALSE
STORE-004,2026-04,Electronics,80,6006.99,TRUE
STORE-004,2026-04,Beauty,48,2919.54,TRUE
STORE-004,2026-04,Grocery,80,2003.61,FALSE
STORE-001,2026-05,Apparel,65,1250.44,FALSE
STORE-001,2026-05,Electronics,123,10140.41,TRUE
STORE-001,2026-05,Beauty,122,9688.49,TRUE
STORE-001,2026-05,Grocery,36,547.61,FALSE
STORE-002,2026-05,Apparel,67,1669.07,FALSE
STORE-002,2026-05,Electronics,73,7374.9,TRUE
STORE-002,2026-05,Beauty,94,10559.65,TRUE
STORE-002,2026-05,Grocery,45,914.67,FALSE
STORE-003,2026-05,Apparel,28,664.13,FALSE
STORE-003,2026-05,Electronics,51,5185.87,TRUE
STORE-003,2026-05,Beauty,150,7983.55,TRUE
STORE-003,2026-05,Grocery,60,940.78,FALSE
STORE-004,2026-05,Apparel,63,1367.71,FALSE
STORE-004,2026-05,Electronics,48,3545.16,TRUE
STORE-004,2026-05,Beauty,116,13886.26,TRUE
STORE-004,2026-05,Grocery,53,942.47,FALSE
STORE-001,2026-06,Apparel,55,1748.89,FALSE
STORE-001,2026-06,Electronics,41,3936.87,TRUE
STORE-001,2026-06,Beauty,54,5190.93,TRUE
STORE-001,2026-06,Grocery,54,1580.59,FALSE
STORE-002,2026-06,Apparel,69,1845.21,FALSE
STORE-002,2026-06,Electronics,54,3618.68,TRUE
STORE-002,2026-06,Beauty,60,4741.76,TRUE
STORE-002,2026-06,Grocery,66,2121.54,FALSE
STORE-003,2026-06,Apparel,36,1236.72,FALSE
STORE-003,2026-06,Electronics,137,8000.65,TRUE
STORE-003,2026-06,Beauty,53,5845.31,TRUE
STORE-003,2026-06,Grocery,39,1222.98,FALSE
STORE-004,2026-06,Apparel,52,1352.33,FALSE
STORE-004,2026-06,Electronics,59,4309.57,TRUE
STORE-004,2026-06,Beauty,60,5127.21,TRUE
STORE-004,2026-06,Grocery,69,2291.9,FALSE
