store_id,fiscal_month,total_sales_value,book_inventory_value,physical_inventory_value,shrink_dollars,shrink_pct,shrink_cause
STORE-001,2026-04,861851.28,353014.28,344740.51,8273.77,0.96,Known Theft
STORE-001,2026-04,809625.91,329679.67,323850.36,5829.31,0.72,Unknown Loss
STORE-001,2026-04,830877.49,335342.16,332351.0,2991.16,0.36,Admin Error
STORE-001,2026-04,826472.91,333564.46,330589.16,2975.3,0.36,Damage
STORE-002,2026-04,511823.56,206776.71,204729.42,2047.29,0.4,Known Theft
STORE-002,2026-04,508834.97,205060.49,203533.99,1526.5,0.3,Unknown Loss
STORE-002,2026-04,519608.98,208623.0,207843.59,779.41,0.15,Admin Error
STORE-002,2026-04,479346.94,192457.8,191738.78,719.02,0.15,Damage
STORE-003,2026-04,644924.92,262097.49,257969.97,4127.52,0.64,Known Theft
STORE-003,2026-04,619436.82,250748.03,247774.73,2973.3,0.48,Unknown Loss
STORE-003,2026-04,631711.47,254200.7,252684.59,1516.11,0.24,Admin Error
STORE-003,2026-04,650348.09,261700.08,260139.24,1560.84,0.24,Damage
STORE-004,2026-04,809755.56,331675.87,323902.22,7773.65,0.96,Known Theft
STORE-004,2026-04,824401.2,335696.17,329760.48,5935.69,0.72,Unknown Loss
STORE-004,2026-04,862740.18,348201.93,345096.07,3105.86,0.36,Admin Error
STORE-004,2026-04,853820.03,344601.76,341528.01,3073.75,0.36,Damage
STORE-001,2026-05,826237.45,338426.86,330494.98,7931.88,0.96,Known Theft
STORE-001,2026-05,857587.58,349209.66,343035.03,6174.63,0.72,Unknown Loss
STORE-001,2026-05,876301.59,353675.33,350520.64,3154.69,0.36,Admin Error
STORE-001,2026-05,808052.39,326129.95,323220.96,2908.99,0.36,Damage
STORE-002,2026-05,515290.96,208177.54,206116.38,2061.16,0.4,Known Theft
STORE-002,2026-05,509906.97,205492.51,203962.79,1529.72,0.3,Unknown Loss
STORE-002,2026-05,492012.53,197543.03,196805.01,738.02,0.15,Admin Error
STORE-002,2026-05,482773.97,193833.75,193109.59,724.16,0.15,Damage
STORE-003,2026-05,679718.85,276237.74,271887.54,4350.2,0.64,Known Theft
STORE-003,2026-05,639378.65,258820.48,255751.46,3069.02,0.48,Unknown Loss
STORE-003,2026-05,623528.48,250907.86,249411.39,1496.47,0.24,Admin Error
STORE-003,2026-05,623786.56,251011.71,249514.62,1497.09,0.24,Damage
STORE-004,2026-05,879537.02,360258.37,351814.81,8443.56,0.96,Known Theft
STORE-004,2026-05,858816.71,349710.16,343526.68,6183.48,0.72,Unknown Loss
STORE-004,2026-05,876105.9,353596.34,350442.36,3153.98,0.36,Admin Error
STORE-004,2026-05,869527.2,350941.18,347810.88,3130.3,0.36,Damage
STORE-001,2026-06,853079.39,349421.32,341231.76,8189.56,0.96,Known Theft
STORE-001,2026-06,890214.84,362495.49,356085.94,6409.55,0.72,Unknown Loss
STORE-001,2026-06,839675.42,338893.0,335870.17,3022.83,0.36,Admin Error
STORE-001,2026-06,854423.45,344845.3,341769.38,3075.92,0.36,Damage
STORE-002,2026-06,516470.23,208653.97,206588.09,2065.88,0.4,Known Theft
STORE-002,2026-06,505925.99,203888.18,202370.4,1517.78,0.3,Unknown Loss
STORE-002,2026-06,518085.35,208011.27,207234.14,777.13,0.15,Admin Error
STORE-002,2026-06,503867.61,202302.84,201547.04,755.8,0.15,Damage
STORE-003,2026-06,663297.17,269563.97,265318.87,4245.1,0.64,Known Theft
STORE-003,2026-06,620478.58,251169.73,248191.43,2978.3,0.48,Unknown Loss
STORE-003,2026-06,632313.39,254442.91,252925.36,1517.55,0.24,Admin Error
STORE-003,2026-06,636310.22,256051.23,254524.09,1527.14,0.24,Damage
STORE-004,2026-06,814282.32,333530.04,325712.93,7817.11,0.96,Known Theft
STORE-004,2026-06,827287.23,336871.36,330914.89,5956.47,0.72,Unknown Loss
STORE-004,2026-06,816085.12,329371.96,326434.05,2937.91,0.36,Admin Error
STORE-004,2026-06,831127.76,335443.16,332451.1,2992.06,0.36,Damage
