order_id,store_id,order_timestamp,fulfillment_status,pick_ready_timestamp,customer_pickup_timestamp,fulfillment_time_minutes
ORD-001,STORE-001,2026-07-24T09:07:00Z,Completed,2026-07-24T09:20:00Z,2026-07-24T09:34:00Z,27
ORD-002,STORE-002,2026-07-23T10:14:00Z,Completed,2026-07-23T10:41:00Z,2026-07-23T10:47:00Z,33
ORD-003,STORE-003,2026-07-22T11:21:00Z,Completed,2026-07-22T11:39:00Z,2026-07-22T11:52:00Z,31
ORD-004,STORE-004,2026-07-21T12:28:00Z,Cancelled,,,20
ORD-005,STORE-001,2026-07-20T13:35:00Z,Cancelled,,,42
ORD-006,STORE-002,2026-07-24T14:42:00Z,Completed,2026-07-24T14:55:00Z,2026-07-24T14:59:00Z,17
ORD-007,STORE-003,2026-07-23T15:49:00Z,Completed,2026-07-23T16:15:00Z,2026-07-23T16:26:00Z,37
ORD-008,STORE-004,2026-07-22T16:56:00Z,Cancelled,,,16
ORD-009,STORE-001,2026-07-21T17:03:00Z,Cancelled,,,27
ORD-010,STORE-002,2026-07-20T08:10:00Z,Cancelled,,,41
ORD-011,STORE-003,2026-07-24T09:17:00Z,Completed,2026-07-24T09:57:00Z,2026-07-24T10:09:00Z,52
ORD-012,STORE-004,2026-07-23T10:24:00Z,Completed,2026-07-23T10:36:00Z,2026-07-23T10:51:00Z,27
ORD-013,STORE-001,2026-07-22T11:31:00Z,Completed,2026-07-22T12:10:00Z,2026-07-22T12:18:00Z,47
ORD-014,STORE-002,2026-07-21T12:38:00Z,Completed,2026-07-21T12:59:00Z,2026-07-21T13:05:00Z,27
ORD-015,STORE-003,2026-07-20T13:45:00Z,Completed,2026-07-20T14:03:00Z,2026-07-20T14:07:00Z,22
ORD-016,STORE-004,2026-07-24T14:52:00Z,Picked,2026-07-24T15:10:00Z,,18
ORD-017,STORE-001,2026-07-23T15:59:00Z,Completed,2026-07-23T16:33:00Z,2026-07-23T16:45:00Z,46
ORD-018,STORE-002,2026-07-22T16:06:00Z,Completed,2026-07-22T16:20:00Z,2026-07-22T16:34:00Z,28
ORD-019,STORE-003,2026-07-21T17:13:00Z,Picked,2026-07-21T17:32:00Z,,19
ORD-020,STORE-004,2026-07-20T08:20:00Z,Picked,2026-07-20T08:37:00Z,,17
