store_id,date,total_bopis_orders,orders_met_sla_count,sla_compliance_pct,avg_pick_time_minutes,avg_curbside_wait_minutes
STORE-001,2026-07-11,60,54,90.0,25.6,7.0
STORE-002,2026-07-11,48,45,93.75,16.7,3.5
STORE-003,2026-07-11,39,33,84.62,27.8,8.6
STORE-004,2026-07-11,31,29,93.55,17.9,7.1
STORE-001,2026-07-12,48,38,79.17,19.2,4.4
STORE-002,2026-07-12,42,42,100.0,23.1,7.0
STORE-003,2026-07-12,35,34,97.14,24.2,4.1
STORE-004,2026-07-12,49,41,83.67,27.9,7.2
STORE-001,2026-07-13,60,52,86.67,23.6,8.5
STORE-002,2026-07-13,28,24,85.71,25.5,8.2
STORE-003,2026-07-13,50,42,84.0,14.9,8.9
STORE-004,2026-07-13,45,37,82.22,23.2,5.6
STORE-001,2026-07-14,54,42,77.78,17.7,4.6
STORE-002,2026-07-14,60,53,88.33,24.5,5.8
STORE-003,2026-07-14,50,43,86.0,17.1,9.5
STORE-004,2026-07-14,57,50,87.72,15.3,3.3
STORE-001,2026-07-15,32,26,81.25,22.8,8.1
STORE-002,2026-07-15,52,48,92.31,14.9,5.5
STORE-003,2026-07-15,54,48,88.89,17.5,6.6
STORE-004,2026-07-15,25,24,96.0,24.1,7.4
STORE-001,2026-07-16,59,52,88.14,24.8,5.2
STORE-002,2026-07-16,43,38,88.37,16.2,3.0
STORE-003,2026-07-16,41,39,95.12,24.7,6.3
STORE-004,2026-07-16,31,27,87.1,25.8,6.3
STORE-001,2026-07-17,37,30,81.08,19.2,4.1
STORE-002,2026-07-17,58,58,100.0,14.0,5.1
STORE-003,2026-07-17,26,20,76.92,27.0,8.7
STORE-004,2026-07-17,44,36,81.82,14.8,8.7
STORE-001,2026-07-18,30,23,76.67,24.2,8.3
STORE-002,2026-07-18,59,48,81.36,15.8,6.1
STORE-003,2026-07-18,60,50,83.33,17.7,8.7
STORE-004,2026-07-18,52,42,80.77,27.0,7.9
STORE-001,2026-07-19,37,32,86.49,19.6,7.4
STORE-002,2026-07-19,48,43,89.58,26.6,5.9
STORE-003,2026-07-19,40,33,82.5,14.9,3.1
STORE-004,2026-07-19,60,52,86.67,22.2,3.0
STORE-001,2026-07-20,28,24,85.71,14.9,3.2
STORE-002,2026-07-20,46,35,76.09,21.2,4.8
STORE-003,2026-07-20,56,45,80.36,21.5,7.7
STORE-004,2026-07-20,55,44,80.0,25.0,8.2
STORE-001,2026-07-21,37,29,78.38,15.4,5.8
STORE-002,2026-07-21,52,45,86.54,20.5,7.7
STORE-003,2026-07-21,31,23,74.19,19.6,5.2
STORE-004,2026-07-21,31,26,83.87,16.7,6.5
STORE-001,2026-07-22,33,31,93.94,16.6,6.0
STORE-002,2026-07-22,29,29,100.0,25.3,8.6
STORE-003,2026-07-22,31,23,74.19,23.1,6.5
STORE-004,2026-07-22,25,19,76.0,27.0,8.5
STORE-001,2026-07-23,35,32,91.43,20.8,4.4
STORE-002,2026-07-23,50,38,76.0,16.3,3.0
STORE-003,2026-07-23,49,41,83.67,27.0,8.1
STORE-004,2026-07-23,43,38,88.37,23.8,7.7
STORE-001,2026-07-24,60,60,100.0,16.2,4.9
STORE-002,2026-07-24,28,21,75.0,24.5,3.4
STORE-003,2026-07-24,55,49,89.09,26.9,6.5
STORE-004,2026-07-24,28,22,78.57,25.9,3.4
