store_id,department,date,total_items_picked,mispicked_items_count,out_of_stock_cancellations,pick_accuracy_pct
STORE-001,Grocery,2026-07-11,117,11,6,90.6
STORE-001,Apparel,2026-07-11,160,7,0,95.62
STORE-001,Electronics,2026-07-11,341,10,1,97.07
STORE-001,Home,2026-07-11,248,10,0,95.97
STORE-002,Grocery,2026-07-11,258,2,3,99.22
STORE-002,Apparel,2026-07-11,268,10,4,96.27
STORE-002,Electronics,2026-07-11,233,6,2,97.42
STORE-002,Home,2026-07-11,152,11,5,92.76
STORE-003,Grocery,2026-07-11,180,4,2,97.78
STORE-003,Apparel,2026-07-11,201,3,5,98.51
STORE-003,Electronics,2026-07-11,265,5,3,98.11
STORE-003,Home,2026-07-11,180,2,0,98.89
STORE-004,Grocery,2026-07-11,217,10,4,95.39
STORE-004,Apparel,2026-07-11,125,2,4,98.4
STORE-004,Electronics,2026-07-11,154,9,2,94.16
STORE-004,Home,2026-07-11,133,6,0,95.49
STORE-001,Grocery,2026-07-12,325,4,2,98.77
STORE-001,Apparel,2026-07-12,172,3,3,98.26
STORE-001,Electronics,2026-07-12,313,9,5,97.12
STORE-001,Home,2026-07-12,177,10,6,94.35
STORE-002,Grocery,2026-07-12,267,9,0,96.63
STORE-002,Apparel,2026-07-12,270,9,2,96.67
STORE-002,Electronics,2026-07-12,338,11,0,96.75
STORE-002,Home,2026-07-12,340,3,2,99.12
STORE-003,Grocery,2026-07-12,129,2,5,98.45
STORE-003,Apparel,2026-07-12,241,3,2,98.76
STORE-003,Electronics,2026-07-12,172,10,1,94.19
STORE-003,Home,2026-07-12,283,6,1,97.88
STORE-004,Grocery,2026-07-12,275,11,6,96.0
STORE-004,Apparel,2026-07-12,167,9,3,94.61
STORE-004,Electronics,2026-07-12,164,1,0,99.39
STORE-004,Home,2026-07-12,262,7,6,97.33
STORE-001,Grocery,2026-07-13,170,1,0,99.41
STORE-001,Apparel,2026-07-13,185,3,5,98.38
STORE-001,Electronics,2026-07-13,350,5,1,98.57
STORE-001,Home,2026-07-13,289,8,4,97.23
STORE-002,Grocery,2026-07-13,280,7,4,97.5
STORE-002,Apparel,2026-07-13,102,2,0,98.04
STORE-002,Electronics,2026-07-13,341,12,1,96.48
STORE-002,Home,2026-07-13,239,1,6,99.58
STORE-003,Grocery,2026-07-13,194,10,4,94.85
STORE-003,Apparel,2026-07-13,137,7,1,94.89
STORE-003,Electronics,2026-07-13,110,5,2,95.45
STORE-003,Home,2026-07-13,330,1,2,99.7
STORE-004,Grocery,2026-07-13,153,11,1,92.81
STORE-004,Apparel,2026-07-13,270,2,2,99.26
STORE-004,Electronics,2026-07-13,299,9,6,96.99
STORE-004,Home,2026-07-13,204,10,5,95.1
STORE-001,Grocery,2026-07-14,139,4,6,97.12
STORE-001,Apparel,2026-07-14,141,3,3,97.87
STORE-001,Electronics,2026-07-14,106,3,5,97.17
STORE-001,Home,2026-07-14,336,6,6,98.21
STORE-002,Grocery,2026-07-14,338,7,6,97.93
STORE-002,Apparel,2026-07-14,271,12,6,95.57
STORE-002,Electronics,2026-07-14,163,5,1,96.93
STORE-002,Home,2026-07-14,301,12,0,96.01
STORE-003,Grocery,2026-07-14,197,1,6,99.49
