date,store_id,sku_id,units_sold
2026-05-26,STORE-101,SKU-001,6
2026-05-26,STORE-101,SKU-002,7
2026-05-26,STORE-101,SKU-003,10
2026-05-26,STORE-101,SKU-004,11
2026-05-26,STORE-101,SKU-005,7
2026-05-26,STORE-101,SKU-006,9
2026-05-26,STORE-102,SKU-001,7
2026-05-26,STORE-102,SKU-002,7
2026-05-26,STORE-102,SKU-003,10
2026-05-26,STORE-102,SKU-004,11
2026-05-26,STORE-102,SKU-005,6
2026-05-26,STORE-102,SKU-006,9
2026-05-27,STORE-101,SKU-001,5
2026-05-27,STORE-101,SKU-002,7
2026-05-27,STORE-101,SKU-003,10
2026-05-27,STORE-101,SKU-004,12
2026-05-27,STORE-101,SKU-005,6
2026-05-27,STORE-101,SKU-006,9
2026-05-27,STORE-102,SKU-001,7
2026-05-27,STORE-102,SKU-002,7
2026-05-27,STORE-102,SKU-003,11
2026-05-27,STORE-102,SKU-004,12
2026-05-27,STORE-102,SKU-005,7
2026-05-27,STORE-102,SKU-006,8
2026-05-28,STORE-101,SKU-001,7
2026-05-28,STORE-101,SKU-002,8
2026-05-28,STORE-101,SKU-003,9
2026-05-28,STORE-101,SKU-004,12
2026-05-28,STORE-101,SKU-005,8
2026-05-28,STORE-101,SKU-006,9
2026-05-28,STORE-102,SKU-001,7
2026-05-28,STORE-102,SKU-002,8
2026-05-28,STORE-102,SKU-003,10
2026-05-28,STORE-102,SKU-004,13
2026-05-28,STORE-102,SKU-005,7
2026-05-28,STORE-102,SKU-006,9
2026-05-29,STORE-101,SKU-001,7
2026-05-29,STORE-101,SKU-002,8
2026-05-29,STORE-101,SKU-003,11
2026-05-29,STORE-101,SKU-004,13
2026-05-29,STORE-101,SKU-005,7
2026-05-29,STORE-101,SKU-006,8
2026-05-29,STORE-102,SKU-001,5
2026-05-29,STORE-102,SKU-002,8
2026-05-29,STORE-102,SKU-003,9
2026-05-29,STORE-102,SKU-004,11
2026-05-29,STORE-102,SKU-005,6
2026-05-29,STORE-102,SKU-006,8
2026-05-30,STORE-101,SKU-001,8
2026-05-30,STORE-101,SKU-002,10
2026-05-30,STORE-101,SKU-003,12
2026-05-30,STORE-101,SKU-004,16
2026-05-30,STORE-101,SKU-005,8
2026-05-30,STORE-101,SKU-006,12
2026-05-30,STORE-102,SKU-001,8
2026-05-30,STORE-102,SKU-002,10
2026-05-30,STORE-102,SKU-003,12
2026-05-30,STORE-102,SKU-004,15
2026-05-30,STORE-102,SKU-005,8
2026-05-30,STORE-102,SKU-006,11
2026-05-31,STORE-101,SKU-001,8
2026-05-31,STORE-101,SKU-002,10
2026-05-31,STORE-101,SKU-003,13
2026-05-31,STORE-101,SKU-004,18
2026-05-31,STORE-101,SKU-005,9
2026-05-31,STORE-101,SKU-006,11
2026-05-31,STORE-102,SKU-001,7
2026-05-31,STORE-102,SKU-002,9
2026-05-31,STORE-102,SKU-003,12
2026-05-31,STORE-102,SKU-004,15
2026-05-31,STORE-102,SKU-005,8
2026-05-31,STORE-102,SKU-006,12
2026-06-01,STORE-101,SKU-001,7
2026-06-01,STORE-101,SKU-002,8
2026-06-01,STORE-101,SKU-003,10
2026-06-01,STORE-101,SKU-004,14
2026-06-01,STORE-101,SKU-005,8
2026-06-01,STORE-101,SKU-006,8
2026-06-01,STORE-102,SKU-001,6
2026-06-01,STORE-102,SKU-002,7
2026-06-01,STORE-102,SKU-003,10
2026-06-01,STORE-102,SKU-004,12
2026-06-01,STORE-102,SKU-005,7
2026-06-01,STORE-102,SKU-006,9
2026-06-02,STORE-101,SKU-001,6
2026-06-02,STORE-101,SKU-002,7
2026-06-02,STORE-101,SKU-003,11
2026-06-02,STORE-101,SKU-004,15
2026-06-02,STORE-101,SKU-005,6
2026-06-02,STORE-101,SKU-006,7
2026-06-02,STORE-102,SKU-001,5
2026-06-02,STORE-102,SKU-002,8
2026-06-02,STORE-102,SKU-003,11
2026-06-02,STORE-102,SKU-004,12
2026-06-02,STORE-102,SKU-005,6
2026-06-02,STORE-102,SKU-006,8
2026-06-03,STORE-101,SKU-001,7
2026-06-03,STORE-101,SKU-002,8
2026-06-03,STORE-101,SKU-003,11
2026-06-03,STORE-101,SKU-004,16
2026-06-03,STORE-101,SKU-005,6
2026-06-03,STORE-101,SKU-006,9
2026-06-03,STORE-102,SKU-001,6
2026-06-03,STORE-102,SKU-002,8
2026-06-03,STORE-102,SKU-003,10
2026-06-03,STORE-102,SKU-004,12
2026-06-03,STORE-102,SKU-005,6
2026-06-03,STORE-102,SKU-006,8
2026-06-04,STORE-101,SKU-001,6
2026-06-04,STORE-101,SKU-002,9
2026-06-04,STORE-101,SKU-003,11
2026-06-04,STORE-101,SKU-004,15
2026-06-04,STORE-101,SKU-005,7
2026-06-04,STORE-101,SKU-006,7
2026-06-04,STORE-102,SKU-001,7
2026-06-04,STORE-102,SKU-002,9
2026-06-04,STORE-102,SKU-003,10
2026-06-04,STORE-102,SKU-004,12
2026-06-04,STORE-102,SKU-005,7
2026-06-04,STORE-102,SKU-006,7
2026-06-05,STORE-101,SKU-001,7
2026-06-05,STORE-101,SKU-002,8
2026-06-05,STORE-101,SKU-003,11
2026-06-05,STORE-101,SKU-004,16
