location_id,location_type,sku_id,on_hand_units,as_of_date
STORE-101,STORE,SKU-001,31,2026-07-24
STORE-101,STORE,SKU-002,43,2026-07-24
STORE-101,STORE,SKU-003,54,2026-07-24
STORE-101,STORE,SKU-004,8,2026-07-24
STORE-101,STORE,SKU-005,38,2026-07-24
STORE-101,STORE,SKU-006,23,2026-07-24
STORE-102,STORE,SKU-001,34,2026-07-24
STORE-102,STORE,SKU-002,41,2026-07-24
STORE-102,STORE,SKU-003,53,2026-07-24
STORE-102,STORE,SKU-004,63,2026-07-24
STORE-102,STORE,SKU-005,36,2026-07-24
STORE-102,STORE,SKU-006,20,2026-07-24
WH-001,WAREHOUSE,SKU-001,163,2026-07-24
WH-001,WAREHOUSE,SKU-002,212,2026-07-24
WH-001,WAREHOUSE,SKU-003,267,2026-07-24
WH-001,WAREHOUSE,SKU-004,604,2026-07-24
WH-001,WAREHOUSE,SKU-005,186,2026-07-24
WH-001,WAREHOUSE,SKU-006,600,2026-07-24
WH-002,WAREHOUSE,SKU-001,163,2026-07-24
WH-002,WAREHOUSE,SKU-002,212,2026-07-24
WH-002,WAREHOUSE,SKU-003,267,2026-07-24
WH-002,WAREHOUSE,SKU-004,604,2026-07-24
WH-002,WAREHOUSE,SKU-005,186,2026-07-24
WH-002,WAREHOUSE,SKU-006,107,2026-07-24
