channel_id,fiscal_month,gross_sales_units,returned_units,returned_value_dollars,return_rate_pct,avg_restock_turnaround_days
CHN-001,2026-05,40000,7600,380000.0,19.0,7.2
CHN-002,2026-05,30000,2550,114750.0,8.5,2.3
CHN-003,2026-05,26000,2600,117000.0,10.0,2.6
CHN-004,2026-05,20000,1500,75000.0,7.5,2.0
CHN-005,2026-05,34000,5780,260100.0,17.0,6.1
CHN-001,2026-06,42000,8400,420000.0,20.0,6.8
CHN-002,2026-06,31000,2728,122760.0,8.8,2.2
CHN-003,2026-06,27000,2754,123930.0,10.2,2.5
CHN-004,2026-06,21000,1638,81900.0,7.8,1.9
CHN-005,2026-06,36000,6300,283500.0,17.5,5.9
CHN-001,2026-07,45000,9450,472500.0,21.0,6.5
CHN-002,2026-07,32000,2880,129600.0,9.0,2.1
CHN-003,2026-07,28000,2940,132300.0,10.5,2.4
CHN-004,2026-07,22000,1760,88000.0,8.0,1.8
CHN-005,2026-07,38000,6840,307800.0,18.0,5.8
