channel_id,fiscal_month,disposition_type,units_count,recovered_value_dollars,policy_abuse_flag_count
CHN-001,2026-07,Restock for Resale,5200,260000.0,45
CHN-001,2026-07,Refurbish/Repair,1800,72000.0,12
CHN-001,2026-07,Liquidation/Jobber,1400,28000.0,8
CHN-001,2026-07,Recycle/Scrap,650,0.0,3
CHN-001,2026-07,Return to Vendor (RTV),400,20000.0,2
CHN-002,2026-07,Restock for Resale,2100,94500.0,15
CHN-002,2026-07,Refurbish/Repair,450,18000.0,4
CHN-002,2026-07,Liquidation/Jobber,230,4600.0,2
CHN-002,2026-07,Recycle/Scrap,100,0.0,0
CHN-003,2026-07,Restock for Resale,2150,96750.0,18
CHN-003,2026-07,Refurbish/Repair,500,20000.0,5
CHN-003,2026-07,Liquidation/Jobber,200,4000.0,1
CHN-004,2026-07,Restock for Resale,1300,65000.0,8
CHN-004,2026-07,Refurbish/Repair,300,12000.0,2
CHN-004,2026-07,Liquidation/Jobber,160,3200.0,1
CHN-005,2026-07,Restock for Resale,4100,184500.0,32
CHN-005,2026-07,Refurbish/Repair,1500,60000.0,10
CHN-005,2026-07,Liquidation/Jobber,840,16800.0,5
CHN-005,2026-07,Recycle/Scrap,400,0.0,2
