po_id,vendor_id,sku_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,on_time,in_full
PO-001-001,VEND-001,SKU-001,2026-04-01,2026-04-15,2026-04-15,200,200,True,True
PO-001-002,VEND-001,SKU-002,2026-04-10,2026-04-24,2026-04-24,200,200,True,True
PO-001-003,VEND-001,SKU-001,2026-04-19,2026-05-03,2026-05-03,200,200,True,True
PO-001-004,VEND-001,SKU-002,2026-04-28,2026-05-12,2026-05-12,200,200,True,True
PO-001-005,VEND-001,SKU-001,2026-05-07,2026-05-21,2026-05-23,200,200,False,True
PO-001-006,VEND-001,SKU-002,2026-05-16,2026-05-30,2026-05-30,200,200,True,True
PO-001-007,VEND-001,SKU-001,2026-05-25,2026-06-08,2026-06-08,200,200,True,True
PO-001-008,VEND-001,SKU-002,2026-06-03,2026-06-17,2026-06-17,200,200,True,True
PO-001-009,VEND-001,SKU-001,2026-06-12,2026-06-26,2026-06-26,200,200,True,True
PO-001-010,VEND-001,SKU-002,2026-06-21,2026-07-05,2026-07-05,200,200,True,True
PO-002-001,VEND-002,SKU-003,2026-04-01,2026-04-15,2026-04-15,200,200,True,True
PO-002-002,VEND-002,SKU-003,2026-04-10,2026-04-24,2026-04-24,200,200,True,True
PO-002-003,VEND-002,SKU-003,2026-04-19,2026-05-03,2026-05-06,200,200,False,True
PO-002-004,VEND-002,SKU-003,2026-04-28,2026-05-12,2026-05-12,200,200,True,True
PO-002-005,VEND-002,SKU-003,2026-05-07,2026-05-21,2026-05-21,200,200,True,True
PO-002-006,VEND-002,SKU-003,2026-05-16,2026-05-30,2026-05-30,200,170,True,False
PO-002-007,VEND-002,SKU-003,2026-05-25,2026-06-08,2026-06-08,200,200,True,True
PO-002-008,VEND-002,SKU-003,2026-06-03,2026-06-17,2026-06-17,200,200,True,True
PO-002-009,VEND-002,SKU-003,2026-06-12,2026-06-26,2026-06-30,200,200,False,True
PO-002-010,VEND-002,SKU-003,2026-06-21,2026-07-05,2026-07-05,200,200,True,True
PO-003-001,VEND-003,SKU-004,2026-04-01,2026-04-15,2026-04-15,200,200,True,True
PO-003-002,VEND-003,SKU-005,2026-04-10,2026-04-24,2026-04-24,200,200,True,True
PO-003-003,VEND-003,SKU-004,2026-04-19,2026-05-03,2026-05-06,200,200,False,True
PO-003-004,VEND-003,SKU-005,2026-04-28,2026-05-12,2026-05-12,200,200,True,True
PO-003-005,VEND-003,SKU-004,2026-05-07,2026-05-21,2026-05-21,200,200,True,True
PO-003-006,VEND-003,SKU-005,2026-05-16,2026-05-30,2026-05-30,200,170,True,False
PO-003-007,VEND-003,SKU-004,2026-05-25,2026-06-08,2026-06-08,200,200,True,True
PO-003-008,VEND-003,SKU-005,2026-06-03,2026-06-17,2026-06-17,200,200,True,True
PO-003-009,VEND-003,SKU-004,2026-06-12,2026-06-26,2026-06-30,200,200,False,True
PO-003-010,VEND-003,SKU-005,2026-06-21,2026-07-05,2026-07-05,200,200,True,True
PO-004-001,VEND-004,SKU-006,2026-04-01,2026-04-15,2026-04-15,200,200,True,True
PO-004-002,VEND-004,SKU-006,2026-04-10,2026-04-24,2026-04-29,200,200,False,True
PO-004-003,VEND-004,SKU-006,2026-04-19,2026-05-03,2026-05-03,200,180,True,False
PO-004-004,VEND-004,SKU-006,2026-04-28,2026-05-12,2026-05-16,200,160,False,False
PO-004-005,VEND-004,SKU-006,2026-05-07,2026-05-21,2026-05-21,200,200,True,True
PO-004-006,VEND-004,SKU-006,2026-05-16,2026-05-30,2026-06-06,200,200,False,True
PO-004-007,VEND-004,SKU-006,2026-05-25,2026-06-08,2026-06-08,200,180,True,False
PO-004-008,VEND-004,SKU-006,2026-06-03,2026-06-17,2026-06-20,200,170,False,False
PO-004-009,VEND-004,SKU-006,2026-06-12,2026-06-26,2026-06-26,200,200,True,True
PO-004-010,VEND-004,SKU-006,2026-06-21,2026-07-05,2026-07-11,200,200,False,True
