facility_id,facility_type,reporting_month,natural_gas_therms,fleet_diesel_gallons,refrigerant_loss_lbs,scope1_mt_co2e
STORE-101,Retail Store,2026-01,4200,1100,12.5,34.2
STORE-101,Retail Store,2026-02,3950,1050,10.0,31.8
STORE-101,Retail Store,2026-03,3100,1200,15.0,29.5
STORE-101,Retail Store,2026-04,2200,1150,8.5,23.1
STORE-101,Retail Store,2026-05,1400,1300,18.0,21.4
STORE-101,Retail Store,2026-06,950,1350,22.0,20.8
STORE-102,Retail Store,2026-01,3800,980,14.0,31.5
STORE-102,Retail Store,2026-02,3400,950,11.0,28.2
STORE-102,Retail Store,2026-03,2600,1100,16.0,25.8
STORE-102,Retail Store,2026-04,1800,1050,9.0,20.2
STORE-102,Retail Store,2026-05,1100,1200,19.5,19.6
STORE-102,Retail Store,2026-06,800,1250,25.0,19.9
STORE-103,Retail Store,2026-01,4500,850,8.0,32.7
STORE-103,Retail Store,2026-02,4100,800,7.5,29.8
STORE-103,Retail Store,2026-03,3300,900,10.0,26.2
STORE-103,Retail Store,2026-04,2500,920,6.0,21.4
STORE-103,Retail Store,2026-05,1600,1000,12.0,18.5
STORE-103,Retail Store,2026-06,1050,1080,15.0,17.2
DC-101,Distribution Center,2026-01,12500,18500,45.0,258.4
DC-101,Distribution Center,2026-02,11800,17900,40.0,247.9
DC-101,Distribution Center,2026-03,9400,19200,50.0,249.2
DC-101,Distribution Center,2026-04,6200,18800,38.0,226.5
DC-101,Distribution Center,2026-05,3800,20100,55.0,228.8
DC-101,Distribution Center,2026-06,2400,20800,62.0,231.1
DC-102,Distribution Center,2026-01,9800,14200,35.0,198.6
DC-102,Distribution Center,2026-02,9100,13800,30.0,189.5
DC-102,Distribution Center,2026-03,7200,15100,42.0,194.2
DC-102,Distribution Center,2026-04,4500,14700,28.0,175.4
DC-102,Distribution Center,2026-05,2800,15900,48.0,179.8
DC-102,Distribution Center,2026-06,1900,16400,56.0,183.0
