facility_id,facility_type,reporting_month,grid_kwh_consumed,grid_emission_factor_kg_kwh,location_based_mt_co2e,market_based_mt_co2e,recs_applied_mwh
STORE-101,Retail Store,2026-01,85000,0.385,32.7,16.3,42.5
STORE-101,Retail Store,2026-02,79000,0.385,30.4,15.2,39.5
STORE-101,Retail Store,2026-03,82000,0.385,31.6,15.8,41.0
STORE-101,Retail Store,2026-04,88000,0.385,33.9,13.5,52.8
STORE-101,Retail Store,2026-05,98000,0.385,37.7,15.1,58.8
STORE-101,Retail Store,2026-06,112000,0.385,43.1,17.2,67.2
STORE-102,Retail Store,2026-01,92000,0.42,38.6,19.3,46.0
STORE-102,Retail Store,2026-02,86000,0.42,36.1,18.1,43.0
STORE-102,Retail Store,2026-03,95000,0.42,39.9,20.0,47.5
STORE-102,Retail Store,2026-04,105000,0.42,44.1,17.6,63.0
STORE-102,Retail Store,2026-05,125000,0.42,52.5,21.0,75.0
STORE-102,Retail Store,2026-06,142000,0.42,59.6,23.8,85.2
DC-101,Distribution Center,2026-01,380000,0.385,146.3,58.5,228.0
DC-101,Distribution Center,2026-02,360000,0.385,138.6,55.4,216.0
DC-101,Distribution Center,2026-03,395000,0.385,152.1,60.8,237.0
DC-101,Distribution Center,2026-04,420000,0.385,161.7,48.5,294.0
DC-101,Distribution Center,2026-05,475000,0.385,182.9,54.9,332.5
DC-101,Distribution Center,2026-06,530000,0.385,204.1,61.2,371.0
DC-102,Distribution Center,2026-01,290000,0.395,114.6,45.8,174.0
DC-102,Distribution Center,2026-02,275000,0.395,108.6,43.4,165.0
DC-102,Distribution Center,2026-03,305000,0.395,120.5,48.2,183.0
DC-102,Distribution Center,2026-04,330000,0.395,130.4,39.1,231.0
DC-102,Distribution Center,2026-05,370000,0.395,146.2,43.8,259.0
DC-102,Distribution Center,2026-06,415000,0.395,163.9,49.2,290.5
